method,region,quantile,lb,ub
bayesian,ECUADOR,0.995,3.4043476661243e-10,0.030677594046387056
bayesian,ECUADOR,0.995,0.00028914683237059086,0.06382132278922169
bayesian,ECUADOR,0.995,0.0005871618483828062,0.06022289923443504
bayesian,ECUADOR,0.995,9.351461806343478e-07,0.022848784436887266
bayesian,ECUADOR,0.995,0.0003958788264144265,0.06287081465436908
bayesian,ECUADOR,0.995,0.00032484789431066243,0.06042533997352525
bayesian,ECUADOR,0.995,0.002312324680972762,0.07380982340760697
bayesian,ECUADOR,0.995,0.0016898887575695445,0.0775773234112972
bayesian,ECUADOR,0.995,0.001048342979318794,0.07071569536071287
bayesian,ECUADOR,0.995,1.2755979257946987e-09,0.03619573736295556
bayesian,ECUADOR,0.995,0.00167445775440229,0.08177276514070853
bayesian,ECUADOR,0.995,0.001507306409075833,0.06792923997781557
bayesian,ECUADOR,0.995,0.0009171942522966066,0.0735446259329018
bayesian,ECUADOR,0.995,0.0004026999553234801,0.0645667531250664
bayesian,ECUADOR,0.995,0.0005460481179282704,0.06992009120391465
bayesian,ECUADOR,0.995,9.98117190390872e-09,0.02334894517211384
bayesian,ECUADOR,0.995,0.00038951471759215615,0.059206225971081064
bayesian,ECUADOR,0.995,0.0004640847430178452,0.06243633593620306
bayesian,ECUADOR,0.995,0.008509453120846541,0.0895610921566021
bayesian,ECUADOR,0.995,0.0012256878059289332,0.06874164857525124
bayesian,ECUADOR,0.995,0.0009142348394968772,0.0567978751961432
bayesian,ECUADOR,0.995,3.4830128319484186e-05,0.05850607215557223
bayesian,ECUADOR,0.995,0.0026950962500129232,0.0779892096552609
bayesian,ECUADOR,0.995,0.001809826754857158,0.06947938311185783
bayesian,ECUADOR,0.995,0.0013546001612137026,0.07617759924011645
bayesian,ECUADOR,0.995,0.00029781212172155336,0.057222671562939476
bayesian,ECUADOR,0.995,0.0003240327627432357,0.06233801890067926
bayesian,ECUADOR,0.995,0.0002666188558180536,0.0655522149134212
bayesian,ECUADOR,0.995,0.0008524533107500386,0.06770067714191409
bayesian,ECUADOR,0.995,0.0015920421888407771,0.07420700867661523
bayesian,ECUADOR,0.995,0.00015973750862505643,0.056557279603976295
bayesian,ECUADOR,0.995,0.0018539554321648952,0.07536476253131932
bayesian,ECUADOR,0.995,1.118508271077583e-15,0.03286627283158208
bayesian,ECUADOR,0.995,0.001820503187314591,0.07200401095665396
bayesian,ECUADOR,0.995,0.0001982288869195338,0.05839013614398024
bayesian,ECUADOR,0.995,0.0009994597443826303,0.06611380881263465
bayesian,ECUADOR,0.995,0.0003207078933811059,0.07280196641890843
bayesian,ECUADOR,0.995,0.0004359019596041455,0.0588458525976427
bayesian,ECUADOR,0.995,2.925839471199244e-10,0.03972452100995751
bayesian,ECUADOR,0.995,0.00041888501070772477,0.06440700492989515
bayesian,ECUADOR,0.995,2.799979833396273e-09,0.03057819596578771
bayesian,ECUADOR,0.995,0.003067817441842322,0.08066310380519826
bayesian,ECUADOR,0.995,0.0008363632275221769,0.06244939806882781
bayesian,ECUADOR,0.995,0.0016606842881429617,0.07749118708784059
bayesian,ECUADOR,0.995,2.251677285752735e-11,0.02089594544266612
bayesian,ECUADOR,0.995,0.0025513271720610815,0.0739100158375709
bayesian,ECUADOR,0.995,2.21000784306368e-08,0.02442750214519049
bayesian,ECUADOR,0.995,6.916880998312705e-10,0.031581194503566494
bayesian,ECUADOR,0.995,1.5254761301582507e-10,0.034076229649914004
bayesian,ECUADOR,0.995,0.0016716752984590056,0.06883607576227957
bayesian,ECUADOR,0.995,1.2508128529614609e-09,0.035303147981418516
bayesian,ECUADOR,0.995,6.169030460597045e-08,0.041720386680238114
bayesian,ECUADOR,0.995,0.00015114698413540916,0.05440502957941579
bayesian,ECUADOR,0.995,0.0019010592706241551,0.07479306427627785
bayesian,ECUADOR,0.995,0.0,0.013816635309282236
bayesian,ECUADOR,0.995,0.0012173719174174774,0.07576510513416039
bayesian,ECUADOR,0.995,1.706568967732953e-07,0.03893123644687023
bayesian,ECUADOR,0.995,0.00028105538082374173,0.06210909708067633
bayesian,ECUADOR,0.995,1.5770635212335825e-13,0.03685882430312804
bayesian,ECUADOR,0.995,0.0026751266770345763,0.08092214719169556
bayesian,ECUADOR,0.995,0.0015350344858825985,0.062229467328225076
bayesian,ECUADOR,0.995,2.1477123601953146e-08,0.036216530876067216
bayesian,ECUADOR,0.995,0.00035097182880160785,0.06890705295803892
bayesian,ECUADOR,0.995,3.864462286492029e-08,0.049033135318537466
bayesian,ECUADOR,0.995,7.492710034507462e-09,0.04639286891529882
bayesian,ECUADOR,0.995,0.002035134284580378,0.07929831301277754
bayesian,ECUADOR,0.995,2.3103268402857423e-09,0.025762342696080937
bayesian,ECUADOR,0.995,0.0,0.0
bayesian,ECUADOR,0.995,0.0008131411416743702,0.07038457050410526
bayesian,ECUADOR,0.995,0.0006850572653398783,0.06549743120495928
bayesian,ECUADOR,0.995,6.183233800976493e-06,0.04954756812459743
bayesian,ECUADOR,0.995,0.0,0.0
bayesian,ECUADOR,0.995,1.2000115312715002e-08,0.024011684656441684
bayesian,ECUADOR,0.995,0.0003058535060685272,0.05702278911715852
bayesian,ECUADOR,0.995,0.0003640375785566258,0.05656846580982367
bayesian,ECUADOR,0.995,9.782579152378264e-05,0.052021266189450306
bayesian,ECUADOR,0.995,1.3542610648155477e-09,0.03822618324290571
bayesian,ECUADOR,0.995,0.0006941213429496706,0.05988284710738259
bayesian,ECUADOR,0.995,0.0,0.0
bayesian,ECUADOR,0.995,0.006940636011936141,0.07559360089474591
bayesian,ECUADOR,0.995,0.0009086591629311319,0.06589892420429601
bayesian,ECUADOR,0.995,0.000250598260841824,0.06023803770648523
bayesian,ECUADOR,0.995,0.0011022683789351628,0.06475995007777864
bayesian,ECUADOR,0.995,0.00020134645386467328,0.06509564333741245
bayesian,ECUADOR,0.995,1.431538130722732e-07,0.03052639409918659
bayesian,ECUADOR,0.995,2.573998228491485e-11,0.038311628780173045
bayesian,ECUADOR,0.995,5.552974540223688e-08,0.024823534633976158
bayesian,ECUADOR,0.995,0.0007632539368272636,0.07690085805445303
bayesian,ECUADOR,0.995,0.0,0.0
bayesian,ECUADOR,0.995,1.7404238455064452e-08,0.04017888970111803
bayesian,ECUADOR,0.995,6.83268392462148e-08,0.039919796398565174
bayesian,ECUADOR,0.995,0.00572308083205582,0.06564313511111831
bayesian,ECUADOR,0.995,0.0037143824010992172,0.0851452613280574
bayesian,ECUADOR,0.995,0.00018132720070761948,0.06392809031385163
bayesian,ECUADOR,0.995,2.112352089066245e-07,0.041030542591238145
bayesian,ECUADOR,0.995,0.00029037683904297617,0.06610404431268702
bayesian,ECUADOR,0.995,2.7227460697331342e-08,0.028089909005564045
bayesian,ECUADOR,0.995,6.690910703037436e-05,0.048319296206049904
bayesian,ECUADOR,0.995,0.00017514520990604622,0.06439027926261784
bayesian,ECUADOR,0.995,0.0,0.0
