method,region,quantile,lb,ub
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.002829088130069949,0.028464110095564245
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.002791115921748927,0.025440166398584083
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0031100563394910953,0.02626150905650969
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.002336498220701671,0.023134148178952964
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0022296520363795018,0.024569476351260826
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0023372085116350853,0.029920722006492814
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0024727105918492575,0.023906376265257198
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.005166576602183832,0.033004093924623217
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.006471492292407353,0.030989876395641346
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0028260194889114004,0.02515477750400207
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.00395224865240423,0.028698078263325138
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0012192090234779498,0.019004204419037184
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0009039066058087011,0.0182927899926459
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0032466161063209003,0.025083521943674858
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.004590719936213217,0.032666290269228335
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0016552826537252403,0.019056687129282195
bayesian,HOKKAIDO_JAPAN_REGION,0.99,6.656183333080586e-08,0.011368875559514616
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.00040274161066468497,0.015458728381042402
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.00336228024271626,0.026592917900695106
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0014795038296394505,0.021113784552384572
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0044672411090277185,0.02818034515145866
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0055202827274435755,0.037594611731689966
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.003626874409706685,0.029484523073560382
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0066264996995833774,0.03408885872115234
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.000900865605775564,0.016505936191582124
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0009106247388722447,0.020042159083210404
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0020844861062358448,0.026264996346682397
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.002809242088627299,0.02444315148324553
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.007637556828860332,0.03513678201233135
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.007050283647470854,0.03609186514034001
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0013375201548480088,0.019483036241503795
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.001811511080873645,0.02175931275977716
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.003934102323838743,0.02764385410106067
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.009122052982156317,0.0403057233587521
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.005203124402762115,0.03658521687181423
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.004586963044870735,0.032074880461444515
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.003085438558014171,0.02451670113095515
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0034440861887184595,0.02717746828144755
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.003681269080044307,0.028682702072102852
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.003632665380220214,0.02854769035120492
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.005395647504663331,0.029533630341962235
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.00438658281391976,0.030404708479793194
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0032739993993428705,0.027489719106404378
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.004517631960041327,0.03124857356453592
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.007114178014185293,0.03862375135447034
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0003011621206137706,0.01462219177398101
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0031878675623176625,0.027953584443676648
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.00905379785190802,0.04099929422566898
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.002187914919294371,0.023552999436198208
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0034029726349997184,0.02757520103953814
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.009855752487395885,0.04238748589238312
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0025108252166434184,0.02717937012199622
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0023457047974937183,0.027288141214340405
bayesian,HOKKAIDO_JAPAN_REGION,0.99,2.3916616824692312e-05,0.011890646553409441
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0023466281110261244,0.02470442733279774
bayesian,HOKKAIDO_JAPAN_REGION,0.99,4.520659440336596e-05,0.015128837023064425
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0010623532676560302,0.01997172361053053
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0035556226454481824,0.02966097655480576
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.004455955653015954,0.029001561744945413
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0017883732238889163,0.021084804587013988
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0019901116154510175,0.029976558889516357
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.003703831694579762,0.027804381539149256
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0035622745243502297,0.03226207647351565
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0035418099683673433,0.028852896586189686
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0023744290146250663,0.022372362741099418
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.001791133975763746,0.020171283582143044
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.006158695129580352,0.0316657634620499
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0037544795335592036,0.03078095139122579
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0044188755263694654,0.03212481417766161
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.002929195037732471,0.029173285063340007
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.002296439200850012,0.02252702587347201
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.002184130060276843,0.0235593683540979
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0030983623589374357,0.028042121352377287
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0019696879662270766,0.022888458561765312
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0032996440359049713,0.026441873238648723
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.004036053439680498,0.029952797456680773
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0015749347413681002,0.020252108517020306
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.005706419509033797,0.03353843127053514
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0055732303724496295,0.031012339692287543
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.0031273338214260166,0.023126021274671366
bayesian,HOKKAIDO_JAPAN_REGION,0.99,0.004628374175837069,0.03295705331921716
