method,region,quantile,lb,ub
bayesian,KURIL_ISLANDS,0.95,0.0333589560248832,0.05993106844335511
bayesian,KURIL_ISLANDS,0.95,0.033327291391269255,0.06602227261426938
bayesian,KURIL_ISLANDS,0.95,0.04001972493299828,0.06963927484478781
bayesian,KURIL_ISLANDS,0.95,0.02976672240802661,0.055162232458770465
bayesian,KURIL_ISLANDS,0.95,0.04673112602605182,0.07893942677601004
bayesian,KURIL_ISLANDS,0.95,0.03899652616280718,0.06754421135305592
bayesian,KURIL_ISLANDS,0.95,0.02298936848261445,0.04434900736124312
bayesian,KURIL_ISLANDS,0.95,0.03885437296234674,0.07556873681572635
bayesian,KURIL_ISLANDS,0.95,0.03156850408299357,0.05516770512092428
bayesian,KURIL_ISLANDS,0.95,0.036663238040397145,0.06345888072629717
bayesian,KURIL_ISLANDS,0.95,0.04251205514380374,0.07102968479164767
bayesian,KURIL_ISLANDS,0.95,0.04508351313424584,0.0766620365343295
bayesian,KURIL_ISLANDS,0.95,0.036674987882046074,0.05855612649678972
bayesian,KURIL_ISLANDS,0.95,0.041470672618591414,0.06998672480705675
bayesian,KURIL_ISLANDS,0.95,0.0391811364764707,0.06781320549834229
bayesian,KURIL_ISLANDS,0.95,0.037416234004347994,0.06641778817838946
bayesian,KURIL_ISLANDS,0.95,0.04229947241022294,0.07072361963880937
bayesian,KURIL_ISLANDS,0.95,0.03087104694986561,0.05880085621795156
bayesian,KURIL_ISLANDS,0.95,0.036257157865705686,0.06284111060653544
bayesian,KURIL_ISLANDS,0.95,0.03247884224533921,0.057297266986427293
bayesian,KURIL_ISLANDS,0.95,0.04321872720054342,0.07222881956258861
bayesian,KURIL_ISLANDS,0.95,0.030036038618714705,0.056630512031063264
bayesian,KURIL_ISLANDS,0.95,0.03807990416790544,0.06607206219499616
bayesian,KURIL_ISLANDS,0.95,0.026931428477524416,0.052456535615070465
bayesian,KURIL_ISLANDS,0.95,0.04170226891181765,0.07204964281074726
bayesian,KURIL_ISLANDS,0.95,0.03788297364811044,0.06301630454774157
bayesian,KURIL_ISLANDS,0.95,0.030907191612165767,0.058481829935091524
bayesian,KURIL_ISLANDS,0.95,0.025157629621084216,0.05149056163615713
bayesian,KURIL_ISLANDS,0.95,0.0429172725229123,0.07389350107425068
bayesian,KURIL_ISLANDS,0.95,0.027241246181309662,0.050046046580179866
bayesian,KURIL_ISLANDS,0.95,0.031977924678577796,0.0592068668516566
bayesian,KURIL_ISLANDS,0.95,0.03028822127535763,0.0559731828746987
bayesian,KURIL_ISLANDS,0.95,0.040536765667621384,0.07184661556285289
bayesian,KURIL_ISLANDS,0.95,0.043271328598264255,0.07242769580099652
