method,region,quantile,lb,ub
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0027547479589495115,0.07800384183632603
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,7.804784987311603e-12,0.05015131307565483
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,2.252232053438989e-09,0.06461652475165386
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0,0.0
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0006838898352189755,0.05702100929181065
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,8.104522844381419e-07,0.0661375254546682
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,2.69602289629284e-06,0.06201534093040036
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0027415651864122733,0.08051599381211298
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0005837247432133148,0.06864414037318395
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,4.917388052696606e-07,0.054917902112467276
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.00042795372857146576,0.0633363355522876
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,2.6895543695144636e-16,0.025819393462003154
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0004863722441763006,0.06570157253663492
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.000752710160247012,0.064475632236813
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.001522459132585439,0.06906562148023017
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.00033955032127315894,0.05571172280774057
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,1.0365423169554613e-06,0.06527366987692894
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,1.9096052383033883e-07,0.058326076301787794
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0007920411368773231,0.06818995383387277
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0034049622169726695,0.07977862927820568
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,1.6280499163199008e-07,0.05647056230706465
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0013607864064413776,0.07337858601148502
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0023974596375323366,0.07078691030334182
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0006722998649272548,0.0673610726485388
bayesian,OFF_COAST_OF_NORTHERN_CA,0.99,0.0018640569430249355,0.07254323419291807
