method,region,quantile,lb,ub
bayesian,SOLOMON_ISLANDS,0.99,0.0033598701534845754,0.013537139983783437
bayesian,SOLOMON_ISLANDS,0.99,0.003879492411906075,0.012997737114995262
bayesian,SOLOMON_ISLANDS,0.99,0.004354627186114161,0.014633474522866563
bayesian,SOLOMON_ISLANDS,0.99,0.005981148710371837,0.016419624049833506
bayesian,SOLOMON_ISLANDS,0.99,0.006784696938281932,0.01766481884636172
bayesian,SOLOMON_ISLANDS,0.99,0.00503023070720209,0.013816308696778612
bayesian,SOLOMON_ISLANDS,0.99,0.00756906408112606,0.021014002983926916
bayesian,SOLOMON_ISLANDS,0.99,0.0070347607457028226,0.02040029200540878
bayesian,SOLOMON_ISLANDS,0.99,0.0060971857808698885,0.018509958374102804
bayesian,SOLOMON_ISLANDS,0.99,0.006016164433231449,0.017887402770038842
bayesian,SOLOMON_ISLANDS,0.99,0.003353709679643576,0.012670344699000288
bayesian,SOLOMON_ISLANDS,0.99,0.00729218668894336,0.019778963492399042
bayesian,SOLOMON_ISLANDS,0.99,0.004697455893382006,0.016559438982938306
bayesian,SOLOMON_ISLANDS,0.99,0.004768048669111011,0.015028292433093369
bayesian,SOLOMON_ISLANDS,0.99,0.00906035656657619,0.02293374225893245
bayesian,SOLOMON_ISLANDS,0.99,0.004760111936037293,0.015931470661365642
bayesian,SOLOMON_ISLANDS,0.99,0.003410514215630873,0.01277319840511324
bayesian,SOLOMON_ISLANDS,0.99,0.004430903678407094,0.01469028227271331
bayesian,SOLOMON_ISLANDS,0.99,0.0038944397000880734,0.013929821685380239
bayesian,SOLOMON_ISLANDS,0.99,0.0060876293383178666,0.016719655125596082
bayesian,SOLOMON_ISLANDS,0.99,0.004829837556442989,0.015409991245485765
bayesian,SOLOMON_ISLANDS,0.99,0.0028727689997167607,0.011507923538885214
bayesian,SOLOMON_ISLANDS,0.99,0.006014774602493826,0.016862057523538282
bayesian,SOLOMON_ISLANDS,0.99,0.004340139759902747,0.014085814075951572
bayesian,SOLOMON_ISLANDS,0.99,0.00681462961928479,0.018431067244984726
bayesian,SOLOMON_ISLANDS,0.99,0.007694637701973027,0.019867663040061136
bayesian,SOLOMON_ISLANDS,0.99,0.006679148116380472,0.018696295868167224
bayesian,SOLOMON_ISLANDS,0.99,0.006668033836879053,0.018174417760443862
bayesian,SOLOMON_ISLANDS,0.99,0.005474123178131229,0.01599029231606955
bayesian,SOLOMON_ISLANDS,0.99,0.004949986051905321,0.01633858669665154
bayesian,SOLOMON_ISLANDS,0.99,0.005129029534232241,0.01511028791978552
bayesian,SOLOMON_ISLANDS,0.99,0.00432666938892823,0.014365297764777653
bayesian,SOLOMON_ISLANDS,0.99,0.006294203853130613,0.018858852707810736
bayesian,SOLOMON_ISLANDS,0.99,0.005290321677768955,0.015862668902268486
bayesian,SOLOMON_ISLANDS,0.99,0.0025203798781568516,0.011684303317822572
bayesian,SOLOMON_ISLANDS,0.99,0.007971121525173883,0.019833892085026478
bayesian,SOLOMON_ISLANDS,0.99,0.004005038090283789,0.014159696965753837
bayesian,SOLOMON_ISLANDS,0.99,0.004424800166614218,0.014059809699652157
bayesian,SOLOMON_ISLANDS,0.99,0.005212964957063382,0.0156133740979522
bayesian,SOLOMON_ISLANDS,0.99,0.007466427997717322,0.019256727556612306
bayesian,SOLOMON_ISLANDS,0.99,0.005120829061502351,0.016781964635708458
bayesian,SOLOMON_ISLANDS,0.99,0.008347586464017996,0.021397405821099134
bayesian,SOLOMON_ISLANDS,0.99,0.003683125771792678,0.01267676837060547
bayesian,SOLOMON_ISLANDS,0.99,0.004951417458719554,0.015689021087060644
bayesian,SOLOMON_ISLANDS,0.99,0.005316003405218992,0.016517187978117704
bayesian,SOLOMON_ISLANDS,0.99,0.004409827053495811,0.015246647484635655
bayesian,SOLOMON_ISLANDS,0.99,0.005400614096258919,0.015968330206626087
bayesian,SOLOMON_ISLANDS,0.99,0.006329774746438108,0.019130087425785834
bayesian,SOLOMON_ISLANDS,0.99,0.003397992406865352,0.012143360089997548
bayesian,SOLOMON_ISLANDS,0.99,0.0033703396337135556,0.01239944828019937
bayesian,SOLOMON_ISLANDS,0.99,0.007016427883528355,0.017844581702384333
bayesian,SOLOMON_ISLANDS,0.99,0.004357978841727809,0.014572384189714934
bayesian,SOLOMON_ISLANDS,0.99,0.0033463254791294126,0.012502434702112052
bayesian,SOLOMON_ISLANDS,0.99,0.00408245643724406,0.014414502282355914
bayesian,SOLOMON_ISLANDS,0.99,0.007031468458606318,0.01846052235098905
bayesian,SOLOMON_ISLANDS,0.99,0.005084804590314656,0.01557076984882775
bayesian,SOLOMON_ISLANDS,0.99,0.006906516319592417,0.01847581487859093
bayesian,SOLOMON_ISLANDS,0.99,0.004352555607212083,0.013752763256395713
bayesian,SOLOMON_ISLANDS,0.99,0.005740819088466639,0.017610581794498006
bayesian,SOLOMON_ISLANDS,0.99,0.007527301732963716,0.019273851707690512
bayesian,SOLOMON_ISLANDS,0.99,0.010947842456429224,0.02522039539582333
bayesian,SOLOMON_ISLANDS,0.99,0.005051319435196981,0.01502764203930145
bayesian,SOLOMON_ISLANDS,0.99,0.004002820823420285,0.014450517754044486
bayesian,SOLOMON_ISLANDS,0.99,0.007844955502076404,0.019427916167726295
bayesian,SOLOMON_ISLANDS,0.99,0.0033654714401722195,0.01249942569685813
bayesian,SOLOMON_ISLANDS,0.99,0.003624434574280669,0.012074690566430067
bayesian,SOLOMON_ISLANDS,0.99,0.0035501756271198695,0.013883343677916065
bayesian,SOLOMON_ISLANDS,0.99,0.006254358440177947,0.019226441345984408
bayesian,SOLOMON_ISLANDS,0.99,0.002074855864123289,0.011644755970893525
bayesian,SOLOMON_ISLANDS,0.99,0.0076721488207326435,0.020184770462514108
bayesian,SOLOMON_ISLANDS,0.99,0.0034972411799512153,0.012471906352555955
bayesian,SOLOMON_ISLANDS,0.99,0.005527465381311983,0.01554643753603423
bayesian,SOLOMON_ISLANDS,0.99,0.006636593605099634,0.018839993756411454
bayesian,SOLOMON_ISLANDS,0.99,0.003071651119733393,0.011696857196112081
bayesian,SOLOMON_ISLANDS,0.99,0.004732509183394908,0.015569234848803733
bayesian,SOLOMON_ISLANDS,0.99,0.004504690138901859,0.013873276880084915
bayesian,SOLOMON_ISLANDS,0.99,0.005487337553779376,0.017067336245093788
bayesian,SOLOMON_ISLANDS,0.99,0.005015704109235272,0.018534913284677202
bayesian,SOLOMON_ISLANDS,0.99,0.004148346379225,0.012861435620976719
bayesian,SOLOMON_ISLANDS,0.99,0.006086958751003255,0.016437701391312856
bayesian,SOLOMON_ISLANDS,0.99,0.0036964870884187446,0.015174132386832661
bayesian,SOLOMON_ISLANDS,0.99,0.00535610059055086,0.017262817472739177
bayesian,SOLOMON_ISLANDS,0.99,0.005621276479374318,0.016372685545594966
bayesian,SOLOMON_ISLANDS,0.99,0.004106245035960146,0.013786410220011395
bayesian,SOLOMON_ISLANDS,0.99,0.004981970493742347,0.01423261050696797
bayesian,SOLOMON_ISLANDS,0.99,0.004645704777247472,0.014955021871048678
bayesian,SOLOMON_ISLANDS,0.99,0.003753208539800008,0.01342753254093995
bayesian,SOLOMON_ISLANDS,0.99,0.00603740839546094,0.017444388326456107
bayesian,SOLOMON_ISLANDS,0.99,0.004746956027056155,0.014438645777192616
bayesian,SOLOMON_ISLANDS,0.99,0.00447280883612048,0.014342267172003043
bayesian,SOLOMON_ISLANDS,0.99,0.0042841610001509945,0.013673707035159204
bayesian,SOLOMON_ISLANDS,0.99,0.005808538498502918,0.018405608769557238
bayesian,SOLOMON_ISLANDS,0.99,0.004829637205555525,0.015612640065112126
bayesian,SOLOMON_ISLANDS,0.99,0.005640641561237889,0.01700649708570809
bayesian,SOLOMON_ISLANDS,0.99,0.0024088479844082992,0.010983119529240937
bayesian,SOLOMON_ISLANDS,0.99,0.004964936824927829,0.017048812728014263
bayesian,SOLOMON_ISLANDS,0.99,0.003231345205009209,0.011893650224042466
bayesian,SOLOMON_ISLANDS,0.99,0.004064376222673802,0.014143688107636682
bayesian,SOLOMON_ISLANDS,0.99,0.005075834870312796,0.017233066508048567
bayesian,SOLOMON_ISLANDS,0.99,0.004381405534977761,0.014957102792206148
