method,region,quantile,lb,ub
bayesian,TURKEY,0.995,0.0014341053084918841,0.028866015607150984
bayesian,TURKEY,0.995,0.0008480912566426497,0.026039119777757656
bayesian,TURKEY,0.995,3.79295043845995e-05,0.0174375690323466
bayesian,TURKEY,0.995,0.0009872111950013924,0.024716698330218955
bayesian,TURKEY,0.995,0.0006283480706337702,0.026367163633853993
bayesian,TURKEY,0.995,0.0007798095242935276,0.02093763979963079
bayesian,TURKEY,0.995,2.9751563006467348e-05,0.013574483560528233
bayesian,TURKEY,0.995,0.0003267875614128168,0.016569969362487034
bayesian,TURKEY,0.995,0.0010067016361210016,0.02353149654945291
bayesian,TURKEY,0.995,0.0013943605195904322,0.026673372272211452
bayesian,TURKEY,0.995,0.00018630309812613162,0.01995872916529777
bayesian,TURKEY,0.995,0.0006000974942288646,0.023428240663328787
bayesian,TURKEY,0.995,0.0001992327789010127,0.01939592326967587
bayesian,TURKEY,0.995,1.1778498877019089e-14,0.009701712896668381
bayesian,TURKEY,0.995,0.0005569803134195698,0.02406423103816213
bayesian,TURKEY,0.995,0.0003287401167021037,0.01801259556664858
bayesian,TURKEY,0.995,0.0003038501843924454,0.015887362762604284
bayesian,TURKEY,0.995,8.272590055707515e-05,0.018531302169692947
bayesian,TURKEY,0.995,0.0008355442025408139,0.026330311962324812
bayesian,TURKEY,0.995,0.0009902063439903713,0.027761095464857364
bayesian,TURKEY,0.995,8.10485150638893e-12,0.010531142729759982
bayesian,TURKEY,0.995,9.06532940001177e-12,0.00962740332087951
bayesian,TURKEY,0.995,0.0032349366388806674,0.034142611631215826
bayesian,TURKEY,0.995,0.0003845847180911239,0.020062517143549004
bayesian,TURKEY,0.995,0.0012204317052965056,0.026902111219720838
bayesian,TURKEY,0.995,0.0,0.011417513542260213
bayesian,TURKEY,0.995,0.00035220930590712773,0.016943569119651693
bayesian,TURKEY,0.995,0.00028776010798192513,0.017062461306495497
bayesian,TURKEY,0.995,0.00026354313354833215,0.018532470406870068
bayesian,TURKEY,0.995,8.441228147775563e-06,0.017742044942551098
bayesian,TURKEY,0.995,0.0003503590182292247,0.022943836879361374
bayesian,TURKEY,0.995,0.0034574922720025055,0.0364103342107408
bayesian,TURKEY,0.995,0.0011632697245669886,0.028679621186690978
bayesian,TURKEY,0.995,0.0007561798442386098,0.02330780604717239
bayesian,TURKEY,0.995,1.2963351001224858e-15,0.005703636095943509
bayesian,TURKEY,0.995,0.00034564449500309677,0.018438099469343504
bayesian,TURKEY,0.995,0.00024205813166038528,0.02256866047726129
bayesian,TURKEY,0.995,2.1373934257089585e-05,0.01386721518805392
bayesian,TURKEY,0.995,3.915724360711133e-17,0.006736091784732811
bayesian,TURKEY,0.995,0.00019968864807537099,0.02053485196769632
bayesian,TURKEY,0.995,0.0010110021354350516,0.02588874033987696
bayesian,TURKEY,0.995,0.0004514321047996435,0.024476916409637332
bayesian,TURKEY,0.995,0.000200068489591446,0.014664074024884916
bayesian,TURKEY,0.995,0.0004496708380996887,0.024812744126958476
bayesian,TURKEY,0.995,0.0,0.0034784502223056306
bayesian,TURKEY,0.995,0.0005414520970730713,0.023297423527187982
bayesian,TURKEY,0.995,0.0010379247649550578,0.026330252876977947
bayesian,TURKEY,0.995,4.329442006638079e-06,0.010529024418345176
bayesian,TURKEY,0.995,0.0006777982308662854,0.02798249029566352
bayesian,TURKEY,0.995,5.4377299831044146e-05,0.014613096349101252
bayesian,TURKEY,0.995,0.0018524108910157372,0.02949689589168267
bayesian,TURKEY,0.995,0.0005528486776196167,0.023674008896940785
bayesian,TURKEY,0.995,0.0009447939373863829,0.024121684481712202
bayesian,TURKEY,0.995,0.0003390467263577428,0.01958133867436662
bayesian,TURKEY,0.995,0.00018565927928785802,0.01769415157459687
bayesian,TURKEY,0.995,0.0008253233528237266,0.028130890058550496
bayesian,TURKEY,0.995,0.00034118122139285216,0.020814560631728304
bayesian,TURKEY,0.995,9.687406656803568e-05,0.015886158840465896
bayesian,TURKEY,0.995,0.0025315734738834946,0.03376520721731934
bayesian,TURKEY,0.995,0.00013408736791410686,0.01537809197634727
bayesian,TURKEY,0.995,0.0006885304247897665,0.022563776354332318
