method,region,quantile,lb,ub
opt,BANDA_SEA,0.95,0.005280735581139943,0.06802396525283752
opt,BANDA_SEA,0.95,0.016747851471369396,0.08801168677228105
opt,BANDA_SEA,0.95,0.000646577254855351,0.06440341847813523
opt,BANDA_SEA,0.95,0.00442557842915791,0.07437563556737026
opt,BANDA_SEA,0.95,0.017778330905084024,0.09163762490521661
opt,BANDA_SEA,0.95,0.010839726291453203,0.0838283578295548
opt,BANDA_SEA,0.95,0.006602767678018054,0.07340841169007375
opt,BANDA_SEA,0.95,0.02839389303061267,0.1001975779761978
opt,BANDA_SEA,0.95,0.013523423337624116,0.08513848575611176
opt,BANDA_SEA,0.95,0.015188380845061439,0.06932468841544898
opt,BANDA_SEA,0.95,0.017912476098387607,0.08645043886053198
opt,BANDA_SEA,0.95,0.0045896127310048815,0.07133185325443168
opt,BANDA_SEA,0.95,0.012921375816443419,0.0844027158000867
opt,BANDA_SEA,0.95,0.014046881033047985,0.0875624658432683
opt,BANDA_SEA,0.95,0.02344856560173919,0.09637408344823757
opt,BANDA_SEA,0.95,0.0049151571078695985,0.07383745513790305
opt,BANDA_SEA,0.95,0.01170714314201983,0.08433426512144246
opt,BANDA_SEA,0.95,0.007649621364374561,0.07919256713499104
opt,BANDA_SEA,0.95,0.004369005884124887,0.07620839581649749
opt,BANDA_SEA,0.95,0.03041478424010803,0.10173505172089553
opt,BANDA_SEA,0.95,0.016161049440776523,0.09098088425709235
opt,BANDA_SEA,0.95,0.014199805088868186,0.08623643026439035
opt,BANDA_SEA,0.95,0.017590035656839947,0.09381467459221127
opt,BANDA_SEA,0.95,0.00448252526100127,0.06966811685674423
opt,BANDA_SEA,0.95,0.005987293029093996,0.072640861036737
opt,BANDA_SEA,0.95,0.010586106039760734,0.07874952192986921
opt,BANDA_SEA,0.95,0.012561447016971497,0.08127422937077838
opt,BANDA_SEA,0.95,0.014606213097225512,0.0873267311491732
opt,BANDA_SEA,0.95,0.0021214701600614436,0.07388946367968453
opt,BANDA_SEA,0.95,0.0185226811452035,0.08788896443865547
opt,BANDA_SEA,0.95,0.011862118993533566,0.07708913129968083
opt,BANDA_SEA,0.95,0.015710329175398247,0.08920399614868235
opt,BANDA_SEA,0.95,0.020991353289728065,0.09059342733901017
opt,BANDA_SEA,0.95,0.015784657605405428,0.08933050854244491
opt,BANDA_SEA,0.95,0.014928611408250261,0.08505790710937784
opt,BANDA_SEA,0.95,0.005721982049949899,0.07621575789659
opt,BANDA_SEA,0.95,0.010348146595614054,0.0709094351015683
opt,BANDA_SEA,0.95,0.01872465166025046,0.08966720603367787
opt,BANDA_SEA,0.95,0.017251210770235795,0.08608373374029356
opt,BANDA_SEA,0.95,0.01506478900325696,0.0904609272936358
opt,BANDA_SEA,0.95,0.011771381129652737,0.08736313494720865
opt,BANDA_SEA,0.95,0.007129705211240567,0.07284222367499661
opt,BANDA_SEA,0.95,0.02576626152458837,0.09539294309327359
opt,BANDA_SEA,0.95,0.01394778843439172,0.08491077619363571
opt,BANDA_SEA,0.95,0.021835562957531973,0.09187764146738443
opt,BANDA_SEA,0.95,0.00755014299980028,0.07340931579701737
opt,BANDA_SEA,0.95,0.010950213307346121,0.07838081410087268
opt,BANDA_SEA,0.95,0.015381224366150928,0.09126936088536525
opt,BANDA_SEA,0.95,0.007255685015795557,0.07668694052595706
opt,BANDA_SEA,0.95,0.01809931498825254,0.09317117852326928
opt,BANDA_SEA,0.95,0.015498853284647285,0.08735021388298538
opt,BANDA_SEA,0.95,0.008368804477736823,0.07829851931634241
opt,BANDA_SEA,0.95,0.0015387345246458024,0.06825723982258461
opt,BANDA_SEA,0.95,0.009878095572811892,0.08192816894437605
opt,BANDA_SEA,0.95,0.00806754239014984,0.07875057242268597
opt,BANDA_SEA,0.95,0.020657933417225133,0.09186281602464438
opt,BANDA_SEA,0.95,0.008762370553008998,0.08031964738138173
opt,BANDA_SEA,0.95,0.013982354323351105,0.08013254414349855
opt,BANDA_SEA,0.95,0.010420005798759166,0.08211905139230513
opt,BANDA_SEA,0.95,0.013180436021781407,0.08263678198322846
opt,BANDA_SEA,0.95,0.008863919522054425,0.07881452291941865
opt,BANDA_SEA,0.95,0.010814106627016297,0.08051932156995818
opt,BANDA_SEA,0.95,0.01673382589455974,0.08761764491033562
opt,BANDA_SEA,0.95,0.011065415594572886,0.0808561196308957
opt,BANDA_SEA,0.95,0.012337181377635342,0.08142074759012537
opt,BANDA_SEA,0.95,0.011833052562207784,0.08203512786525663
opt,BANDA_SEA,0.95,0.016629369846846695,0.08287583457659937
opt,BANDA_SEA,0.95,0.013829092313842564,0.0888564074325591
opt,BANDA_SEA,0.95,0.028575812707197258,0.10073179336570354
opt,BANDA_SEA,0.95,0.0048547229819734875,0.07332964036355923
opt,BANDA_SEA,0.95,0.017544435610837635,0.08496026303906529
opt,BANDA_SEA,0.95,0.014599426289834898,0.08377925892408929
opt,BANDA_SEA,0.95,0.012615155242570501,0.08216757656080986
opt,BANDA_SEA,0.95,0.00886417945093046,0.08027771298216099
opt,BANDA_SEA,0.95,0.010670822182382668,0.08303920106090926
opt,BANDA_SEA,0.95,0.001441717881340645,0.06520542523706899
opt,BANDA_SEA,0.95,0.0138758843130656,0.08960459121991626
opt,BANDA_SEA,0.95,0.02514923679972461,0.09332421083640964
opt,BANDA_SEA,0.95,0.014944264678600695,0.0876009514147301
opt,BANDA_SEA,0.95,0.0004355077560030656,0.06113532128964115
opt,BANDA_SEA,0.95,0.005415817055703313,0.06654679231694391
opt,BANDA_SEA,0.95,0.020021731782015897,0.09327951040381535
opt,BANDA_SEA,0.95,0.01484495300913747,0.08052847735723667
opt,BANDA_SEA,0.95,0.00593347101422962,0.0717900691738732
opt,BANDA_SEA,0.95,0.009274715890699357,0.07665873044925363
opt,BANDA_SEA,0.95,0.009765100611857876,0.08002260637414856
opt,BANDA_SEA,0.95,0.01864396691613189,0.08840080603756037
opt,BANDA_SEA,0.95,0.016158758004022722,0.09236651376703617
opt,BANDA_SEA,0.95,0.009404613719980491,0.083989379421402
opt,BANDA_SEA,0.95,0.013442431622859387,0.0827757054904436
opt,BANDA_SEA,0.95,0.006905787278847553,0.07482818297644106
opt,BANDA_SEA,0.95,0.005045568156385433,0.07529032559553456
opt,BANDA_SEA,0.95,0.011468550224205336,0.07860104253820517
opt,BANDA_SEA,0.95,0.016302162201224046,0.08724521317301027
opt,BANDA_SEA,0.95,0.008460264934121761,0.07877777376984355
opt,BANDA_SEA,0.95,0.010000117765893407,0.07940217366476628
opt,BANDA_SEA,0.95,0.015709733874411866,0.0831486152850108
opt,BANDA_SEA,0.95,9.41645979804593e-06,0.06160380701026058
