method,region,quantile,lb,ub
opt,ECUADOR,0.995,0.0,0.03495455369136888
opt,ECUADOR,0.995,0.0,0.051695047322018114
opt,ECUADOR,0.995,0.0,0.03716417757853209
opt,ECUADOR,0.995,0.0,0.0016301706311275498
opt,ECUADOR,0.995,0.0,0.035143656580372495
opt,ECUADOR,0.995,0.0,0.08061486872673615
opt,ECUADOR,0.995,0.0,0.012773882703918011
opt,ECUADOR,0.995,0.0,0.07864338576601244
opt,ECUADOR,0.995,0.0,0.019123015666691574
opt,ECUADOR,0.995,0.0,0.038194060285896
opt,ECUADOR,0.995,0.0,0.005271081165431259
opt,ECUADOR,0.995,0.0,0.06790214636775509
opt,ECUADOR,0.995,0.0,0.038762693833672514
opt,ECUADOR,0.995,0.0,0.034209973435816075
opt,ECUADOR,0.995,0.0,0.00968998692210776
opt,ECUADOR,0.995,0.0,0.08948681094357139
opt,ECUADOR,0.995,-0.0,0.0
opt,ECUADOR,0.995,0.0,0.015521622554422815
opt,ECUADOR,0.995,-0.0,0.0
opt,ECUADOR,0.995,0.0,0.03845944925043624
opt,ECUADOR,0.995,0.0,0.062281999216965395
opt,ECUADOR,0.995,0.0,0.05260945972161813
opt,ECUADOR,0.995,0.0,0.05524766534884247
opt,ECUADOR,0.995,0.0,0.03774890346108663
opt,ECUADOR,0.995,0.0,0.032086659710402775
opt,ECUADOR,0.995,0.0,0.008106517002387823
opt,ECUADOR,0.995,0.0,0.00247100854565507
opt,ECUADOR,0.995,0.0,0.008317578751519353
opt,ECUADOR,0.995,0.0,0.05311738210767687
opt,ECUADOR,0.995,0.0,0.006087088392001489
opt,ECUADOR,0.995,0.0,0.013475645773192088
opt,ECUADOR,0.995,0.0,0.03671454860757121
opt,ECUADOR,0.995,0.0,0.05903469835825077
opt,ECUADOR,0.995,0.0,0.054049168531797545
opt,ECUADOR,0.995,0.0,0.00855189362229434
opt,ECUADOR,0.995,0.0,0.03946341576295368
opt,ECUADOR,0.995,0.0,0.011249589700912041
opt,ECUADOR,0.995,0.0,0.07393681138108152
opt,ECUADOR,0.995,0.0,0.04013261592601101
opt,ECUADOR,0.995,0.0,0.038817952029638156
opt,ECUADOR,0.995,0.0,0.03218805784965811
opt,ECUADOR,0.995,0.0,0.03627168477217241
opt,ECUADOR,0.995,0.0,0.008186501080701873
opt,ECUADOR,0.995,0.0,0.03536417591100887
opt,ECUADOR,0.995,0.0,0.057962109282484485
opt,ECUADOR,0.995,0.0,0.015035696844366855
opt,ECUADOR,0.995,0.0,0.005414784685782473
opt,ECUADOR,0.995,0.0,0.03463369780445741
opt,ECUADOR,0.995,0.0,0.07052427527975422
opt,ECUADOR,0.995,0.0,0.05535230600007913
opt,ECUADOR,0.995,0.0,0.051368674834150134
opt,ECUADOR,0.995,0.0,0.03839375219979198
opt,ECUADOR,0.995,0.0,0.03692629490165042
opt,ECUADOR,0.995,0.0,0.005139221835567162
opt,ECUADOR,0.995,0.0,0.0015469003922145372
opt,ECUADOR,0.995,0.0,0.05478903080393147
opt,ECUADOR,0.995,0.0,0.01528885558619534
opt,ECUADOR,0.995,0.0,0.0440502630713769
opt,ECUADOR,0.995,0.0,0.06528863657980061
opt,ECUADOR,0.995,0.0,0.051978707684287515
opt,ECUADOR,0.995,0.0,0.03486591829281471
opt,ECUADOR,0.995,0.0,0.03599451520402151
opt,ECUADOR,0.995,0.0,0.03789637829251305
opt,ECUADOR,0.995,0.0,0.03756548116397049
opt,ECUADOR,0.995,0.0,0.03383933014443265
opt,ECUADOR,0.995,0.0,0.0626557644061953
opt,ECUADOR,0.995,0.0,0.03811673575396637
opt,ECUADOR,0.995,0.0,0.009407664488211877
opt,ECUADOR,0.995,0.0,0.05375577888293996
opt,ECUADOR,0.995,0.0,0.05671290080639162
opt,ECUADOR,0.995,0.0,0.001492253789973766
opt,ECUADOR,0.995,0.0,0.034428608450736406
opt,ECUADOR,0.995,0.0,0.05585442084410399
opt,ECUADOR,0.995,0.0,0.0583160647852542
opt,ECUADOR,0.995,0.0,0.05344287349634526
opt,ECUADOR,0.995,0.0,0.04944126659905004
opt,ECUADOR,0.995,0.0,0.032427411025206423
opt,ECUADOR,0.995,0.0,0.03422791173839752
opt,ECUADOR,0.995,0.0,0.010016064947730455
opt,ECUADOR,0.995,0.0,0.03605448107001432
opt,ECUADOR,0.995,0.0,0.041398920694328434
opt,ECUADOR,0.995,0.0,0.04496716440363835
opt,ECUADOR,0.995,0.0,0.015902339536834162
opt,ECUADOR,0.995,0.0,0.05500539969140315
opt,ECUADOR,0.995,0.0,0.007218710893526498
opt,ECUADOR,0.995,0.0,0.05575529489623106
opt,ECUADOR,0.995,0.0,0.006301894252407132
opt,ECUADOR,0.995,0.0,0.011164169669471941
opt,ECUADOR,0.995,0.0,0.03978279685090612
opt,ECUADOR,0.995,0.0,0.008791749276165998
opt,ECUADOR,0.995,0.0,0.06904179369931315
opt,ECUADOR,0.995,0.0,0.07230818029588598
opt,ECUADOR,0.995,0.0,0.03568284265264682
opt,ECUADOR,0.995,0.0,0.03637194040707115
opt,ECUADOR,0.995,0.0,0.05435545152082896
opt,ECUADOR,0.995,0.0,0.056475828648359865
opt,ECUADOR,0.995,0.0,0.010226712423195835
opt,ECUADOR,0.995,0.0,0.03825547790576288
opt,ECUADOR,0.995,0.0,0.004559277997662229
opt,ECUADOR,0.995,0.0,0.05214505331314204
