method,region,quantile,lb,ub
opt,FIJI_ISLANDS_REGION,0.95,0.020306807729054452,0.08226606580418827
opt,FIJI_ISLANDS_REGION,0.95,0.01432086052208463,0.07194664052272336
opt,FIJI_ISLANDS_REGION,0.95,0.00923402856180288,0.06710766138126038
opt,FIJI_ISLANDS_REGION,0.95,0.013946242825725888,0.07038294517068007
opt,FIJI_ISLANDS_REGION,0.95,0.013311393103006976,0.07392273066873122
opt,FIJI_ISLANDS_REGION,0.95,0.013354576536016759,0.07592518084627617
opt,FIJI_ISLANDS_REGION,0.95,0.014271042121959843,0.074074610170548
opt,FIJI_ISLANDS_REGION,0.95,0.01891489863256296,0.08105398147396471
opt,FIJI_ISLANDS_REGION,0.95,0.016292704536003504,0.07349774823425066
opt,FIJI_ISLANDS_REGION,0.95,0.015689071513242003,0.07177593944763114
opt,FIJI_ISLANDS_REGION,0.95,0.01962462088030526,0.08235093315537839
opt,FIJI_ISLANDS_REGION,0.95,0.01515249992156107,0.07511757457065461
opt,FIJI_ISLANDS_REGION,0.95,0.01941867243662742,0.07871479865710324
opt,FIJI_ISLANDS_REGION,0.95,0.0106682406412889,0.06416399177221088
opt,FIJI_ISLANDS_REGION,0.95,0.006408781055364937,0.0634459354166497
opt,FIJI_ISLANDS_REGION,0.95,0.015395446141662418,0.0790648532312653
opt,FIJI_ISLANDS_REGION,0.95,0.0162530669376841,0.07639161869037424
opt,FIJI_ISLANDS_REGION,0.95,0.012079943700054753,0.06535958968305924
opt,FIJI_ISLANDS_REGION,0.95,0.02353662128872104,0.07976817758251745
opt,FIJI_ISLANDS_REGION,0.95,0.01216488855841781,0.07073563251111477
opt,FIJI_ISLANDS_REGION,0.95,0.017782099932070736,0.07955940815176457
opt,FIJI_ISLANDS_REGION,0.95,0.007740338805856867,0.06046762527251937
opt,FIJI_ISLANDS_REGION,0.95,0.013051652440958295,0.06730068660893782
opt,FIJI_ISLANDS_REGION,0.95,0.0174984213428123,0.08230861631860859
opt,FIJI_ISLANDS_REGION,0.95,0.016893837791795534,0.07628593807126408
opt,FIJI_ISLANDS_REGION,0.95,0.0143576692009562,0.07026248272279322
opt,FIJI_ISLANDS_REGION,0.95,0.010958556723482525,0.06805292468338282
opt,FIJI_ISLANDS_REGION,0.95,0.013178851729983378,0.0722690055706561
opt,FIJI_ISLANDS_REGION,0.95,0.02003390986464723,0.08304766172982697
opt,FIJI_ISLANDS_REGION,0.95,0.014319958878876757,0.0721975281570398
opt,FIJI_ISLANDS_REGION,0.95,0.0259259859862358,0.08890023013441557
opt,FIJI_ISLANDS_REGION,0.95,0.006725139510386717,0.06331830118872886
opt,FIJI_ISLANDS_REGION,0.95,0.009313888377295923,0.06750514342076135
