method,region,quantile,lb,ub
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03845147911833789
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.042142262035399405
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.0410242108312837
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.047562708817468664
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.026385557948136226
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04947533099756346
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.018259558065478035
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04008033755356245
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.047432036658136986
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.05917175289267881
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.02374401596694474
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03788504991504803
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.019405644095039146
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.027652193538442553
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03042507449676208
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03969422274917972
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04666117445911286
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.021948598444189386
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.026996979104363925
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.02677596642721683
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04154570180017944
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04164023354240861
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04848961428551988
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.012191310263690996
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.02631524442257009
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04176532329462895
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04554836284161556
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04449896517719665
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.023284464149061032
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03686802466769104
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.023892184253665003
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04121379669557125
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04830023146209317
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04259338699932417
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.041377487775930075
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.05437964817035691
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04881818582704689
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.025981172372622166
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04752504629992753
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03227572539610732
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03177615682018582
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.041136021313606955
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04255183252949804
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03867513584268549
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.026167728048342973
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04346802184099077
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04390214658982951
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.05434189039883401
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04427860753555095
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.023827883197665017
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.060229315146141216
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.02010816882054753
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03894576235167106
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03911295351029677
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.05705767263091406
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04053629097691856
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.025657139718224024
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.043588863250734515
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.046880500730673236
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04842371479904609
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.0636378277379894
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04268264792841353
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.047419449710644976
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.02831849463052369
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03878432483570718
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.05327485147322496
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04406616973412039
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.038323984715431345
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.040417576144150535
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.0332168326324978
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03957165101728468
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.0611613826360648
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.049726395744133095
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.032324195463687956
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04857442792990164
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.038174148769620414
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03361773451461168
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03784573923703272
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.0413251623295727
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.05231491847074567
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.034169046629823493
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04376528096528296
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.054919285019429234
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.015146386695419243
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03718282492204603
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.0392084919651078
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03050117057362469
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04852874329076863
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.039585366676692185
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.05279391272329957
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.017544662857890952
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.014244780131611297
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.04466584668063251
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.03103568819843256
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.042156884909437364
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.01921458283113319
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.024552401504569516
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.041156978718478184
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.042719123115679394
opt,HOKKAIDO_JAPAN_REGION,0.99,0,0.0320816037240072
