method,region,quantile,lb,ub
opt,KURIL_ISLANDS,0.99,0,0.02127526682029514
opt,KURIL_ISLANDS,0.99,0,0.01990625730527501
opt,KURIL_ISLANDS,0.99,0,0.0207091336700437
opt,KURIL_ISLANDS,0.99,0,0.02426966238334368
opt,KURIL_ISLANDS,0.99,0,0.016613005324781147
opt,KURIL_ISLANDS,0.99,0,0.017073180236847584
opt,KURIL_ISLANDS,0.99,0,0.02130132778775238
opt,KURIL_ISLANDS,0.99,0,0.02145107705821562
opt,KURIL_ISLANDS,0.99,0,0.02113102116472626
opt,KURIL_ISLANDS,0.99,0,0.019740250934388158
opt,KURIL_ISLANDS,0.99,0,0.02436150193174058
opt,KURIL_ISLANDS,0.99,0,0.013807404042008253
opt,KURIL_ISLANDS,0.99,0,0.012995834128482302
opt,KURIL_ISLANDS,0.99,0,0.020628203258306842
opt,KURIL_ISLANDS,0.99,0,0.02837039226588566
opt,KURIL_ISLANDS,0.99,0,0.013441323532565224
opt,KURIL_ISLANDS,0.99,0,0.01813721407731954
opt,KURIL_ISLANDS,0.99,0,0.0171691447223954
opt,KURIL_ISLANDS,0.99,0,0.014301079705322399
opt,KURIL_ISLANDS,0.99,0,0.012844951766216589
opt,KURIL_ISLANDS,0.99,0,0.012430655413688672
opt,KURIL_ISLANDS,0.99,0,0.013333461098210942
opt,KURIL_ISLANDS,0.99,0,0.022027776972709828
opt,KURIL_ISLANDS,0.99,0,0.014786811555057653
opt,KURIL_ISLANDS,0.99,0,0.023059372400350112
opt,KURIL_ISLANDS,0.99,0,0.008495065684780492
opt,KURIL_ISLANDS,0.99,0,0.023198368909541058
opt,KURIL_ISLANDS,0.99,0,0.02031585294672843
opt,KURIL_ISLANDS,0.99,0,0.029233066649349375
opt,KURIL_ISLANDS,0.99,0,0.02116612478698646
opt,KURIL_ISLANDS,0.99,0,0.018551326325875785
opt,KURIL_ISLANDS,0.99,0,0.023387075548829038
opt,KURIL_ISLANDS,0.99,0,0.021654455785226748
opt,KURIL_ISLANDS,0.99,0,0.018987721501736596
opt,KURIL_ISLANDS,0.99,0,0.020920298734992633
opt,KURIL_ISLANDS,0.99,0,0.016369402152566527
opt,KURIL_ISLANDS,0.99,0,0.016225466522867597
opt,KURIL_ISLANDS,0.99,0,0.014212334194391876
opt,KURIL_ISLANDS,0.99,0,0.023126036306694096
opt,KURIL_ISLANDS,0.99,0,0.030523925529499084
opt,KURIL_ISLANDS,0.99,0,0.02798315935829656
opt,KURIL_ISLANDS,0.99,0,0.023875515070881603
opt,KURIL_ISLANDS,0.99,0,0.017004839096911053
opt,KURIL_ISLANDS,0.99,0,0.02287411900465295
opt,KURIL_ISLANDS,0.99,0,0.028856699270484315
opt,KURIL_ISLANDS,0.99,0,0.024560704218433982
opt,KURIL_ISLANDS,0.99,0,0.02877070811457031
opt,KURIL_ISLANDS,0.99,0,0.013646914170024508
opt,KURIL_ISLANDS,0.99,0,0.023684308059278462
opt,KURIL_ISLANDS,0.99,0,0.01871187417605262
opt,KURIL_ISLANDS,0.99,0,0.016884176925635937
opt,KURIL_ISLANDS,0.99,0,0.017335202534349045
opt,KURIL_ISLANDS,0.99,0,0.01797644875582264
opt,KURIL_ISLANDS,0.99,0,0.026718034205531427
opt,KURIL_ISLANDS,0.99,0,0.019025471242253893
opt,KURIL_ISLANDS,0.99,0,0.02841532929460181
opt,KURIL_ISLANDS,0.99,0,0.020857771721290524
opt,KURIL_ISLANDS,0.99,0,0.02282036584179597
opt,KURIL_ISLANDS,0.99,0,0.020316176589381865
opt,KURIL_ISLANDS,0.99,0,0.022842729404746985
opt,KURIL_ISLANDS,0.99,0,0.017810620376121016
opt,KURIL_ISLANDS,0.99,0,0.019580522005806702
opt,KURIL_ISLANDS,0.99,0,0.01733220462596695
opt,KURIL_ISLANDS,0.99,0,0.01237070641915162
opt,KURIL_ISLANDS,0.99,0,0.018316429257950663
opt,KURIL_ISLANDS,0.99,0,0.019784657842168225
opt,KURIL_ISLANDS,0.99,0,0.017206495842874724
opt,KURIL_ISLANDS,0.99,0,0.016082999818473234
opt,KURIL_ISLANDS,0.99,0,0.02302777636249527
opt,KURIL_ISLANDS,0.99,0,0.016155368370446573
opt,KURIL_ISLANDS,0.99,0,0.020578806480259972
opt,KURIL_ISLANDS,0.99,0,0.029592670643827118
opt,KURIL_ISLANDS,0.99,0,0.019829120928312915
opt,KURIL_ISLANDS,0.99,0,0.015783030088686797
opt,KURIL_ISLANDS,0.99,0,0.020464738375963264
opt,KURIL_ISLANDS,0.99,0,0.02810425313953557
opt,KURIL_ISLANDS,0.99,0,0.02417119935057733
opt,KURIL_ISLANDS,0.99,0,0.018756595525521617
opt,KURIL_ISLANDS,0.99,0,0.018193677037663634
opt,KURIL_ISLANDS,0.99,0,0.016796874012095484
opt,KURIL_ISLANDS,0.99,0,0.03223397441189664
opt,KURIL_ISLANDS,0.99,0,0.02168863471759204
opt,KURIL_ISLANDS,0.99,0,0.027818575532217588
opt,KURIL_ISLANDS,0.99,0,0.020641965767637473
opt,KURIL_ISLANDS,0.99,0,0.02331397596781734
opt,KURIL_ISLANDS,0.99,0,0.02065747394496123
opt,KURIL_ISLANDS,0.99,0,0.019521996606832376
opt,KURIL_ISLANDS,0.99,0,0.02984696986781245
opt,KURIL_ISLANDS,0.99,0,0.02015417194245553
opt,KURIL_ISLANDS,0.99,0,0.021440833085488702
opt,KURIL_ISLANDS,0.99,0,0.017545394454379148
opt,KURIL_ISLANDS,0.99,0,0.021795383374379466
opt,KURIL_ISLANDS,0.99,0,0.02116566547560198
