method,region,quantile,lb,ub
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10856612622479542
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1288229574620114
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1180175823630409
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.11570905986625714
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09601963539751625
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.08142130705925783
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09621543815060368
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.14099162423859074
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12957701329281435
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09616839599640595
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07218218462600316
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10107852998229508
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.13180658154584937
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.11204584799659839
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.023408879645597458,0.09195792724269114
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07830184496292066
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.032877985645050796
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.08320028277631328
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.044228515088771285
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12323080430517858
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.034711976003112516
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07540351739255521
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07595815003442742
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12373232579791828
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10083949299753478
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10307590817819899
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10171452959502594
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07053528271036846
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12489713223424154
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07892271397777537
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.140128395366717
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.130831417683246
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07642041781007157
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.08335506850465359
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1305025790929248
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.08109536797702896
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10888113993177835
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10018438566822985
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.08382066829194025
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10898821342927091
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1300267895543056
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07754665181343776
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09880793733724666
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07209041577813671
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09940282729431357
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.11771420755287668
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09183394535474898
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12104984963120978
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07926938130510976
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.13010592366158716
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10907670995038835
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.058251339541054215
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10638094130006796
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09092212908111749
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.08809337940262243
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12306299290068642
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.13258502503394665
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12597479645255852
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.08007846469591007
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.0999841837797432
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10731859891221349
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12825894233272794
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1338613510412879
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09671951023510075
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.11648124070251248
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09071433874051643
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09135249527044251
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.08126161158593712
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12136368267236644
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.13555808134572092
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12765560192629202
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10535163763759073
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.056078475375444685
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.0856471034530281
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.06253547615247511
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1337866916016235
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12242364000401668
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1312670663604308
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09986138301912124
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1361168862668025
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.11163494778451419
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10939865629216627
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.07351973173743116
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.04314899121922737
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10449045365420973
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.1340583746746658
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12733112437672828
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.0691369342671862
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.0894837907505753
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12414181279284377
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09290964701816312
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09778244743316576
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10337327669435736
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10838434512765509
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.08200893314230345
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.11221004183076717
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10393841109877489
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09278367371717228
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12159871305817174
opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.11333515992820964
