method,region,quantile,lb,ub
opt,TURKEY,0.995,0,0.03223576978784922
opt,TURKEY,0.995,0,0.01895176136706167
opt,TURKEY,0.995,0,0.018030935133824505
opt,TURKEY,0.995,0,0.025587992296562723
opt,TURKEY,0.995,0,0.014498669931149828
opt,TURKEY,0.995,0,0.009316271503989622
opt,TURKEY,0.995,0,0.029292107404143432
opt,TURKEY,0.995,0,0.009490892454512099
opt,TURKEY,0.995,0,0.026621649979928656
opt,TURKEY,0.995,0,0.01014445201257502
opt,TURKEY,0.995,0,0.028187044449903595
opt,TURKEY,0.995,0,0.016132980083535083
opt,TURKEY,0.995,0,0.013144042019540945
opt,TURKEY,0.995,0,0.025034656413873525
opt,TURKEY,0.995,0,0.011651136516499003
opt,TURKEY,0.995,0,0.01912259037628275
opt,TURKEY,0.995,0,0.01941776403819139
opt,TURKEY,0.995,0,0.02766950539065309
opt,TURKEY,0.995,0,0.017121801344243254
opt,TURKEY,0.995,0,0.0081098439672601
opt,TURKEY,0.995,0,0.008219333272704247
opt,TURKEY,0.995,0,0.014137161845887473
opt,TURKEY,0.995,0,0.016246068256624804
opt,TURKEY,0.995,0,0.02293326363873749
opt,TURKEY,0.995,0,0.013057579709960226
opt,TURKEY,0.995,0,0.025122824864093552
opt,TURKEY,0.995,0,0.018349937123127914
opt,TURKEY,0.995,0,0.014648328606576768
opt,TURKEY,0.995,0,0.013842475640295029
opt,TURKEY,0.995,0,0.02429646032520915
opt,TURKEY,0.995,0,0.03035463945065711
opt,TURKEY,0.995,0,0.021402411574810987
opt,TURKEY,0.995,0,0.022611763185408494
opt,TURKEY,0.995,0,0.02192750862314691
opt,TURKEY,0.995,0,0.017033220067645502
opt,TURKEY,0.995,0,0.019781507351388117
opt,TURKEY,0.995,0,0.019011564269578736
opt,TURKEY,0.995,0,0.018669221115515944
opt,TURKEY,0.995,0,0.020651060311616787
opt,TURKEY,0.995,0,0.01790250105240612
opt,TURKEY,0.995,0,0.02626054714877466
opt,TURKEY,0.995,0,0.013935208000590296
opt,TURKEY,0.995,0,0.02682067964413652
opt,TURKEY,0.995,0,0.01386945226325657
opt,TURKEY,0.995,0,0.016742030318190552
opt,TURKEY,0.995,0,0.03125810622770424
opt,TURKEY,0.995,0,0.021741913463386928
opt,TURKEY,0.995,0,0.022659987899365186
opt,TURKEY,0.995,0,0.022792386373183877
opt,TURKEY,0.995,0,0.04072594444378491
opt,TURKEY,0.995,0,0.019622491907629144
opt,TURKEY,0.995,0,0.021781382199132476
opt,TURKEY,0.995,0,0.022280939408325894
opt,TURKEY,0.995,0,0.026526389541868863
opt,TURKEY,0.995,0,0.011588325363520299
opt,TURKEY,0.995,0,0.028899442025348162
opt,TURKEY,0.995,0,0.022931992407486147
opt,TURKEY,0.995,0,0.023976357334131896
opt,TURKEY,0.995,0,0.012692896900290157
opt,TURKEY,0.995,0,0.021399129302547674
opt,TURKEY,0.995,0,0.021359384608685382
opt,TURKEY,0.995,0,0.01724615790377547
opt,TURKEY,0.995,0,0.014407634984569626
opt,TURKEY,0.995,0,0.010127728861905893
opt,TURKEY,0.995,0,0.01824717722637926
opt,TURKEY,0.995,0,0.011672782735901338
opt,TURKEY,0.995,0,0.017775367765960143
opt,TURKEY,0.995,0,0.03182834160048016
opt,TURKEY,0.995,0,0.013577316530921674
opt,TURKEY,0.995,0,0.021352518063426855
opt,TURKEY,0.995,0,0.01502261529884671
opt,TURKEY,0.995,0,0.02078282480286208
opt,TURKEY,0.995,0,0.0254690499727487
opt,TURKEY,0.995,0,0.026647117122130526
opt,TURKEY,0.995,0,0.011908813680412174
opt,TURKEY,0.995,0,0.01562770474288957
opt,TURKEY,0.995,0,0.0151889552794427
opt,TURKEY,0.995,0,0.022419986535608533
opt,TURKEY,0.995,0,0.016807463778852963
opt,TURKEY,0.995,0,0.020890071976914042
opt,TURKEY,0.995,0,0.026267653500927086
opt,TURKEY,0.995,0,0.02720100379503501
opt,TURKEY,0.995,0,0.020154009387859523
opt,TURKEY,0.995,0,0.023923260214124574
opt,TURKEY,0.995,0,0.01624255245806843
opt,TURKEY,0.995,0,0.022830193733464926
opt,TURKEY,0.995,0,0.026509473715840094
opt,TURKEY,0.995,0,0.02180988131453005
opt,TURKEY,0.995,0,0.03109299467742094
opt,TURKEY,0.995,0,0.012294272129006741
opt,TURKEY,0.995,0,0.019739103872937404
opt,TURKEY,0.995,0,0.03585622486378766
opt,TURKEY,0.995,0,0.0035670940785755994
opt,TURKEY,0.995,0,0.010171228181838271
opt,TURKEY,0.995,0,0.033949900978653
opt,TURKEY,0.995,0,0.01594836267849781
opt,TURKEY,0.995,0,0.02775332505769834
opt,TURKEY,0.995,0,0.0340513569851084
opt,TURKEY,0.995,0,0.02302854514378236
opt,TURKEY,0.995,0,0.032278545107106496
