method,region,quantile,lb,ub
pl,FIJI_ISLANDS_REGION,0.95,0.039331106950096895,0.05534512322296744
pl,FIJI_ISLANDS_REGION,0.95,0.02638682603988439,0.03973832889476803
pl,FIJI_ISLANDS_REGION,0.95,0.03594571612576513,0.05130862814694321
pl,FIJI_ISLANDS_REGION,0.95,0.03161531680730796,0.04611337420655897
pl,FIJI_ISLANDS_REGION,0.95,0.03984081396084534,0.05592359566724449
pl,FIJI_ISLANDS_REGION,0.95,0.03398788703722259,0.048969421928257685
pl,FIJI_ISLANDS_REGION,0.95,0.04256176528693949,0.05917260102268021
pl,FIJI_ISLANDS_REGION,0.95,0.0404918051046593,0.05670974875296953
pl,FIJI_ISLANDS_REGION,0.95,0.04131373676068518,0.05456195765242376
pl,FIJI_ISLANDS_REGION,0.95,0.04464943137817014,0.06162925643098949
pl,FIJI_ISLANDS_REGION,0.95,0.03501540988432228,0.05020225271270663
pl,FIJI_ISLANDS_REGION,0.95,0.03568722681707833,0.05100027574218948
pl,FIJI_ISLANDS_REGION,0.95,0.04638611966915468,0.05858128200785476
pl,FIJI_ISLANDS_REGION,0.95,0.03931724647942039,0.05532944517874032
pl,FIJI_ISLANDS_REGION,0.95,0.03477101343586864,0.04988633643128822
pl,FIJI_ISLANDS_REGION,0.95,0.03770666802906442,0.053412681172768206
pl,FIJI_ISLANDS_REGION,0.95,0.04363283328786897,0.060386246931752555
pl,FIJI_ISLANDS_REGION,0.95,0.04667452418311089,0.06400351475491814
pl,FIJI_ISLANDS_REGION,0.95,0.04182384849372282,0.055443121711397085
pl,FIJI_ISLANDS_REGION,0.95,0.033323535238887314,0.04817082448982201
pl,FIJI_ISLANDS_REGION,0.95,0.03757966739874736,0.053254086105327954
pl,FIJI_ISLANDS_REGION,0.95,0.03660770924051135,0.052108181063589755
pl,FIJI_ISLANDS_REGION,0.95,0.043976840755927754,0.05735174380457753
pl,FIJI_ISLANDS_REGION,0.95,0.03844215227342237,0.05431189274292568
pl,FIJI_ISLANDS_REGION,0.95,0.039435396366229954,0.05547084579704503
pl,FIJI_ISLANDS_REGION,0.95,0.03725960795052594,0.05287256385803132
pl,FIJI_ISLANDS_REGION,0.95,0.03704173545363083,0.05266449108041738
pl,FIJI_ISLANDS_REGION,0.95,0.03466567052643637,0.04976757619314035
pl,FIJI_ISLANDS_REGION,0.95,0.0406327735031227,0.0543900050006543
pl,FIJI_ISLANDS_REGION,0.95,0.04234730066945064,0.05892380087374608
pl,FIJI_ISLANDS_REGION,0.95,0.0366704290626046,0.05215908371282977
pl,FIJI_ISLANDS_REGION,0.95,0.03585107385881782,0.05120024501299605
pl,FIJI_ISLANDS_REGION,0.95,0.043817286254949885,0.060648195891246544
pl,FIJI_ISLANDS_REGION,0.95,0.032692472330885194,0.04740223376512809
pl,FIJI_ISLANDS_REGION,0.95,0.030846352735339776,0.045169979338005706
pl,FIJI_ISLANDS_REGION,0.95,0.03793244237420308,0.053674295434017465
pl,FIJI_ISLANDS_REGION,0.95,0.03693538554961132,0.04955206129191053
pl,FIJI_ISLANDS_REGION,0.95,0.03876911760652295,0.05468796045764472
pl,FIJI_ISLANDS_REGION,0.95,0.044266258708880714,0.061179173001439706
pl,FIJI_ISLANDS_REGION,0.95,0.03912670388429695,0.05510063919574886
pl,FIJI_ISLANDS_REGION,0.95,0.03321777352827779,0.04804581143159493
pl,FIJI_ISLANDS_REGION,0.95,0.03426859497599196,0.049302973478378934
