method,region,quantile,lb,ub
pl,HOKKAIDO_JAPAN_REGION,0.99,0.006177181205652134,0.024611228993842417
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0094812071385466,0.030426179949868855
pl,HOKKAIDO_JAPAN_REGION,0.99,0.004358980585137578,0.020730986609626516
pl,HOKKAIDO_JAPAN_REGION,0.99,0.008400261193256067,0.02941370393577982
pl,HOKKAIDO_JAPAN_REGION,0.99,0.005795037462077375,0.024382592298079334
pl,HOKKAIDO_JAPAN_REGION,0.99,0.016325204642987885,0.04200862900091546
pl,HOKKAIDO_JAPAN_REGION,0.99,0.012246908417686083,0.03553215294285823
pl,HOKKAIDO_JAPAN_REGION,0.99,0.006016890521825804,0.02391619244329304
pl,HOKKAIDO_JAPAN_REGION,0.99,0.007354735296182754,0.026859476376492948
pl,HOKKAIDO_JAPAN_REGION,0.99,0.009345067881361633,0.031238762474919364
pl,HOKKAIDO_JAPAN_REGION,0.99,0.003706862287638411,0.01960567180807987
pl,HOKKAIDO_JAPAN_REGION,0.99,0.004100483272411264,0.019887327838133965
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0050469592947236805,0.022680806748730492
pl,HOKKAIDO_JAPAN_REGION,0.99,0.004654043151552541,0.021791872278731382
pl,HOKKAIDO_JAPAN_REGION,0.99,0.008290589486886856,0.028259556719047427
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0067076963227652485,0.025909415021041368
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0068810288940578486,0.026580594968556207
pl,HOKKAIDO_JAPAN_REGION,0.99,0.010790985235025854,0.03256482782583659
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0038661330966839737,0.02005459808585376
pl,HOKKAIDO_JAPAN_REGION,0.99,0.004893241006718776,0.02259724603026536
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0074186404820349924,0.02678119659903952
pl,HOKKAIDO_JAPAN_REGION,0.99,0.009524277363317948,0.030597630313645135
pl,HOKKAIDO_JAPAN_REGION,0.99,0.00020474215168029164,0.009913926015425175
pl,HOKKAIDO_JAPAN_REGION,0.99,0.005375557771384421,0.022442248548739174
pl,HOKKAIDO_JAPAN_REGION,0.99,0.01317306289247932,0.03733718889082742
pl,HOKKAIDO_JAPAN_REGION,0.99,0.009264135737028082,0.029670843103625368
pl,HOKKAIDO_JAPAN_REGION,0.99,0.009736408591685303,0.030487444833363072
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0034552619862539577,0.01942501645939158
pl,HOKKAIDO_JAPAN_REGION,0.99,0.001897465007395577,0.014946795045716811
pl,HOKKAIDO_JAPAN_REGION,0.99,0.00788678189093935,0.027938049716538446
pl,HOKKAIDO_JAPAN_REGION,0.99,0.008207956515715133,0.028547446931777416
pl,HOKKAIDO_JAPAN_REGION,0.99,0.003687519119794243,0.018463213032595502
pl,HOKKAIDO_JAPAN_REGION,0.99,0.009742599888484516,0.03120661336766767
pl,HOKKAIDO_JAPAN_REGION,0.99,0.004095802785365652,0.02099389195830235
pl,HOKKAIDO_JAPAN_REGION,0.99,0.008061797533211757,0.028783499628416007
pl,HOKKAIDO_JAPAN_REGION,0.99,0.002785317545349699,0.01676435257388083
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0036245112726439313,0.01865801777116864
pl,HOKKAIDO_JAPAN_REGION,0.99,0.010264380286690503,0.031779858942491544
pl,HOKKAIDO_JAPAN_REGION,0.99,0.005622419997116045,0.02272529205295961
pl,HOKKAIDO_JAPAN_REGION,0.99,0.006838335601942775,0.02609109316219099
pl,HOKKAIDO_JAPAN_REGION,0.99,0.006496965305643575,0.024743205488782533
pl,HOKKAIDO_JAPAN_REGION,0.99,0.006322059590333871,0.02470227209508102
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0006759918594124155,0.011142432636282186
pl,HOKKAIDO_JAPAN_REGION,0.99,0.004653163981464923,0.021404046245785208
pl,HOKKAIDO_JAPAN_REGION,0.99,0.004065862468107683,0.019926695285480852
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0076427704426593485,0.027530220396296105
pl,HOKKAIDO_JAPAN_REGION,0.99,0.003258351535670614,0.017856838471005686
pl,HOKKAIDO_JAPAN_REGION,0.99,0.008861375930681514,0.03052976336423354
pl,HOKKAIDO_JAPAN_REGION,0.99,0.00015653021868763348,0.009692347714734904
pl,HOKKAIDO_JAPAN_REGION,0.99,0.009971288423218629,0.03172069539352484
pl,HOKKAIDO_JAPAN_REGION,0.99,0.007168066147973602,0.026573174164803686
pl,HOKKAIDO_JAPAN_REGION,0.99,0.006694193748245924,0.025719534931306874
pl,HOKKAIDO_JAPAN_REGION,0.99,0.009987815983600086,0.03193622061010224
pl,HOKKAIDO_JAPAN_REGION,0.99,0.011153242773672838,0.03354565195796664
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0024372901509598687,0.017125779195729645
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0048788075048192625,0.021458543227864113
pl,HOKKAIDO_JAPAN_REGION,0.99,0.008721152494411815,0.02962811529753035
pl,HOKKAIDO_JAPAN_REGION,0.99,0.010185646712065049,0.03211141904539266
pl,HOKKAIDO_JAPAN_REGION,0.99,0.006586561674688507,0.024364214512801522
pl,HOKKAIDO_JAPAN_REGION,0.99,0.004982714920925844,0.022097099276638863
pl,HOKKAIDO_JAPAN_REGION,0.99,0.00795000030103545,0.028525051976527827
pl,HOKKAIDO_JAPAN_REGION,0.99,0.010269929730517262,0.032145055253521126
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0036294229725238715,0.019679776818452493
pl,HOKKAIDO_JAPAN_REGION,0.99,0.007531545609304194,0.027140493919880607
pl,HOKKAIDO_JAPAN_REGION,0.99,0.00589822437882674,0.02395882634547167
pl,HOKKAIDO_JAPAN_REGION,0.99,0.0077157475498279594,0.02918096605007173
pl,HOKKAIDO_JAPAN_REGION,0.99,0.017184765295626188,0.0437779934605084
pl,HOKKAIDO_JAPAN_REGION,0.99,0.004069731260614103,0.020004762709651815
pl,HOKKAIDO_JAPAN_REGION,0.99,0.008403371641348047,0.02925727029453499
