method,region,quantile,lb,ub
pl,KURIL_ISLANDS,0.99,0.008699961630274798,0.019396824345745994
pl,KURIL_ISLANDS,0.99,0.004338291266238078,0.012348273848578586
pl,KURIL_ISLANDS,0.99,0.0029800474248242053,0.010380828722512753
pl,KURIL_ISLANDS,0.99,0.006884411025827134,0.016756710540843944
pl,KURIL_ISLANDS,0.99,0.006988855718850994,0.016765410758102055
pl,KURIL_ISLANDS,0.99,0.002546372080756268,0.008712443402665516
pl,KURIL_ISLANDS,0.99,0.003092383973401771,0.010473083173914596
pl,KURIL_ISLANDS,0.99,0.005672081254050159,0.015031189349535026
pl,KURIL_ISLANDS,0.99,0.005351652206503886,0.014656431959985314
pl,KURIL_ISLANDS,0.99,0.004274529028847414,0.012493214639642482
pl,KURIL_ISLANDS,0.99,0.005411733280316831,0.014677024412289979
pl,KURIL_ISLANDS,0.99,0.005515511752770042,0.014720963186632633
pl,KURIL_ISLANDS,0.99,0.005111395645199015,0.013784028499147146
pl,KURIL_ISLANDS,0.99,0.0068581596555260796,0.017144634172515997
pl,KURIL_ISLANDS,0.99,0.0038647710668566976,0.01200183434867105
pl,KURIL_ISLANDS,0.99,0.0027568926642416195,0.01019423353924303
pl,KURIL_ISLANDS,0.99,0.006153935091571752,0.015781376723127963
pl,KURIL_ISLANDS,0.99,0.004473402579596102,0.01320182004761969
pl,KURIL_ISLANDS,0.99,0.004616309178925534,0.013196885051360248
pl,KURIL_ISLANDS,0.99,0.002249644248272331,0.009109170063291127
pl,KURIL_ISLANDS,0.99,0.005338972230807878,0.014770774328084284
pl,KURIL_ISLANDS,0.99,0.007387222676784757,0.017816749921716363
pl,KURIL_ISLANDS,0.99,0.0047646703716153725,0.013329439507356145
pl,KURIL_ISLANDS,0.99,0.004757627674857725,0.01349678246300639
pl,KURIL_ISLANDS,0.99,0.005424343027325743,0.014476811123615497
pl,KURIL_ISLANDS,0.99,0.005955924566897067,0.01512348984294817
pl,KURIL_ISLANDS,0.99,0.002813681067110446,0.009536457374004178
pl,KURIL_ISLANDS,0.99,0.0014366628676140128,0.007801641005556559
pl,KURIL_ISLANDS,0.99,0.002295058961535469,0.009195867627246024
pl,KURIL_ISLANDS,0.99,0.003997549068467266,0.012062461465585293
pl,KURIL_ISLANDS,0.99,0.00519430365976115,0.014147476062513297
pl,KURIL_ISLANDS,0.99,0.00451044749737166,0.013224120000759653
pl,KURIL_ISLANDS,0.99,0.0029495364634427616,0.011209592716701269
pl,KURIL_ISLANDS,0.99,0.007027377492952482,0.017354953187878414
pl,KURIL_ISLANDS,0.99,0.0059396658044144485,0.01580995492497901
pl,KURIL_ISLANDS,0.99,0.002000125317906631,0.008692700069999223
pl,KURIL_ISLANDS,0.99,0.004206430739542494,0.01258771718497981
pl,KURIL_ISLANDS,0.99,0.0030934449869214806,0.011016844305694105
pl,KURIL_ISLANDS,0.99,0.005770331853025787,0.014877130156506657
pl,KURIL_ISLANDS,0.99,0.00414456677412965,0.012198301924400315
pl,KURIL_ISLANDS,0.99,0.004771095291533175,0.013524183878092075
pl,KURIL_ISLANDS,0.99,0.0038605233235062112,0.012133575962165976
pl,KURIL_ISLANDS,0.99,0.0028527100865415917,0.010128822436523785
pl,KURIL_ISLANDS,0.99,0.0028202280601731453,0.009994272972041652
pl,KURIL_ISLANDS,0.99,0.0060728462232456605,0.01569506098220559
pl,KURIL_ISLANDS,0.99,0.0030735650272096862,0.010722284859237114
pl,KURIL_ISLANDS,0.99,0.002591576943101972,0.009749414366696367
pl,KURIL_ISLANDS,0.99,0.004108910983740552,0.012689567362031164
pl,KURIL_ISLANDS,0.99,0.007233700655717724,0.017191073998991852
pl,KURIL_ISLANDS,0.99,0.0036287060690721935,0.011501285758728082
pl,KURIL_ISLANDS,0.99,0.0034475340946875225,0.011079016776423227
pl,KURIL_ISLANDS,0.99,0.00557942662118075,0.014728229502881383
pl,KURIL_ISLANDS,0.99,0.004507450460988892,0.012788483132335132
pl,KURIL_ISLANDS,0.99,0.008158172466725778,0.019238169962051365
pl,KURIL_ISLANDS,0.99,0.002330860688408179,0.009656845591575824
pl,KURIL_ISLANDS,0.99,0.0050660129076632076,0.013874055314793
pl,KURIL_ISLANDS,0.99,0.006788341350469104,0.01688755502551229
pl,KURIL_ISLANDS,0.99,0.006249087441863851,0.015897882739471726
pl,KURIL_ISLANDS,0.99,0.002879086229011386,0.01029029918218817
pl,KURIL_ISLANDS,0.99,0.006594021966385601,0.016415477162727756
pl,KURIL_ISLANDS,0.99,0.0012414325006916255,0.006521499340507701
pl,KURIL_ISLANDS,0.99,0.0037227113747471687,0.012190245569326593
pl,KURIL_ISLANDS,0.99,0.0031745011003104853,0.010729287283429105
pl,KURIL_ISLANDS,0.99,0.0032888458043362884,0.011199269986106054
pl,KURIL_ISLANDS,0.99,0.0034283823047902796,0.011314522182803943
pl,KURIL_ISLANDS,0.99,0.00455897257160483,0.012456664972642454
pl,KURIL_ISLANDS,0.99,0.0045263176107919155,0.012896770738418406
pl,KURIL_ISLANDS,0.99,0.006995195007447859,0.017406902968198603
pl,KURIL_ISLANDS,0.99,0.0055959870779412986,0.01495900850340976
pl,KURIL_ISLANDS,0.99,0.003985118107127923,0.012163235584627913
pl,KURIL_ISLANDS,0.99,0.006106244749801185,0.0156073577582904
pl,KURIL_ISLANDS,0.99,0.005001664535591699,0.014522088004766974
pl,KURIL_ISLANDS,0.99,0.005716534676772357,0.015221417217541135
pl,KURIL_ISLANDS,0.99,0.005830050405123999,0.015427613423118052
pl,KURIL_ISLANDS,0.99,0.0032493827166842487,0.010746165070315101
pl,KURIL_ISLANDS,0.99,0.006338587284907392,0.016286229981618036
pl,KURIL_ISLANDS,0.99,0.003233084506919793,0.011099186766192749
pl,KURIL_ISLANDS,0.99,0.0052683145824782476,0.014321540452269903
pl,KURIL_ISLANDS,0.99,0.002897412555099538,0.009829513758469363
pl,KURIL_ISLANDS,0.99,0.005517103341336293,0.014620392015467627
pl,KURIL_ISLANDS,0.99,0.007308569470754643,0.017619500072663163
pl,KURIL_ISLANDS,0.99,0.004382606060547012,0.013380566597330067
pl,KURIL_ISLANDS,0.99,0.007560129990828842,0.017711124180384657
pl,KURIL_ISLANDS,0.99,0.004744179849967145,0.013622632877174428
pl,KURIL_ISLANDS,0.99,0.002255190756495407,0.009237059286850667
pl,KURIL_ISLANDS,0.99,0.003743881413498162,0.012166154517508536
pl,KURIL_ISLANDS,0.99,0.003834859058229999,0.012269782629257197
