method,region,quantile,lb,ub
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.009191515734115483,0.0704432763907583
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.012846964407295615,0.07944831169818233
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.007538838718306432,0.06381770057277364
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.021339739508506227,0.19129905007440706
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0780784477866603,0.0780784478142355
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.050805105446324356,0.05080510544633738
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.009928719967070173,0.0741389894834906
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0033703846843750364,0.05569361882840549
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.003802236051746962,0.05498912511885967
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.010572443364045154,0.07961916451228299
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.005043280328965792,0.05960625549772682
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.03284932159098568,0.16096943870872224
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.009322190027591909,0.07518376832838185
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.008878349564243973,0.07024080114592433
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.03480990463521075,0.03480990480228021
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0022974762803864256,0.060294948421719605
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.0
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.02077779834427708,0.1464117288341702
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.10203487703016928,0.10203487703020474
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.014899523517786629,0.08447667172676254
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.010114009401347443,0.07271349012035233
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.009506284481236318,0.07418189743213567
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.08851542115020282,0.16249739554710182
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.012027682665724675,0.07825169389974174
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.011651124654523526,0.07859655717529139
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.003815819225008139,0.05848231039961031
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.005830571392673077,0.06443379437302658
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.01388382096117015,0.08869512288696169
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.006674137341960319,0.06490086133461682
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.02047551277170814,0.15485403930543393
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.0
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.07724222005757768,0.07724222006081749
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.02072979274556433,0.09815012929307668
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.005277517864922445,0.06100234734153907
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.01643967629262444,0.08944533417146838
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.11118098134416975,0.11118098137866003
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.011544951654684816,0.07786916479590178
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0011188951917290506,0.04832641138773479
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.027092435661567982,0.14266633671015977
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.01628093185328797,0.09212250309881764
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.013066184426709997,0.08613013455728047
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.01482147532408999,0.08744772062876568
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.014211255615149925,0.08276753878850387
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.003972078762983702,0.05870094831010237
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.0
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.006728247892428157,0.06512256205736444
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.009074374100039423,0.0739983146162981
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.03439627290590449,0.21140821378080984
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.015779994890658493,0.0875868227252173
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.015703962565122707,0.08698987397423148
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.09929425927537916,0.09929425927538343
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.009047673909032076,0.07292328799566433
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0031396140964694143,0.054676800069111596
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.0
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0050721817250235736,0.06382320502026877
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.08873782283218452,0.08873782283227072
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0025430030281756505,0.05231842407620247
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.026625383597217913,0.2119771507134457
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.09565921814667122,0.09565921814669123
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.025109433448249466,0.1502618422103061
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0020459873358304485,0.04961130152934459
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.006283801661167816,0.06752490019401476
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.06724314484945652,0.09759998867758511
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.013409167691621184,0.08286901207100968
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.005437211903938213,0.06302700650040945
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.01592919753653404,0.08619703843934456
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.03093771521774752,0.1469447948618537
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.002176033508144221,0.049256136800962795
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.020560067294608523,0.09794236009227386
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.003880156172263277,0.05773858512689076
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.011113833869742053,0.07679177498698922
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.00536303280164889,0.06158932433397001
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.0
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.006909644590688587,0.06889988955980722
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.008076956190185752,0.07526532423650088
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.015910329763383784,0.08817114805737174
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.010949896771981703,0.07896748199187613
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.024391769312951103,0.15330653298987856
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0331183282938438,0.32179986498098523
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.003189577347266238,0.05479507024889719
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.016469798816948326,0.08767379167471752
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.018424594134489214,0.09618061074306881
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0032347463513095888,0.054249242436287974
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0034230602850969854,0.08954478018417715
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.005087801445973018,0.0650402233580582
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.0038483602012765726,0.055776490445873066
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.03727226198641687,0.0372722619888238
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.006271115684737848,0.06731895051814338
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.014328715494848104,0.11655692150250917
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.005771254828408674,0.06431799632385261
pl,OFF_COAST_OF_NORTHERN_CA,0.95,0.004509203501765673,0.05989267176811595
