method,region,quantile,lb,ub
pl,SOLOMON_ISLANDS,0.99,0.00828597575787977,0.01689984469706639
pl,SOLOMON_ISLANDS,0.99,0.009472133128518901,0.01859169394414768
pl,SOLOMON_ISLANDS,0.99,0.005660154394514178,0.013210094195480849
pl,SOLOMON_ISLANDS,0.99,0.004932584175878006,0.012298033638737792
pl,SOLOMON_ISLANDS,0.99,0.009075001378488637,0.018483487724781096
pl,SOLOMON_ISLANDS,0.99,0.006251404381866487,0.014498370709650342
pl,SOLOMON_ISLANDS,0.99,0.0025752030099304804,0.007710594275887098
pl,SOLOMON_ISLANDS,0.99,0.008644561907676193,0.01739046671498516
pl,SOLOMON_ISLANDS,0.99,0.0076637100816661936,0.015943757482299217
pl,SOLOMON_ISLANDS,0.99,0.006886526489969868,0.015013552467162355
pl,SOLOMON_ISLANDS,0.99,0.0057044143028503426,0.013038470803674282
pl,SOLOMON_ISLANDS,0.99,0.004125816575303187,0.010904815901328356
pl,SOLOMON_ISLANDS,0.99,0.005181427910707862,0.012598739279500238
pl,SOLOMON_ISLANDS,0.99,0.007327145807127406,0.01592058484911808
pl,SOLOMON_ISLANDS,0.99,0.00790667610777825,0.017258098028166368
pl,SOLOMON_ISLANDS,0.99,0.007858059940886872,0.016448440653692394
pl,SOLOMON_ISLANDS,0.99,0.007782067176664906,0.016480522610346344
pl,SOLOMON_ISLANDS,0.99,0.009949634818919912,0.01939146878531076
pl,SOLOMON_ISLANDS,0.99,0.0055863916410260755,0.01313459963947353
pl,SOLOMON_ISLANDS,0.99,0.0054411437873340286,0.012945091784178235
pl,SOLOMON_ISLANDS,0.99,0.0076696776535176096,0.01635611649904422
pl,SOLOMON_ISLANDS,0.99,0.009584776632474713,0.01874765680698162
pl,SOLOMON_ISLANDS,0.99,0.007191743745203371,0.016069307437513357
pl,SOLOMON_ISLANDS,0.99,0.004015156398478131,0.01064690988914096
pl,SOLOMON_ISLANDS,0.99,0.005147285088560619,0.012624746925579041
pl,SOLOMON_ISLANDS,0.99,0.00617850180156119,0.014275431130622107
pl,SOLOMON_ISLANDS,0.99,0.005853032380905724,0.013722007829233588
pl,SOLOMON_ISLANDS,0.99,0.005473904387287898,0.01292787323838537
pl,SOLOMON_ISLANDS,0.99,0.007534775686403214,0.015685747265263703
pl,SOLOMON_ISLANDS,0.99,0.004683629566281444,0.011738482826267455
pl,SOLOMON_ISLANDS,0.99,0.007444755325027783,0.01565319812111254
