method,region,quantile,lb,ub
pl,TURKEY,0.95,0.023259387137622028,0.05959791487477345
pl,TURKEY,0.95,0.03298632137351381,0.07426324297487041
pl,TURKEY,0.95,0.025773619873180324,0.0637307455050085
pl,TURKEY,0.95,0.053955302423356014,0.10498932275030158
pl,TURKEY,0.95,0.03396712003046624,0.07686980765700122
pl,TURKEY,0.95,0.06749938099287545,0.12431252186661834
pl,TURKEY,0.95,0.04165004040334636,0.08777241568229617
pl,TURKEY,0.95,0.03706849960666468,0.08058583356419498
pl,TURKEY,0.95,0.016817248380017673,0.0492282126783663
pl,TURKEY,0.95,0.03594820473715028,0.07964137060183045
pl,TURKEY,0.95,0.04499327957659454,0.09289724600672761
pl,TURKEY,0.95,0.05085784797101158,0.10104426477979306
pl,TURKEY,0.95,0.033559565762518166,0.07537283886563241
pl,TURKEY,0.95,0.029745941589121593,0.06911147775329879
pl,TURKEY,0.95,0.04722824482641041,0.09520797182666903
pl,TURKEY,0.95,0.025301957506378408,0.06238814986044042
pl,TURKEY,0.95,0.038771121351596834,0.08250262383407175
pl,TURKEY,0.95,0.05739168861664272,0.10993705685742991
pl,TURKEY,0.95,0.04721214214387858,0.09555241682792324
pl,TURKEY,0.95,0.054041498220852906,0.1045718021997335
pl,TURKEY,0.95,0.038193279405527754,0.08275972570510959
pl,TURKEY,0.95,0.026194653175574043,0.06400673830823145
pl,TURKEY,0.95,0.04613503555979593,0.09425044800569544
pl,TURKEY,0.95,0.030722061168606686,0.07185355962773113
pl,TURKEY,0.95,0.05227790559061674,0.10261635006135703
pl,TURKEY,0.95,0.015424818003283085,0.04672138748619627
pl,TURKEY,0.95,0.0363326411153709,0.08005912220800017
pl,TURKEY,0.95,0.026198803245281888,0.06443803805481832
pl,TURKEY,0.95,0.044953374120768434,0.08959554399861004
pl,TURKEY,0.95,0.050831517916740405,0.09988700522544197
pl,TURKEY,0.95,0.03651106790787584,0.07959208018180311
