method,region,quantile,lb,ub
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.054274404623428814,0.10680335349378679
pot_bt,ECUADOR,0.99,-0.04097414394595354,0.15245016336528927
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.03827320533269729,0.06461986441409238
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.04119265586149526,0.07223650008506512
pot_bt,ECUADOR,0.99,-0.050040834990107946,0.09244022134496718
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.051315762261566394,0.130295698594606
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.05623654671225952,0.10295563611089799
pot_bt,ECUADOR,0.99,-0.04340670521911554,0.11158765316591586
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.006694142236300294,0.006903830729931922
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.03666040845775688,0.060586318349389455
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.051237286635305516,0.09928081079108765
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.05058449336300788,0.09604349198653271
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.057593145590645836,0.11567363580886847
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.057856803991105196,0.12927229499637682
pot_bt,ECUADOR,0.99,-0.0497095233561271,0.11393033433124469
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.0470208602132632,0.07721185362241856
pot_bt,ECUADOR,0.99,-0.0458751010051532,0.07315310046597014
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.050893592041489286,0.08309968954729693
pot_bt,ECUADOR,0.99,-0.04097771474853813,0.06808880597511033
pot_bt,ECUADOR,0.99,-0.0518438084635989,0.10766638256626224
pot_bt,ECUADOR,0.99,-0.04819537271552146,0.07831423836519252
pot_bt,ECUADOR,0.99,-0.04561426672480191,0.07774451617481683
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.04982056695443279,0.08243349778288436
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.05163085983447439,0.12482326493601224
pot_bt,ECUADOR,0.99,-0.0477086531163901,0.08937990223493453
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.0515952489160158,0.08745493600867184
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.05956383205229351,0.10511986960150624
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.04818023822340358,0.11361849580211703
pot_bt,ECUADOR,0.99,-0.05032298461128785,0.08209430765414215
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.05891774567184803,0.10740169700222169
pot_bt,ECUADOR,0.99,-0.04256339798335239,0.07116939518643896
pot_bt,ECUADOR,0.99,-0.05551594068858581,0.13730689879041463
pot_bt,ECUADOR,0.99,-0.04900659040062146,0.08173964309794214
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.045032018716685614,0.08509377137936569
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.056914427168909494,0.12825829997542454
pot_bt,ECUADOR,0.99,-0.04717091989607685,0.12009007161331232
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.054690794446957076,0.09374727417788271
pot_bt,ECUADOR,0.99,-0.0419001057963132,0.07275448771320518
pot_bt,ECUADOR,0.99,-0.05822942207811796,0.12267293109112527
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.054383342422660054,0.12519129254490075
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.03997719171442006,0.06221101213275057
pot_bt,ECUADOR,0.99,-0.04189980717615809,0.06514099757252269
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.04664974893969979,0.0935153536040387
pot_bt,ECUADOR,0.99,-0.05281112873415739,0.10242220601745977
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.03318806529320408,0.05547277245005832
pot_bt,ECUADOR,0.99,-0.05395100471003632,0.10693896348270555
pot_bt,ECUADOR,0.99,0.0,0.0
pot_bt,ECUADOR,0.99,-0.03891116945037084,0.06658727932882509
pot_bt,ECUADOR,0.99,-0.045903790905591435,0.07226102111722033
pot_bt,ECUADOR,0.99,-0.042285666704286955,0.08305486598534612
pot_bt,ECUADOR,0.99,-0.04551841162824751,0.07409633674812174
pot_bt,ECUADOR,0.99,-0.05072789392396532,0.0847969520088409
