method,region,quantile,lb,ub
pot_bt,TURKEY,0.99,-0.009534522608343372,0.02081036763594979
pot_bt,TURKEY,0.99,-0.008083827746572571,0.01406706991070203
pot_bt,TURKEY,0.99,-0.009725316425476398,0.023785451510906424
pot_bt,TURKEY,0.99,-0.009501821292806242,0.023893835198037665
pot_bt,TURKEY,0.99,-0.008511500585062053,0.018911361883994227
pot_bt,TURKEY,0.99,-0.009240365250134608,0.02890937152847361
pot_bt,TURKEY,0.99,-0.014246129140720976,0.029069980889544652
pot_bt,TURKEY,0.99,-0.010550791754263007,0.017278302035451897
pot_bt,TURKEY,0.99,-0.011216293797835654,0.029396264637942753
pot_bt,TURKEY,0.99,-0.008881754554071468,0.020360435906863567
pot_bt,TURKEY,0.99,-0.010642810587017822,0.02584710892849129
pot_bt,TURKEY,0.99,-0.007962429137452308,0.02500261796363349
pot_bt,TURKEY,0.99,-0.008135066551273766,0.019833762208624487
pot_bt,TURKEY,0.99,-0.010378038929894612,0.024454768276139262
pot_bt,TURKEY,0.99,-0.009171246115340792,0.034152606965150455
pot_bt,TURKEY,0.99,-0.013507482528477307,0.03878747528044175
pot_bt,TURKEY,0.99,-0.00990608755149479,0.024429721351781206
pot_bt,TURKEY,0.99,-0.009251897393476002,0.022632454957772354
pot_bt,TURKEY,0.99,-0.0068277942795574595,0.017222409302404647
pot_bt,TURKEY,0.99,-0.009984081088707209,0.03288945464420716
pot_bt,TURKEY,0.99,-0.012300145525532501,0.021245681464048736
pot_bt,TURKEY,0.99,-0.006252342967893812,0.011474907598135358
pot_bt,TURKEY,0.99,-0.009357175750114612,0.023495791630300723
pot_bt,TURKEY,0.99,-0.010407145141806793,0.02382545531337601
pot_bt,TURKEY,0.99,-0.010168012149583527,0.02913398807064358
pot_bt,TURKEY,0.99,-0.008581295473600061,0.02762823470337276
pot_bt,TURKEY,0.99,-0.008195852849729478,0.030553876410702074
pot_bt,TURKEY,0.99,-0.009882782407909551,0.02506224201792422
pot_bt,TURKEY,0.99,-0.011627948498508315,0.03326504562412102
pot_bt,TURKEY,0.99,-0.011800474398581284,0.0330426135121227
