method,region,quantile,lb,ub
pwm,BANDA_SEA,0.99,0.0021140572515688802,0.01213349351446773
pwm,BANDA_SEA,0.99,0.004288384741832598,0.017040485687226152
pwm,BANDA_SEA,0.99,0.004726947063509255,0.01657661183421041
pwm,BANDA_SEA,0.99,0.001693229928447355,0.011388108647005462
pwm,BANDA_SEA,0.99,0.002725954754173748,0.013656475145501598
pwm,BANDA_SEA,0.99,0.000665531239736267,0.010340518793227546
pwm,BANDA_SEA,0.99,0.009665835044188132,0.024235806941103312
pwm,BANDA_SEA,0.99,0.005135556710796452,0.016861530326520255
pwm,BANDA_SEA,0.99,0.00985542251375026,0.024618167019415955
pwm,BANDA_SEA,0.99,0.006308519842962657,0.018925978413736107
pwm,BANDA_SEA,0.99,0.0026309968837434122,0.01295385517183381
pwm,BANDA_SEA,0.99,0.005479753989622706,0.01737530250680215
pwm,BANDA_SEA,0.99,0.0015972711930463438,0.011627505287691813
pwm,BANDA_SEA,0.99,0.004426425696868057,0.016102133423373893
pwm,BANDA_SEA,0.99,0.00436394326370431,0.015870600317742515
pwm,BANDA_SEA,0.99,0.0015251539547896996,0.012079486253787037
pwm,BANDA_SEA,0.99,0.0021823631983432564,0.012082679987905843
pwm,BANDA_SEA,0.99,0.004876065462028874,0.017087854629502533
pwm,BANDA_SEA,0.99,0.0077752149184104604,0.021449399357365506
pwm,BANDA_SEA,0.99,0.000933893531102373,0.010556732747817396
pwm,BANDA_SEA,0.99,0.0052460382231503035,0.017094078198908225
pwm,BANDA_SEA,0.99,0.0046656682740695895,0.016864809300622178
pwm,BANDA_SEA,0.99,0.002968129766086277,0.013861739603523757
pwm,BANDA_SEA,0.99,0.0057586727428686115,0.018225632789597553
pwm,BANDA_SEA,0.99,0.0029969909881513456,0.014787380589456308
pwm,BANDA_SEA,0.99,0.003078373012844177,0.013649757174525627
pwm,BANDA_SEA,0.99,0.0012879284333151089,0.011821589400046795
pwm,BANDA_SEA,0.99,0.0038151210483417753,0.014725593300899627
pwm,BANDA_SEA,0.99,0.0052849106531172715,0.019099266456398194
pwm,BANDA_SEA,0.99,0.00039402482796594817,0.010568550306478764
pwm,BANDA_SEA,0.99,0.0015679151801446037,0.011459116963210947
pwm,BANDA_SEA,0.99,0.0018188841146913814,0.011897625006752923
pwm,BANDA_SEA,0.99,0.003828213851546948,0.01499969979842281
pwm,BANDA_SEA,0.99,0.010067183592098598,0.023988154139402265
pwm,BANDA_SEA,0.99,0.00203803308620035,0.01330619107067534
pwm,BANDA_SEA,0.99,0.0014669908135620832,0.012136717740343974
pwm,BANDA_SEA,0.99,0.0059115857763335266,0.018549110217831358
pwm,BANDA_SEA,0.99,0.004148042425865068,0.01620867237903249
pwm,BANDA_SEA,0.99,0.0021134452261533385,0.013440610168898354
pwm,BANDA_SEA,0.99,0.0034055930636706345,0.015480470789281277
pwm,BANDA_SEA,0.99,0.003436220051732162,0.013981971346503362
pwm,BANDA_SEA,0.99,0.005598752449759027,0.016946388889072784
pwm,BANDA_SEA,0.99,0.0014913216309670925,0.010472169037009618
pwm,BANDA_SEA,0.99,-0.0013206205413263373,0.007450288836654744
pwm,BANDA_SEA,0.99,0.0009071236377242037,0.009228417380696198
pwm,BANDA_SEA,0.99,0.0017919907827621724,0.012750089280450311
pwm,BANDA_SEA,0.99,0.002963573856423054,0.013977250232373681
pwm,BANDA_SEA,0.99,0.002105956909390678,0.013901447950621447
pwm,BANDA_SEA,0.99,-0.0002705309990501587,0.00800629390236361
pwm,BANDA_SEA,0.99,0.0016084520395951581,0.01139364919861573
pwm,BANDA_SEA,0.99,0.0022086453104955594,0.013022646045415046
pwm,BANDA_SEA,0.99,0.004077798875924407,0.015108604274707957
pwm,BANDA_SEA,0.99,0.0018041171810829245,0.012603595584904561
pwm,BANDA_SEA,0.99,0.002554846682873277,0.013540739266201831
pwm,BANDA_SEA,0.99,0.00395618901127052,0.015349532867766523
pwm,BANDA_SEA,0.99,0.0044959685064796945,0.016814323188169812
pwm,BANDA_SEA,0.99,0.0009198544659304394,0.01051510608508987
pwm,BANDA_SEA,0.99,0.003308722456646857,0.013803628832510347
pwm,BANDA_SEA,0.99,0.005499299744817341,0.017642042098757978
pwm,BANDA_SEA,0.99,0.0006934342524472835,0.01189078071127065
pwm,BANDA_SEA,0.99,0.002393159733836286,0.01372537735543584
pwm,BANDA_SEA,0.99,0.004129434324639926,0.015257839580948045
pwm,BANDA_SEA,0.99,0.009401210957780234,0.023287858102456625
pwm,BANDA_SEA,0.99,0.006931037212887756,0.020552378383380022
pwm,BANDA_SEA,0.99,0.0029977225979145343,0.014034749489659017
pwm,BANDA_SEA,0.99,0.0017950089010075525,0.01207292178978413
pwm,BANDA_SEA,0.99,0.00332886470959956,0.014738310192717454
pwm,BANDA_SEA,0.99,0.0002467505817609445,0.009344511030771838
pwm,BANDA_SEA,0.99,0.002858023250894817,0.013341467815343892
pwm,BANDA_SEA,0.99,0.005302367149215055,0.01755914483562184
pwm,BANDA_SEA,0.99,0.0023378715544850686,0.014449038868438376
pwm,BANDA_SEA,0.99,0.009203417599044375,0.023284368411096424
pwm,BANDA_SEA,0.99,0.0038597753111891775,0.015398254925300423
pwm,BANDA_SEA,0.99,0.007363955492286186,0.02011406302469371
pwm,BANDA_SEA,0.99,0.004952329684959088,0.01692390960031556
pwm,BANDA_SEA,0.99,0.007557906149195028,0.020755098625096002
pwm,BANDA_SEA,0.99,0.0027282726766774527,0.013842982520197703
pwm,BANDA_SEA,0.99,0.008441281120200407,0.022544920713789763
pwm,BANDA_SEA,0.99,0.0028255401054127376,0.013662801087776453
pwm,BANDA_SEA,0.99,0.007554135393906921,0.02044378861851983
pwm,BANDA_SEA,0.99,0.003404062824488799,0.014503375520320059
pwm,BANDA_SEA,0.99,0.00573156196668663,0.018207741399623473
pwm,BANDA_SEA,0.99,0.0018129645681153985,0.011320501191663371
pwm,BANDA_SEA,0.99,0.0027439444156984426,0.013469104409240797
pwm,BANDA_SEA,0.99,0.005093222747580612,0.017014277064475142
pwm,BANDA_SEA,0.99,0.004803179592646642,0.017001168254281565
pwm,BANDA_SEA,0.99,0.001921886725651203,0.01295176174521543
pwm,BANDA_SEA,0.99,0.0023446713589103116,0.012148086774402074
pwm,BANDA_SEA,0.99,0.0036728743377427097,0.01585169650967192
pwm,BANDA_SEA,0.99,0.006046509786719428,0.019341988594006716
pwm,BANDA_SEA,0.99,0.005617161624464836,0.01779117871414141
pwm,BANDA_SEA,0.99,0.0030568039823495982,0.013814313610571193
pwm,BANDA_SEA,0.99,0.003412730851483361,0.016017880539722692
pwm,BANDA_SEA,0.99,0.007883386516794596,0.02109204342962579
pwm,BANDA_SEA,0.99,0.002843495674285392,0.013925977291928378
pwm,BANDA_SEA,0.99,0.0066831846599715375,0.018693864457574014
pwm,BANDA_SEA,0.99,0.0020424072453911987,0.01254216172551897
pwm,BANDA_SEA,0.99,0.0007750599807268713,0.010977871706911368
pwm,BANDA_SEA,0.99,0.002788350349180127,0.01404394556361593
pwm,BANDA_SEA,0.99,0.0023114718342919093,0.012783340782091427
