method,region,quantile,lb,ub
pwm,ECUADOR,0.99,0.00061682513699873,0.06736766597880137
pwm,ECUADOR,0.99,-0.0022043433163695613,0.06436032741783036
pwm,ECUADOR,0.99,-0.0010486067468992656,0.06291125409908717
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.010070024820753375,0.013946271399542307
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.019541057009799787,0.04086476868680665
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.011104620342673278,0.03970344107133012
pwm,ECUADOR,0.99,0.0023412624320620443,0.07363993704411509
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.000924273605150054,0.0637176248108616
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.023529128403364536,0.03240884965632401
pwm,ECUADOR,0.99,0.003574036008829989,0.07701274255702056
pwm,ECUADOR,0.99,-0.006376034396976392,0.04232574741953138
pwm,ECUADOR,0.99,-0.0023400724073955608,0.05569104063418997
pwm,ECUADOR,0.99,-0.003029972149133035,0.06873924591855421
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.03371569279685201,0.058824708122943804
pwm,ECUADOR,0.99,0.007228297176983142,0.08162135831274124
pwm,ECUADOR,0.99,-0.008018586501546101,0.02920277694012845
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.007514141690873536,0.033388404076372336
pwm,ECUADOR,0.99,-0.008470670227869934,0.018990088380661588
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.00886492922238774,0.08665345264530645
pwm,ECUADOR,0.99,-0.011445696232840988,0.023569702677084355
pwm,ECUADOR,0.99,-0.002780863742060115,0.057006758702914134
pwm,ECUADOR,0.99,-0.008183287245980036,0.036731114114883195
pwm,ECUADOR,0.99,0.0025447957237193395,0.07059509022555054
pwm,ECUADOR,0.99,-0.005738001223250219,0.04795728599981056
pwm,ECUADOR,0.99,-0.01252404848607087,0.02519214777864891
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.005600500232657841,0.04645829772335056
pwm,ECUADOR,0.99,-0.010710080624804977,0.02877210930122428
pwm,ECUADOR,0.99,-0.009456798834852393,0.037987358800033906
pwm,ECUADOR,0.99,-0.011177615853191722,0.0128073592923371
pwm,ECUADOR,0.99,-0.011227253034277039,0.04715872772513264
pwm,ECUADOR,0.99,-0.008815113529142557,0.03072070649217198
pwm,ECUADOR,0.99,-0.003925643495223935,0.06253676611851013
pwm,ECUADOR,0.99,-0.005681969683219902,0.051716194317689985
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.0021720453657688705,0.0578713322832429
pwm,ECUADOR,0.99,0.003378496267038632,0.07299785171263772
pwm,ECUADOR,0.99,-0.00833315303733116,0.03475169977580129
pwm,ECUADOR,0.99,-0.006095045582285144,0.04646571341001096
pwm,ECUADOR,0.99,-0.010187686138033563,0.032639138751110894
pwm,ECUADOR,0.99,-0.01762789636135828,0.022555398200164865
pwm,ECUADOR,0.99,-0.006744691587467873,0.040614740623064756
pwm,ECUADOR,0.99,-0.05140526491226167,0.0731054176623137
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.001628397382414894,0.06329646288735936
pwm,ECUADOR,0.99,-0.02772381461797485,0.059818868177248234
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.0077562245086288915,0.04635288633828477
pwm,ECUADOR,0.99,-0.01787810483270902,0.027356616396390938
pwm,ECUADOR,0.99,-0.008899048406446751,0.033704595870314734
pwm,ECUADOR,0.99,-0.009441125063160985,0.04265221970869533
pwm,ECUADOR,0.99,-0.00994002544599484,0.020463560065619696
pwm,ECUADOR,0.99,-0.007639598720411507,0.030917430939358902
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.012538822127509806,0.02903884175739451
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.010163275686811664,0.03598821606256795
pwm,ECUADOR,0.99,-0.003494456238678318,0.05550197978478877
pwm,ECUADOR,0.99,-0.02251769472631107,0.05458133569153532
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.0033517581914647102,0.05849028366997917
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.01000607471762826,0.02378430524083796
pwm,ECUADOR,0.99,-0.015629574753338184,0.037986460518867254
pwm,ECUADOR,0.99,-0.01718721460745938,0.027539904443770972
pwm,ECUADOR,0.99,-0.003405421048317596,0.054868437294162166
pwm,ECUADOR,0.99,-0.014607988165596346,0.023845417508240156
pwm,ECUADOR,0.99,-0.020942387217262076,0.05025117477632599
pwm,ECUADOR,0.99,-0.01715352835114723,0.020229938827787758
pwm,ECUADOR,0.99,-0.015473881136406012,0.016990569171539852
pwm,ECUADOR,0.99,0.009495560922620739,0.08739404663490878
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.015807281455769463,0.03958130764852277
pwm,ECUADOR,0.99,0.011808285815073509,0.09386263796687748
pwm,ECUADOR,0.99,0.0,0.0
pwm,ECUADOR,0.99,-0.009222872639474723,0.034358662873693255
pwm,ECUADOR,0.99,-0.009979886860442546,0.032585509875301885
pwm,ECUADOR,0.99,-0.009438859642835862,0.04324900625902906
