method,region,quantile,lb,ub
pwm,FIJI_ISLANDS_REGION,0.995,0.004383503350334782,0.011545013438785494
pwm,FIJI_ISLANDS_REGION,0.995,0.0034453655248052723,0.010192170871267467
pwm,FIJI_ISLANDS_REGION,0.995,0.0045122170402471596,0.011959973990447303
pwm,FIJI_ISLANDS_REGION,0.995,0.00398623495689301,0.010822988311320387
pwm,FIJI_ISLANDS_REGION,0.995,0.0020354419195168184,0.007842003955261793
pwm,FIJI_ISLANDS_REGION,0.995,0.0010919007161056694,0.00652222457771921
pwm,FIJI_ISLANDS_REGION,0.995,0.0006644758589327632,0.005929715388408401
pwm,FIJI_ISLANDS_REGION,0.995,0.0022375016656059174,0.008387580084677318
pwm,FIJI_ISLANDS_REGION,0.995,0.0025118801243193337,0.008356669514197803
pwm,FIJI_ISLANDS_REGION,0.995,0.003772005436786133,0.010116751692073819
pwm,FIJI_ISLANDS_REGION,0.995,0.00015615788080262517,0.005301795677694523
pwm,FIJI_ISLANDS_REGION,0.995,0.0013738330454797203,0.007022539738890076
pwm,FIJI_ISLANDS_REGION,0.995,0.002937593387092282,0.009284358833987387
pwm,FIJI_ISLANDS_REGION,0.995,0.00429547485329449,0.011513720846692983
pwm,FIJI_ISLANDS_REGION,0.995,0.0021846817546015583,0.00830732768475231
pwm,FIJI_ISLANDS_REGION,0.995,0.0060919329766261285,0.013976599790808945
pwm,FIJI_ISLANDS_REGION,0.995,0.0023468548060385087,0.008361054200293276
pwm,FIJI_ISLANDS_REGION,0.995,0.003568755353462397,0.01009144319871521
pwm,FIJI_ISLANDS_REGION,0.995,0.0005023047412950599,0.00526202960558495
pwm,FIJI_ISLANDS_REGION,0.995,0.0030983589898446323,0.009442873431267262
pwm,FIJI_ISLANDS_REGION,0.995,0.0019040276469492166,0.007696732172207974
pwm,FIJI_ISLANDS_REGION,0.995,0.0017650652166558407,0.0076315271626888025
pwm,FIJI_ISLANDS_REGION,0.995,0.0017988346201632107,0.007844471174098361
pwm,FIJI_ISLANDS_REGION,0.995,0.0017616597714527086,0.008186617691930163
pwm,FIJI_ISLANDS_REGION,0.995,0.00292753662055627,0.00946917225078108
pwm,FIJI_ISLANDS_REGION,0.995,0.0028435236378052406,0.009331366229152321
pwm,FIJI_ISLANDS_REGION,0.995,0.0007822945661545541,0.005373338678958499
pwm,FIJI_ISLANDS_REGION,0.995,0.0047034379399215126,0.011812842297755782
pwm,FIJI_ISLANDS_REGION,0.995,0.0017954519990720191,0.0075979170011350634
pwm,FIJI_ISLANDS_REGION,0.995,0.0006395820802101315,0.005425907283790484
pwm,FIJI_ISLANDS_REGION,0.995,0.0026275710430532792,0.00866377807188141
pwm,FIJI_ISLANDS_REGION,0.995,-9.475759955511689e-05,0.0041200672216923214
pwm,FIJI_ISLANDS_REGION,0.995,0.000900742176544832,0.0060044867949254
pwm,FIJI_ISLANDS_REGION,0.995,0.0026842665604912075,0.009245849259522732
pwm,FIJI_ISLANDS_REGION,0.995,0.003926013910507588,0.011126719114390986
pwm,FIJI_ISLANDS_REGION,0.995,0.004389983599018286,0.011446222999594382
pwm,FIJI_ISLANDS_REGION,0.995,0.0033701424067196007,0.00992110367801656
pwm,FIJI_ISLANDS_REGION,0.995,0.0006265417784166828,0.00571622646928059
pwm,FIJI_ISLANDS_REGION,0.995,0.0015023162975787456,0.007183306378859396
pwm,FIJI_ISLANDS_REGION,0.995,0.0014653189145593475,0.007662303789342329
pwm,FIJI_ISLANDS_REGION,0.995,0.002993136333067195,0.009426533785209202
pwm,FIJI_ISLANDS_REGION,0.995,0.004455069250573255,0.011537002432901894
pwm,FIJI_ISLANDS_REGION,0.995,0.002300001113747301,0.008419200347876722
pwm,FIJI_ISLANDS_REGION,0.995,0.002055253302056212,0.008125010847305509
pwm,FIJI_ISLANDS_REGION,0.995,0.00218271660608004,0.007987818428770574
pwm,FIJI_ISLANDS_REGION,0.995,0.0021151447060945047,0.008027301371221146
pwm,FIJI_ISLANDS_REGION,0.995,0.001806095655930433,0.007491151595637163
pwm,FIJI_ISLANDS_REGION,0.995,0.002158797502323384,0.00809957716154102
pwm,FIJI_ISLANDS_REGION,0.995,0.0029344180537042787,0.009593040432200344
pwm,FIJI_ISLANDS_REGION,0.995,0.0020459332203552976,0.007928273363259236
pwm,FIJI_ISLANDS_REGION,0.995,0.002341355253024478,0.008359595777062878
pwm,FIJI_ISLANDS_REGION,0.995,0.0022953987339365163,0.008140761803188934
pwm,FIJI_ISLANDS_REGION,0.995,0.0015651809888957812,0.006867846792673509
pwm,FIJI_ISLANDS_REGION,0.995,0.0002052804303075895,0.004887441530974678
pwm,FIJI_ISLANDS_REGION,0.995,0.0034425875510773183,0.010092711637188166
pwm,FIJI_ISLANDS_REGION,0.995,0.0019641763439828814,0.008012156803100867
pwm,FIJI_ISLANDS_REGION,0.995,0.0018903216111961249,0.007630454882909095
pwm,FIJI_ISLANDS_REGION,0.995,0.0002454499079743936,0.004982239626105738
pwm,FIJI_ISLANDS_REGION,0.995,0.0017219098537167787,0.0075666208313699196
pwm,FIJI_ISLANDS_REGION,0.995,0.0027127371152161008,0.00943464968032315
pwm,FIJI_ISLANDS_REGION,0.995,0.0014094569998607477,0.006820534775188609
