method,region,quantile,lb,ub
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.012102881627333396,0.036425825741974435
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0012314511247547605,0.017373844083835927
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0013554199573880276,0.020801722696385937
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0009634668537418174,0.02072705343517214
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.013201728194673136,0.03858104017200951
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0031718742793056965,0.021963344929104667
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.0003384488459447165,0.014913206039998773
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0009887668507243042,0.015881893023866393
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0029488970325532455,0.022202570493626925
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.000366693533609409,0.01340090342099395
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.010172762363866883,0.03483874638510698
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0017833025043498868,0.019579995002545328
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.00416125439876668,0.024337964145794855
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.005868416512072411,0.0253541536957966
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.01278723122542727,0.03818248531000157
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.006598078127842407,0.027707988380861765
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.012460852642564708,0.03767444631890112
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.004665442736417499,0.008559509379541258
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0034421137130815275,0.02281123979049952
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0067992707501754795,0.02725158567062069
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0018286203357371809,0.018690645758090624
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.004523340058689751,0.02382450414377165
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0028781320134853325,0.020209219250800603
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.000471593460201361,0.01627421589539347
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.007029194639120361,0.02877436679864241
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.001943600737767293,0.019270750204000646
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.007469557248914505,0.029489601438701225
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.005011089415778433,0.024225545375417556
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0072770765526740805,0.028123577423005336
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0004656285516053551,0.01713511885521809
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.0007462232140150227,0.012959719755651916
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.007288378255269819,0.029615010064476355
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.008394813529993125,0.030362149787241687
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.00014059476449686283,0.017558757874739747
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0013649983384093009,0.016515990990837573
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0063212526483500476,0.027416437859063083
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0038044851427554687,0.02219608611890849
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.004782090675616719,0.024714558320026538
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.002263107572939857,0.01944992633604805
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.0028175125765710013,0.013155989235173336
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.00644315585058009,0.027163413712777855
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0075024805442485375,0.029348491807388723
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.002046806596512878,0.011729225500778949
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.004323571782840212,0.02391334779312403
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.0008397075032517218,0.013608355025191109
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.00023505029891067423,0.019467810668891583
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0017316599532801393,0.018891815130556353
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.012526671256361087,0.037791484671273204
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0022231152731440012,0.020376292630667356
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.003697297616873327,0.021741904676371965
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0026223050018151,0.020686946893638612
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.004606092748581728,0.023837288526767066
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.011828802466940376,0.036313988362832
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.003714052499247514,0.008028283054772494
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.006534159919326421,0.027835255254335774
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.001507517076184506,0.018578627657390913
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.009658885413643759,0.03253129975724096
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0010377984960493452,0.01752387542666599
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.0040438739650902585,0.015436719650903602
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.008241043308920955,0.03194061449250224
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0014286173356021633,0.01733404795473219
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0025973936120643536,0.020044246694494307
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.004057655912616534,0.02232914707108432
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.007618988749281364,0.02967486560710433
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.00731830645770636,0.028666184492127676
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0,0.0
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.000944726140163975,0.017745390420430225
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.001913683964417479,0.018008855171742236
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.003144431648725528,0.021476049013322913
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.003384806806373368,0.02192612634797264
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.008077448686538417,0.03037542958138312
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.01089792385969598,0.034852086975583695
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0014811844323168119,0.018947612793692895
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.01177910503693371,0.03632401324658158
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0016815738865706233,0.017261172291921655
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0029981990260601436,0.019986980307537743
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.0009259002018360424,0.014683442632274503
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.006435958202011831,0.02400408251902114
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.002953998165405663,0.02157228925140848
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.004460797602451483,0.022957118123602065
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.012561491414721768,0.03734026881202026
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.00496317056376803,0.02532271190198867
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0010060973977105514,0.015655340318909104
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0065580526992559465,0.02685587149242958
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0025527315342359362,0.020397170259059433
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.0008320293721252082,0.01264436453583597
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.004353244164382796,0.023719887138333087
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0022573504853206825,0.022393118103348177
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.002847281191308667,0.021897812969779967
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.00046118915982943927,0.014391896719836707
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.004525891161682786,0.022892713291142768
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.004269342146674967,0.023692287732412644
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.0021204241975478428,0.011366923343054764
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0019777870222621426,0.02014698364087298
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0030273174970900595,0.02240233807015438
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0059495445599926835,0.026119957043518136
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.003964030462433369,0.023599141572904325
pwm,HOKKAIDO_JAPAN_REGION,0.99,-0.006257986583854911,0.009371694100266125
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.0005894430933403524,0.016889584560984397
pwm,HOKKAIDO_JAPAN_REGION,0.99,0.004342122101864735,0.023075244424443267
