method,region,quantile,lb,ub
pwm,KURIL_ISLANDS,0.95,0.03597787197529773,0.05564235399948188
pwm,KURIL_ISLANDS,0.95,0.0547895642310994,0.07838973606329723
pwm,KURIL_ISLANDS,0.95,0.03940612014793408,0.05981316136444115
pwm,KURIL_ISLANDS,0.95,0.05002102488574158,0.06673479397281827
pwm,KURIL_ISLANDS,0.95,0.04709387882845029,0.06922730345761102
pwm,KURIL_ISLANDS,0.95,0.03933901348046265,0.05678568309308954
pwm,KURIL_ISLANDS,0.95,0.0443234637466621,0.061469728670800756
pwm,KURIL_ISLANDS,0.95,0.051320706715395306,0.07436526365163787
pwm,KURIL_ISLANDS,0.95,0.042614377741090496,0.06075678358944391
pwm,KURIL_ISLANDS,0.95,0.03907584510965823,0.0591946535188851
pwm,KURIL_ISLANDS,0.95,0.039098886510338285,0.056564402895556726
pwm,KURIL_ISLANDS,0.95,0.04827081314886468,0.07060240440231376
pwm,KURIL_ISLANDS,0.95,0.05431396903163829,0.07792684205046443
pwm,KURIL_ISLANDS,0.95,0.03288316003975023,0.05101934096922033
pwm,KURIL_ISLANDS,0.95,0.036132648782812825,0.05500239026919366
pwm,KURIL_ISLANDS,0.95,0.05288522046951999,0.07100623995812456
pwm,KURIL_ISLANDS,0.95,0.0335671539663257,0.05116909994197961
pwm,KURIL_ISLANDS,0.95,0.04345251161798727,0.06475775421173201
pwm,KURIL_ISLANDS,0.95,0.04467691476918288,0.06628132454994959
pwm,KURIL_ISLANDS,0.95,0.045671004188752036,0.06750187450549677
pwm,KURIL_ISLANDS,0.95,0.03751442251658974,0.05615149121840562
pwm,KURIL_ISLANDS,0.95,0.04357913206598829,0.06489501261947846
pwm,KURIL_ISLANDS,0.95,0.0415562961934818,0.06253101105526694
pwm,KURIL_ISLANDS,0.95,0.05105660476406734,0.07386025509993517
pwm,KURIL_ISLANDS,0.95,0.034398405121394186,0.052404887066167354
pwm,KURIL_ISLANDS,0.95,0.043906957307553604,0.06545891573558724
pwm,KURIL_ISLANDS,0.95,0.037435133040868915,0.056421441573022375
pwm,KURIL_ISLANDS,0.95,0.037734990072567615,0.05682361551079076
pwm,KURIL_ISLANDS,0.95,0.05105394548249625,0.07404370596736683
pwm,KURIL_ISLANDS,0.95,0.04651645443726778,0.06862699835567025
pwm,KURIL_ISLANDS,0.95,0.03204711083011293,0.04964887335024601
pwm,KURIL_ISLANDS,0.95,0.037878160736678226,0.05608941373598959
pwm,KURIL_ISLANDS,0.95,0.05048877424783764,0.07343816006063844
pwm,KURIL_ISLANDS,0.95,0.03430641251998503,0.05315376436929701
pwm,KURIL_ISLANDS,0.95,0.02799812377032971,0.045708060049870936
pwm,KURIL_ISLANDS,0.95,0.04367587330151247,0.06505413297797964
pwm,KURIL_ISLANDS,0.95,0.04184613284867506,0.06200739779175851
pwm,KURIL_ISLANDS,0.95,0.04086785935729739,0.06158441013795251
pwm,KURIL_ISLANDS,0.95,0.040595492092489124,0.061405858421725606
pwm,KURIL_ISLANDS,0.95,0.04605090784619763,0.0679037357581429
pwm,KURIL_ISLANDS,0.95,0.04961367821431848,0.07065519608855823
pwm,KURIL_ISLANDS,0.95,0.045599853740749374,0.06736947030622525
pwm,KURIL_ISLANDS,0.95,0.05113827764254544,0.07413432045948683
pwm,KURIL_ISLANDS,0.95,0.047125149076013846,0.06922868342663419
pwm,KURIL_ISLANDS,0.95,0.04302905985912969,0.06371517518015721
pwm,KURIL_ISLANDS,0.95,0.0399345128262245,0.06045539727102015
pwm,KURIL_ISLANDS,0.95,0.0393744780522558,0.05978903348673491
pwm,KURIL_ISLANDS,0.95,0.04285659948379394,0.06401521698772523
pwm,KURIL_ISLANDS,0.95,0.040630126052055494,0.061298423753745876
pwm,KURIL_ISLANDS,0.95,0.03949153506995432,0.05990371599360845
pwm,KURIL_ISLANDS,0.95,0.04955860519343963,0.07196738132525828
pwm,KURIL_ISLANDS,0.95,0.046712190867536765,0.0687017630394766
pwm,KURIL_ISLANDS,0.95,0.028856049141754152,0.046333799951571934
pwm,KURIL_ISLANDS,0.95,0.03502275421924824,0.05385149851009199
pwm,KURIL_ISLANDS,0.95,0.042547231035654595,0.06376284343119863
pwm,KURIL_ISLANDS,0.95,0.05100407793613,0.06939654435144318
pwm,KURIL_ISLANDS,0.95,0.03871283439477287,0.05893696554420404
pwm,KURIL_ISLANDS,0.95,0.033706974546522155,0.05273947169384512
pwm,KURIL_ISLANDS,0.95,0.029609255954044695,0.04610523622945526
pwm,KURIL_ISLANDS,0.95,0.040932024733994966,0.058051777025127066
pwm,KURIL_ISLANDS,0.95,0.038500386926222555,0.05869998846242192
pwm,KURIL_ISLANDS,0.95,0.03669508268909876,0.05647958817133748
pwm,KURIL_ISLANDS,0.95,0.05246262914543757,0.07576142899904151
pwm,KURIL_ISLANDS,0.95,0.04046824666703434,0.061129525643032506
pwm,KURIL_ISLANDS,0.95,0.03701823359085319,0.056863522417100985
pwm,KURIL_ISLANDS,0.95,0.0398435982668158,0.060333013525725475
pwm,KURIL_ISLANDS,0.95,0.04736498789616399,0.06954726692606485
pwm,KURIL_ISLANDS,0.95,0.05240112755302317,0.07488849694036237
pwm,KURIL_ISLANDS,0.95,0.03267217933293072,0.049749168238054135
pwm,KURIL_ISLANDS,0.95,0.056189003793626895,0.07858971884962933
pwm,KURIL_ISLANDS,0.95,0.04024995221613003,0.057699845572004506
pwm,KURIL_ISLANDS,0.95,0.03119842974604989,0.04830109988672128
pwm,KURIL_ISLANDS,0.95,0.0402946677322141,0.06093120986687324
pwm,KURIL_ISLANDS,0.95,0.04923385611437192,0.07183849546109393
pwm,KURIL_ISLANDS,0.95,0.04202257521056319,0.059971473745160646
pwm,KURIL_ISLANDS,0.95,0.03526516455556488,0.05340404164868556
pwm,KURIL_ISLANDS,0.95,0.03652140599282694,0.05627460838663064
pwm,KURIL_ISLANDS,0.95,0.04831441148558182,0.07084633688163243
pwm,KURIL_ISLANDS,0.95,0.047947145572191555,0.07000815195337787
pwm,KURIL_ISLANDS,0.95,0.03791906685328626,0.05502110110989728
pwm,KURIL_ISLANDS,0.95,0.037183471210313526,0.05707249328966515
pwm,KURIL_ISLANDS,0.95,0.036473263866907094,0.05549804806046674
pwm,KURIL_ISLANDS,0.95,0.037337154081363844,0.05726566315176837
pwm,KURIL_ISLANDS,0.95,0.03241727641922583,0.051211464415481404
pwm,KURIL_ISLANDS,0.95,0.04632132998270889,0.0682361560427502
pwm,KURIL_ISLANDS,0.95,0.03764526797925296,0.057375326046856315
pwm,KURIL_ISLANDS,0.95,0.05358124718183382,0.0770422677664385
pwm,KURIL_ISLANDS,0.95,0.03445154285881669,0.05367696571562829
pwm,KURIL_ISLANDS,0.95,0.04346787212411547,0.064816435709995
pwm,KURIL_ISLANDS,0.95,0.03880233967569274,0.05909713552543905
pwm,KURIL_ISLANDS,0.95,0.047272636322123314,0.0694277140004935
pwm,KURIL_ISLANDS,0.95,0.04630996357826546,0.06832561580344838
pwm,KURIL_ISLANDS,0.95,0.04981159986803111,0.07177741036568844
pwm,KURIL_ISLANDS,0.95,0.04089974279472205,0.061659053260560454
pwm,KURIL_ISLANDS,0.95,0.041938325127949455,0.0628976184603792
pwm,KURIL_ISLANDS,0.95,0.03233520001131987,0.05004054000985414
pwm,KURIL_ISLANDS,0.95,0.039601499633137846,0.060092551474145994
pwm,KURIL_ISLANDS,0.95,0.04282817172457172,0.06397933658052327
pwm,KURIL_ISLANDS,0.95,0.0344725658667632,0.0537417088677894
