method,region,quantile,lb,ub
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.08538789664918235,0.1560672160305728
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.0009729272673996914,0.05815906001143107
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.0027003207140928443,0.05388408432750277
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.007174332179285339,0.07791694530275424
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.00011763527603507676,0.06367609512434497
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.01749743670283334,0.10200124884849421
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.004979610617055105,0.07472790576297823
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.0031123153101872427,0.05141242654335286
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.01063948611159424,0.08613939049977491
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.004452765986556064,0.07124177185835857
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.0030253268464802766,0.07811801238402452
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.008426986531855158,0.04023451931530054
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.010584064239450899,0.08586000858326255
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.007470372183038112,0.07842451343153127
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.007274062878918786,0.04337337352959397
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.006994472705279013,0.03851302612639378
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.002945626431545204,0.06909512280418947
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.003722986015600353,0.05392340013205958
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.0028965302610181303,0.053838386150718336
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.015630602957675602,0.09684308788309937
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.007209728421436625,0.04375916377109241
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.0034852922704906547,0.0693120725159389
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.007905956270812897,0.0794412580829089
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.01977092382393922,0.10640336488209982
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.005922341182699796,0.07470733966999756
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.004273696183047426,0.04805351584718025
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.003514589414434289,0.07162323023549996
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.006148730139493802,0.07538414706262271
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.011711567842625257,0.048103020046894915
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.011848154119825255,0.09068519229022852
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.004389602940392805,0.07225031517604158
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.006962046652319803,0.037108275684269734
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.005392457965955396,0.07432609313362072
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.10857454043216501,0.11321899365851922
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.09359233056992743,0.16929444466399732
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.019382028616924413,0.10533477575209434
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.011583956116984727,0.08975499217305541
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.00885677706026209,0.0817398790048875
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.0680058889022364,0.07107615788023974
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.006121175174591756,0.04382886276223898
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.11260660590490518,0.11274550677115117
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,0.06777044661423472,0.13048937648291692
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.00757479564311125,0.03820269432540185
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.006084645779042223,0.04028645320954105
pwm,OFF_COAST_OF_NORTHERN_CA,0.95,-0.007965113149291655,0.0407099365429019
