method,region,quantile,lb,ub
pwm,SOLOMON_ISLANDS,0.995,-0.00023156438386932223,0.004333971697027172
pwm,SOLOMON_ISLANDS,0.995,0.0013692732053300078,0.0076590628698721235
pwm,SOLOMON_ISLANDS,0.995,-0.001045886547974851,0.0037629473856840056
pwm,SOLOMON_ISLANDS,0.995,0.0021121831980156986,0.008756858412775865
pwm,SOLOMON_ISLANDS,0.995,0.000629477164297829,0.005901966472351993
pwm,SOLOMON_ISLANDS,0.995,0.0013164056950222627,0.007112749937349807
pwm,SOLOMON_ISLANDS,0.995,0.0009860629311283322,0.006309311232542695
pwm,SOLOMON_ISLANDS,0.995,0.0017755807012575324,0.0078094013044510266
pwm,SOLOMON_ISLANDS,0.995,-0.000742774730206382,0.0033964944767102866
pwm,SOLOMON_ISLANDS,0.995,0.0007998358472819651,0.006359272278363691
pwm,SOLOMON_ISLANDS,0.995,0.0008410877432720472,0.00763744320925676
pwm,SOLOMON_ISLANDS,0.995,0.0008531687777949907,0.006379455666164313
pwm,SOLOMON_ISLANDS,0.995,0.001995649445234648,0.00881419063453066
pwm,SOLOMON_ISLANDS,0.995,0.0007989476414104247,0.00622902750379468
pwm,SOLOMON_ISLANDS,0.995,-0.0008507991545135625,0.002942164227957615
pwm,SOLOMON_ISLANDS,0.995,-0.0005975167640882242,0.0033782824697756223
pwm,SOLOMON_ISLANDS,0.995,0.001816429989821139,0.007653725714045346
pwm,SOLOMON_ISLANDS,0.995,0.0010711856282295449,0.006963801982103042
pwm,SOLOMON_ISLANDS,0.995,0.0008216570258692212,0.006378896202206061
pwm,SOLOMON_ISLANDS,0.995,0.0014270493708867704,0.007701541472049447
pwm,SOLOMON_ISLANDS,0.995,-0.0005108016693259343,0.0038711193554336297
pwm,SOLOMON_ISLANDS,0.995,0.0013283868684192657,0.0070016159316983705
pwm,SOLOMON_ISLANDS,0.995,0.0008749527374649351,0.006515274497258689
pwm,SOLOMON_ISLANDS,0.995,0.0005372809265846118,0.005794120346989558
pwm,SOLOMON_ISLANDS,0.995,-0.0003541012648881109,0.004078566241782398
pwm,SOLOMON_ISLANDS,0.995,-0.0004660720424480895,0.00451720623764889
pwm,SOLOMON_ISLANDS,0.995,0.0022191505208305562,0.008512215267015847
pwm,SOLOMON_ISLANDS,0.995,-0.000567849812397782,0.0032578619855261914
pwm,SOLOMON_ISLANDS,0.995,0.001204651989041585,0.007022017598559346
pwm,SOLOMON_ISLANDS,0.995,0.0028067910466117096,0.009696822664188786
pwm,SOLOMON_ISLANDS,0.995,0.0016263142901751042,0.007767819574364166
pwm,SOLOMON_ISLANDS,0.995,0.0003058687674696512,0.005775741909504194
pwm,SOLOMON_ISLANDS,0.995,-0.00037997637437489396,0.0045828806491478545
pwm,SOLOMON_ISLANDS,0.995,0.0034571621139721127,0.010751093292042735
pwm,SOLOMON_ISLANDS,0.995,0.0006090887091080975,0.006688233197127922
pwm,SOLOMON_ISLANDS,0.995,7.062257333085304e-05,0.004952476766439554
pwm,SOLOMON_ISLANDS,0.995,0.0015009701680280634,0.00758582290572735
pwm,SOLOMON_ISLANDS,0.995,-0.00037912698402722535,0.0036899120983208107
pwm,SOLOMON_ISLANDS,0.995,0.0019131607442904514,0.008305220101077057
pwm,SOLOMON_ISLANDS,0.995,-0.0002823721164899874,0.004295881716863418
pwm,SOLOMON_ISLANDS,0.995,0.00044756665584011035,0.006361000858055516
pwm,SOLOMON_ISLANDS,0.995,0.0010509239414928642,0.006694467867570866
pwm,SOLOMON_ISLANDS,0.995,0.0005390622974416299,0.006570460410704716
pwm,SOLOMON_ISLANDS,0.995,-0.0002012984502556927,0.004107081586993366
pwm,SOLOMON_ISLANDS,0.995,-0.0014248290921354979,0.004597230338739993
pwm,SOLOMON_ISLANDS,0.995,0.0007382718758300304,0.005770014489937813
pwm,SOLOMON_ISLANDS,0.995,0.0006135688716132906,0.0062295464806579595
pwm,SOLOMON_ISLANDS,0.995,0.0011771320587132617,0.006715182233436851
pwm,SOLOMON_ISLANDS,0.995,0.0006879530940292104,0.006228811505808031
pwm,SOLOMON_ISLANDS,0.995,0.0008573502776016398,0.006427168759365149
pwm,SOLOMON_ISLANDS,0.995,0.0026771732348599936,0.009660358560790448
pwm,SOLOMON_ISLANDS,0.995,6.926715570471728e-05,0.0060088836130736956
pwm,SOLOMON_ISLANDS,0.995,0.00041944601046143865,0.005223077158411636
pwm,SOLOMON_ISLANDS,0.995,0.0007382628759729897,0.0061228174918003765
pwm,SOLOMON_ISLANDS,0.995,0.0013245617960452644,0.007130215840188506
pwm,SOLOMON_ISLANDS,0.995,0.0016746322067914016,0.007872895424935005
pwm,SOLOMON_ISLANDS,0.995,0.002083484759429567,0.008455100991658927
pwm,SOLOMON_ISLANDS,0.995,-0.0007948998219381162,0.0037735925481408583
pwm,SOLOMON_ISLANDS,0.995,0.0026258234928136386,0.008888492107469252
pwm,SOLOMON_ISLANDS,0.995,0.0007232928147405756,0.006696562701369527
pwm,SOLOMON_ISLANDS,0.995,0.0018810711515561188,0.008615919302884186
pwm,SOLOMON_ISLANDS,0.995,0.0012182063918437412,0.0072003484189495
pwm,SOLOMON_ISLANDS,0.995,0.0030276331755987045,0.010255717943720285
pwm,SOLOMON_ISLANDS,0.995,0.0010540071734665788,0.0065930961023235
pwm,SOLOMON_ISLANDS,0.995,3.640890265956774e-05,0.004847624056466936
pwm,SOLOMON_ISLANDS,0.995,-0.00015818508871096043,0.004770503573502552
pwm,SOLOMON_ISLANDS,0.995,8.779742273289384e-05,0.005112468188828222
pwm,SOLOMON_ISLANDS,0.995,0.0020750197579231635,0.008097819969839675
