method,region,quantile,lb,ub
pwm,TURKEY,0.95,0.03940699971843002,0.08599721299936867
pwm,TURKEY,0.95,0.02738673029720813,0.06773243222709513
pwm,TURKEY,0.95,0.012407381792978229,0.05215190114459605
pwm,TURKEY,0.95,0.04950503412056361,0.08288258391357328
pwm,TURKEY,0.95,0.0324140266808333,0.07541040161144388
pwm,TURKEY,0.95,0.02528959210725909,0.06449329971424796
pwm,TURKEY,0.95,0.0331046038832675,0.0756863545537722
pwm,TURKEY,0.95,0.02040755733552587,0.056137699907703995
pwm,TURKEY,0.95,0.04406525367523373,0.09294639332059534
pwm,TURKEY,0.95,0.03405040098909859,0.07825117674064508
pwm,TURKEY,0.95,0.019524595895204302,0.05553544751189989
pwm,TURKEY,0.95,0.04192665123177659,0.08924511834975386
pwm,TURKEY,0.95,0.04679735982860847,0.09681737557911956
pwm,TURKEY,0.95,0.02662630840108956,0.06706652502411649
pwm,TURKEY,0.95,0.042117522071969615,0.0899234715594885
pwm,TURKEY,0.95,0.02705914366470694,0.060097455354233546
pwm,TURKEY,0.95,0.02025112393812876,0.05669517769090241
pwm,TURKEY,0.95,0.03206514019556403,0.07530477995258354
pwm,TURKEY,0.95,0.030004209223981206,0.07197487939330093
pwm,TURKEY,0.95,0.016261792876886737,0.05010984751456218
pwm,TURKEY,0.95,0.05455069237819163,0.10581399841538544
pwm,TURKEY,0.95,0.032529313848176734,0.07570431158355861
pwm,TURKEY,0.95,0.05472493514587259,0.09526085795723949
pwm,TURKEY,0.95,0.04756941110301616,0.09575689933922216
pwm,TURKEY,0.95,0.033850963293993584,0.07706006571463714
pwm,TURKEY,0.95,0.027705775798967987,0.06926595106908123
pwm,TURKEY,0.95,0.02900274520463877,0.07100719059293326
pwm,TURKEY,0.95,0.06142529229015442,0.08630459863763476
pwm,TURKEY,0.95,0.038213243902170936,0.08009685621630645
pwm,TURKEY,0.95,0.06992648198063746,0.10724558075504927
pwm,TURKEY,0.95,0.0318515911185232,0.07460648254377002
pwm,TURKEY,0.95,0.07649757179649529,0.11089061726751707
pwm,TURKEY,0.95,0.018712797079281338,0.054546543643438056
pwm,TURKEY,0.95,0.023012603750283345,0.06147052936620967
pwm,TURKEY,0.95,0.05365589760181012,0.10598931120814105
pwm,TURKEY,0.95,0.01664563150609548,0.050867691949499846
pwm,TURKEY,0.95,0.02676354758749931,0.06713362016566846
pwm,TURKEY,0.95,0.05433292925018326,0.10656185293802449
pwm,TURKEY,0.95,0.04256381476432394,0.08953305173412261
pwm,TURKEY,0.95,0.04892370943255262,0.09969962920249288
pwm,TURKEY,0.95,0.029114591725175897,0.07074353054167787
pwm,TURKEY,0.95,0.02228112149664732,0.06035419934581325
pwm,TURKEY,0.95,0.03937413202608157,0.08588880445307825
pwm,TURKEY,0.95,0.027736220479036282,0.06876529037669131
pwm,TURKEY,0.95,0.05136735245099663,0.1016856942544278
pwm,TURKEY,0.95,0.05253372245587354,0.10434375241980749
pwm,TURKEY,0.95,0.04321230369222794,0.09146217681800553
