Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,7.657210341380903,5.21812041432974,4.797174836442105
1,7.188209928262848,4.908413351542938,4.501244812607652
2,8.612712000279892,5.962287365322954,5.532878824731172
3,7.4751109119937125,5.133761285456115,4.740465827051317
4,7.005083618151294,4.843820129733507,4.487299147290175
5,6.5525795518003,4.445599966352163,4.0510788218651905
6,8.328081610438453,5.702262610520746,5.256485331546848
7,6.510235624646091,4.465566683753703,4.112226589228605
8,6.726216421688633,4.6054215217498635,4.2398789728345845
9,6.859710747526188,4.6176309994413405,4.217710702291732
