Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,6.037215441443278,4.652113483891128,4.4706213388707745
1,5.580307851024525,4.307768332915013,4.143761334285768
2,7.458473316732107,5.673450494272236,5.433166033769787
3,5.956633872148737,4.566986093475675,4.383556993426642
4,6.045457130641074,4.605036903579622,4.413492030569559
5,4.817537649975392,3.790793527207412,3.6546793270702587
6,6.882804556210005,5.2429441322747525,5.027198140008328
7,5.158146782856134,3.9859713883301238,3.8295795044973984
8,5.2845439564545895,4.095392204418236,3.9457645203016813
9,4.973072211211253,3.84669279361856,3.7089304799556455
