Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,20.01976274606308,13.947492383543887,12.928271818533167
1,23.384005568114254,16.34097489296867,15.193843392543098
2,25.89712674126332,18.15350623662034,16.93004665267824
3,34.51240894225744,24.199108083335013,22.631639991626542
4,17.952280228087183,12.348425061252954,11.337320629652197
5,61.12777716414459,42.807793676901795,40.10109706450315
6,21.339994831956908,14.946534950874351,13.915009308605235
7,34.98665494644098,24.558753418647992,22.973525693749334
8,22.34492919644825,15.569480701251948,14.435913354592596
9,16.961048943601753,11.762341636036302,10.866737277263558
