Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,17.756053489093937,13.532547564304721,12.96834688094199
1,20.591988984715726,15.472811358268336,14.787903417242948
2,23.852713717831975,17.773211285578604,16.95304682376728
3,33.31633812724236,24.21649732468225,22.97706396711464
4,13.67442651987452,10.561685909340824,10.174749426787091
5,63.06122555689744,43.88628379775881,40.759777467642806
6,18.663056688521614,14.10246485533437,13.498395743746674
7,34.03165993381693,24.67588375715444,23.400420603101185
8,19.569172471898074,14.758558546293507,14.111083737496902
9,13.896316970534599,10.674784459384462,10.253557502262051
