Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,89.65149256409487,62.949952784396615,58.50987252540318
1,73.47607556172275,52.10058732929575,48.90812383071254
2,35.18837123512402,25.404344943143375,23.91272417173038
3,33.381603884320654,24.050549658663886,22.62877354986556
4,87.40836151573089,61.55021394843418,57.66933624918768
5,68.14412471298348,48.2436765039457,45.25306266067783
6,68.87946941894081,48.98483282824171,46.01681316738015
7,34.69129668687763,24.99288236675023,23.513963294546684
8,73.70416118787908,52.09715754250646,48.84894171715016
9,216.03149478469737,149.12320782399124,137.0589275541839
