Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,94.20166656953546,64.18950421279553,59.28786041677188
1,76.04667263350163,53.62411004362116,50.48338636349026
2,34.13177423862099,25.330781121710594,24.14401505435884
3,32.51637351436779,23.97019808748172,22.817498513290428
4,90.8366494241584,63.42276614768297,59.45418635615867
5,69.98267742017515,49.4601462955618,46.61491511810104
6,71.12738878584489,50.37198587723113,47.461703626430065
7,32.967584489973234,24.510189279574224,23.39149951265991
8,76.66698513677122,53.68518684076402,50.29010213838454
9,227.16957642480645,151.60575726215467,139.22015998917607
