Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.9,0.004040087683986069,0.005530960008442476,0.005,0
gamma,500,0.9,0.003320470703624473,0.004833913120171631,0.005,1
gamma,500,0.9,0.00408583210496022,0.005297479558894353,0.005,2
gamma,500,0.9,0.003772294654030122,0.00506536030511021,0.005,3
gamma,500,0.9,0.003562365506521992,0.00523550968203121,0.005,4
gamma,500,0.9,0.004094121994881988,0.005518896567826519,0.005,5
gamma,500,0.9,0.004064196731192747,0.006030720058093182,0.005,6
gamma,500,0.9,0.004141038979338982,0.006093643511887252,0.005,7
gamma,500,0.9,0.004227958488544936,0.006323579263802169,0.005,8
gamma,500,0.9,0.0038099890582286456,0.005665514763210905,0.005,9
gamma,500,0.91,0.004167481939901663,0.0057090453895995135,0.005,0
gamma,500,0.91,0.0036871552171261306,0.004866971761050071,0.005,1
gamma,500,0.91,0.003964128011136036,0.005403509757816547,0.005,2
gamma,500,0.91,0.003596162665131186,0.005181945230595822,0.005,3
gamma,500,0.91,0.0031129144114145843,0.0052849012315567545,0.005,4
gamma,500,0.91,0.00418122563133926,0.005708491107962163,0.005,5
gamma,500,0.91,0.004013277560333867,0.006123573172070763,0.005,6
gamma,500,0.91,0.0038584660219547636,0.006208448957750719,0.005,7
gamma,500,0.91,0.004135061945720139,0.006428017812141431,0.005,8
gamma,500,0.91,0.004193717178972771,0.005864102753111747,0.005,9
gamma,500,0.9199999999999999,0.003919381689893624,0.0058798924547472115,0.005,0
gamma,500,0.9199999999999999,0.0037958116914762518,0.004981743860129156,0.005,1
gamma,500,0.9199999999999999,0.003910061556606117,0.00553171373652805,0.005,2
gamma,500,0.9199999999999999,0.003170176363290034,0.005346184564504484,0.005,3
gamma,500,0.9199999999999999,0.0026259687361392756,0.005333041657948844,0.005,4
gamma,500,0.9199999999999999,0.003942070464683411,0.0059230776589000314,0.005,5
gamma,500,0.9199999999999999,0.003959221203288931,0.0062053130218818866,0.005,6
gamma,500,0.9199999999999999,0.003994090518774044,0.006266325832068175,0.005,7
gamma,500,0.9199999999999999,0.004255570338534664,0.006515642078364715,0.005,8
gamma,500,0.9199999999999999,0.003858618025742243,0.006133037827288775,0.005,9
gamma,500,0.9299999999999999,0.003743366287438344,0.006076710057185484,0.005,0
gamma,500,0.9299999999999999,0.0038762242622022857,0.005153965125535535,0.005,1
gamma,500,0.9299999999999999,0.003594517692287644,0.005738012749390512,0.005,2
gamma,500,0.9299999999999999,0.003504979327827346,0.005558286523344869,0.005,3
gamma,500,0.9299999999999999,0.0028962970124168353,0.005312668812664531,0.005,4
gamma,500,0.9299999999999999,0.003956728844557432,0.006238121951107422,0.005,5
gamma,500,0.9299999999999999,0.003785249627383077,0.006331510260931904,0.005,6
gamma,500,0.9299999999999999,0.0037375324976867824,0.006359028980113137,0.005,7
gamma,500,0.9299999999999999,0.0039435883928412765,0.006617938165633763,0.005,8
gamma,500,0.9299999999999999,0.0040109240498926255,0.006368396322130876,0.005,9
gamma,500,0.94,0.003774087139046437,0.006343702034958757,0.005,0
gamma,500,0.94,0.003704507817374739,0.005398989838668102,0.005,1
gamma,500,0.94,0.0034400276314846163,0.005981948988163254,0.005,2
gamma,500,0.94,0.003270671753314204,0.005764496776695029,0.005,3
gamma,500,0.94,0.0027413492590743754,0.00544843299315489,0.005,4
gamma,500,0.94,0.0037901763020689147,0.006531861651035847,0.005,5
gamma,500,0.94,0.0037614276102577323,0.006512503892411833,0.005,6
gamma,500,0.94,0.0030583992450997073,0.006341044025748422,0.005,7
gamma,500,0.94,0.0035309100137651908,0.006679343144568249,0.005,8
gamma,500,0.94,0.0037853513426381736,0.006681807949350703,0.005,9
lognorm,500,0.9,0.004558704604329041,0.006471967907349653,0.005,0
lognorm,500,0.9,0.003673601617361445,0.005598338166657977,0.005,1
lognorm,500,0.9,0.003679776794745298,0.006050254750052313,0.005,2
lognorm,500,0.9,0.0031280127744731877,0.005215333274576927,0.005,3
lognorm,500,0.9,0.004167298188591533,0.006054184679273163,0.005,4
