Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.95,0.0036823853728136357,0.006569082866608678,0.005,0
gamma,500,0.95,0.0038474223838677935,0.005829746560071783,0.005,1
gamma,500,0.95,0.0037043295604907217,0.006284512229008073,0.005,2
gamma,500,0.95,0.003379129846935859,0.006047800707853848,0.005,3
gamma,500,0.95,0.002515035169917561,0.0053736940311689746,0.005,4
gamma,500,0.95,0.003466330928141588,0.0069383078972093904,0.005,5
gamma,500,0.95,0.003907098393772851,0.006547779834828474,0.005,6
gamma,500,0.95,0.003275793696446961,0.006353003848774843,0.005,7
gamma,500,0.95,0.0036066849031599225,0.006641861601304084,0.005,8
gamma,500,0.95,0.00374170824024654,0.006880196472549474,0.005,9
gamma,500,0.96,0.0034750275746606983,0.00696233707608621,0.005,0
gamma,500,0.96,0.003478305290000987,0.006417785733792578,0.005,1
gamma,500,0.96,0.0035617154898436097,0.006545767383303246,0.005,2
gamma,500,0.96,0.0030590039109187634,0.006241663558480673,0.005,3
gamma,500,0.96,0.0024865978758641686,0.005344037861653747,0.005,4
gamma,500,0.96,0.003121902573226663,0.007231779921447962,0.005,5
gamma,500,0.96,0.003418199656170951,0.006839608655747352,0.005,6
gamma,500,0.96,0.003184303689281974,0.006356459669158113,0.005,7
gamma,500,0.96,0.0031635445112406795,0.006747604967881548,0.005,8
gamma,500,0.96,0.0034872929392065653,0.0073628514918514295,0.005,9
gamma,500,0.97,0.003372685049267217,0.007185378642125703,0.005,0
gamma,500,0.97,0.003469371357735889,0.007143710273294555,0.005,1
gamma,500,0.97,0.0035888187694994513,0.007126956348290777,0.005,2
gamma,500,0.97,0.003253957478947808,0.006595426674603721,0.005,3
gamma,500,0.97,0.0023858133534001777,0.005398945424431601,0.005,4
gamma,500,0.97,0.0031238844789023405,0.007416843232224081,0.005,5
gamma,500,0.97,0.0034264808934270407,0.0070189362874521245,0.005,6
gamma,500,0.97,0.0027047306497841,0.006275330005940973,0.005,7
gamma,500,0.97,0.0031152480057543806,0.006676497201246816,0.005,8
gamma,500,0.97,0.0033179792947508682,0.007621084018436919,0.005,9
gamma,500,0.98,0.003053941915835222,0.00761813678824946,0.005,0
gamma,500,0.98,0.003207324417441861,0.008301705091285534,0.005,1
gamma,500,0.98,0.0033982650614507483,0.00773235549395593,0.005,2
gamma,500,0.98,0.002793145060753454,0.006915406645600029,0.005,3
gamma,500,0.98,0.0017921713487081834,0.005297329641766697,0.005,4
gamma,500,0.98,0.002050683137536993,0.007433291921693923,0.005,5
gamma,500,0.98,0.0031877944723493006,0.007449907203068881,0.005,6
gamma,500,0.98,0.0018320498808246024,0.006030458215980549,0.005,7
gamma,500,0.98,0.00223496312676397,0.006387337876011374,0.005,8
gamma,500,0.98,0.003000479756007651,0.007695547882438135,0.005,9
gamma,500,0.99,0.001829590106369907,0.008604154039671746,0.005,0
gamma,500,0.99,0.002435690416192066,0.009661726882752197,0.005,1
gamma,500,0.99,0.003416274996923124,0.009372820135792435,0.005,2
gamma,500,0.99,0.0021105069991088675,0.007804344316388601,0.005,3
gamma,500,0.99,0.0010601949170605004,0.0060521799569542055,0.005,4
gamma,500,0.99,0.0,0.0,0.005,5
gamma,500,0.99,0.0028914130903452974,0.008787657768506131,0.005,6
gamma,500,0.99,0.0011931785027817058,0.006189374827889629,0.005,7
gamma,500,0.99,0.0013438295205239553,0.0068124947645328724,0.005,8
gamma,500,0.99,0.0008014477094490748,0.007579333260919249,0.005,9
