Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,500,0.95,0.003922732996524062,0.007232701519397834,0.005,0
lognorm,500,0.95,0.0032544812202018334,0.005920446047559432,0.005,1
lognorm,500,0.95,0.003795257437522824,0.006788990403958758,0.005,2
lognorm,500,0.95,0.003210897065743654,0.00561497994556112,0.005,3
lognorm,500,0.95,0.003743408456442783,0.00705676833837887,0.005,4
lognorm,500,0.95,0.0037206219466811258,0.006298845289605193,0.005,5
lognorm,500,0.95,0.0034034719187117615,0.006364043434134257,0.005,6
lognorm,500,0.95,0.0030033178212016784,0.005499965847090561,0.005,7
lognorm,500,0.95,0.003634554578804415,0.00652177599684728,0.005,8
lognorm,500,0.95,0.0026939234641121953,0.005520095098368091,0.005,9
lognorm,500,0.96,0.003773378424226163,0.007348687564104707,0.005,0
lognorm,500,0.96,0.0032190580751034004,0.005909534978815696,0.005,1
lognorm,500,0.96,0.0036877398963034804,0.006898354393868815,0.005,2
lognorm,500,0.96,0.0031995231336780705,0.005716416064863087,0.005,3
lognorm,500,0.96,0.003335272607811721,0.007149355610815602,0.005,4
lognorm,500,0.96,0.0036566630684776538,0.006353482550457953,0.005,5
lognorm,500,0.96,0.003200872573489174,0.006368716663661977,0.005,6
lognorm,500,0.96,0.0029278416797196617,0.005573804968223901,0.005,7
lognorm,500,0.96,0.0036401488343756664,0.0066984757753143056,0.005,8
lognorm,500,0.96,0.0023958465968981083,0.00573654734551193,0.005,9
lognorm,500,0.97,0.0031801277148318257,0.007162395913951439,0.005,0
lognorm,500,0.97,0.0031084717082241332,0.006111862180472215,0.005,1
lognorm,500,0.97,0.0035081011539717325,0.0071496427831574975,0.005,2
lognorm,500,0.97,0.003042816440979128,0.005969889802110706,0.005,3
lognorm,500,0.97,0.0029446350500023748,0.007119202654716708,0.005,4
lognorm,500,0.97,0.003471593530520619,0.006566404709667593,0.005,5
lognorm,500,0.97,0.0028645326468255323,0.0064883315597911665,0.005,6
lognorm,500,0.97,0.0028918799482889556,0.005882032542481558,0.005,7
lognorm,500,0.97,0.003277125285580663,0.006779457169747337,0.005,8
lognorm,500,0.97,0.001965232703817843,0.0058595190673498936,0.005,9
lognorm,500,0.98,0.002073945427471424,0.0068541611307048195,0.005,0
lognorm,500,0.98,0.002772689306879587,0.0064450965669681426,0.005,1
lognorm,500,0.98,0.003197983545719221,0.007264600842860321,0.005,2
lognorm,500,0.98,0.002866853338120996,0.006484049921180422,0.005,3
lognorm,500,0.98,0.0018426024473317023,0.006931987052538854,0.005,4
lognorm,500,0.98,0.0032935848511718583,0.007096633627466579,0.005,5
lognorm,500,0.98,0.002424414640681334,0.006432933581986988,0.005,6
lognorm,500,0.98,0.0027807785497110105,0.006452509406223327,0.005,7
lognorm,500,0.98,0.0026162421324690266,0.0067668493817442405,0.005,8
lognorm,500,0.98,0.0014946927369059026,0.005503502442249186,0.005,9
lognorm,500,0.99,0.0008591764023353648,0.006260619286036111,0.005,0
lognorm,500,0.99,0.0014521169779751636,0.007171004987097054,0.005,1
lognorm,500,0.99,0.001991864283817142,0.008226313635270358,0.005,2
lognorm,500,0.99,0.002486238830449876,0.007917497752091569,0.005,3
lognorm,500,0.99,0.00021329708720054416,0.006446069183865831,0.005,4
lognorm,500,0.99,0.0036585285972862793,0.008572537767643986,0.005,5
lognorm,500,0.99,0.0015167195963292554,0.006816248801725676,0.005,6
lognorm,500,0.99,0.0024945988768928784,0.0076901271644109655,0.005,7
lognorm,500,0.99,0.0011860649381796513,0.00760465267389653,0.005,8
lognorm,500,0.99,0.0,0.0,0.005,9
