Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,500,0.9,0.003132887823318861,0.004393249958387837,0.005,0
pareto,500,0.9,0.0038111994041751746,0.005960579250788313,0.005,1
pareto,500,0.9,0.004315410051302124,0.0064670916759760715,0.005,2
pareto,500,0.9,0.003306130584602504,0.005383594888132382,0.005,3
pareto,500,0.9,0.002995621670621138,0.004840442404988006,0.005,4
pareto,500,0.9,0.003418376990686834,0.005376142936014996,0.005,5
pareto,500,0.9,0.0042165905194988884,0.006519264069857398,0.005,6
pareto,500,0.9,0.0029738071017519204,0.004216103000844228,0.005,7
pareto,500,0.9,0.003322756899405694,0.005373645294979152,0.005,8
pareto,500,0.9,0.003564034693896587,0.005637323431497088,0.005,9
pareto,500,0.91,0.0029825574343201947,0.004519010561325202,0.005,0
pareto,500,0.91,0.004039816948372071,0.006066368011611211,0.005,1
pareto,500,0.91,0.004206060095039761,0.006631947289376588,0.005,2
pareto,500,0.91,0.0033816463044842953,0.005392248684006168,0.005,3
pareto,500,0.91,0.0028477287577871025,0.0047862652636001465,0.005,4
pareto,500,0.91,0.0030554500406745513,0.005321565816309754,0.005,5
pareto,500,0.91,0.0041117150805921624,0.006607507008776084,0.005,6
pareto,500,0.91,0.003316009832524047,0.004532175380135881,0.005,7
pareto,500,0.91,0.0033669895407614616,0.005348172106450238,0.005,8
pareto,500,0.91,0.0036184124318392177,0.0057951428370496,0.005,9
pareto,500,0.9199999999999999,0.003099814748656338,0.004701599399928104,0.005,0
pareto,500,0.9199999999999999,0.00366807027991207,0.006236215135007038,0.005,1
pareto,500,0.9199999999999999,0.003935087471317675,0.0068293621966897654,0.005,2
pareto,500,0.9199999999999999,0.0032639671187812665,0.005437539285837581,0.005,3
pareto,500,0.9199999999999999,0.0026491468667278273,0.004879597237495095,0.005,4
pareto,500,0.9199999999999999,0.0032928447130403512,0.0053446920898525116,0.005,5
pareto,500,0.9199999999999999,0.0041010675102260575,0.0068307782429655375,0.005,6
pareto,500,0.9199999999999999,0.0035622131477032392,0.0049138243123172404,0.005,7
pareto,500,0.9199999999999999,0.003081209332823336,0.005340026507296151,0.005,8
pareto,500,0.9199999999999999,0.003781861699128218,0.005879357158805837,0.005,9
pareto,500,0.9299999999999999,0.003169380650357535,0.004891220585464291,0.005,0
pareto,500,0.9299999999999999,0.003883142473116728,0.006357502678997478,0.005,1
pareto,500,0.9299999999999999,0.0036501546845154743,0.0069240936366429225,0.005,2
pareto,500,0.9299999999999999,0.0031045507589382783,0.00538199916548907,0.005,3
pareto,500,0.9299999999999999,0.0028966504537606807,0.004859749021298216,0.005,4
pareto,500,0.9299999999999999,0.002985397610525334,0.00541066148705499,0.005,5
pareto,500,0.9299999999999999,0.004061734344729635,0.0069794030400999185,0.005,6
pareto,500,0.9299999999999999,0.004007782153317541,0.005350920163697479,0.005,7
pareto,500,0.9299999999999999,0.0029266117735713497,0.005446469585386726,0.005,8
pareto,500,0.9299999999999999,0.003557714125256572,0.006003873256661484,0.005,9
pareto,500,0.94,0.0030424362552000073,0.0050885981789209654,0.005,0
pareto,500,0.94,0.003865210219619647,0.006591240321602383,0.005,1
pareto,500,0.94,0.003934447323048279,0.0069843821232951995,0.005,2
pareto,500,0.94,0.0029632731152601163,0.005306835043782488,0.005,3
pareto,500,0.94,0.002830377746721817,0.004949622580171117,0.005,4
pareto,500,0.94,0.002990347816225195,0.0054072891881331185,0.005,5
pareto,500,0.94,0.004024520272308664,0.007053918741209459,0.005,6
pareto,500,0.94,0.004335857481467213,0.0058201985969674975,0.005,7
pareto,500,0.94,0.002903492244827449,0.005376888132287403,0.005,8
pareto,500,0.94,0.003549144505971379,0.006106119449831402,0.005,9
