Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.09473601755351309,0.022561708026216112,0.012142427175589495,0.17723640605438146,0.02646459174901026,0.01285506059914288
1,0.09873601755351669,0.021715609888925173,0.01177776382450404,0.16511678638802071,0.02489672816678013,0.012174078493761172
2,0.096736017553738,0.023959692862416934,0.012825180148030248,0.18358104630916489,0.02797357999798898,0.013544696668859189
3,0.09473601755351481,0.021256402168280147,0.011492252083849467,0.16366831029091383,0.02451125187418119,0.011969366559317973
4,0.07473601755350957,0.02030757587851441,0.010977695854893966,0.14377045387655835,0.020965108926940847,0.010231481424947274
5,0.09273601796878299,0.022161916899806542,0.011951757086868804,0.13862193755605662,0.02334904994274351,0.011387741647454862
6,0.09873601755356856,0.022577579421027436,0.012210664143815645,0.18566267478139914,0.02858950342091895,0.013896076055950403
7,0.08673601755354315,0.019712629419368546,0.010813424631475171,0.1399298843561325,0.022909053972837927,0.011237647365857164
8,0.09073601755354467,0.021689742741317335,0.011836534261864037,0.15213854793096832,0.024424393631293322,0.011955383540345301
9,0.09273601755351082,0.021886093430545983,0.011793620956297816,0.15374966991704314,0.024490919833563038,0.011928815268125118
