Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.08324025246399266,0.038619394925586636,0.023769593788634417,0.07547415182841066,0.028166568319104992,0.016803001510659683
1,0.08124025246375353,0.0386866259162167,0.022719410247997805,0.06545795013286751,0.025934309874626377,0.015335225198302601
2,0.08524025246371457,0.03927227761693653,0.02416857283688956,0.08040028464697799,0.03125592088978666,0.01863694053702896
3,0.08324025246371637,0.036648671931831,0.021709720555985433,0.07267050783254994,0.02657573399244107,0.01565343629024316
4,0.07924025246370955,0.03146098179273088,0.019366701972593933,0.05724867398622942,0.01970286740991936,0.011658127867593224
5,0.07924025246411591,0.03586885587790724,0.021412020993330182,0.04241063462707989,0.01844496248367425,0.012056767739241395
6,0.08524025246399765,0.03890214885194222,0.02326220409378119,0.08581553805668585,0.0321385235192251,0.01850803914922915
7,0.07524025246372287,0.034266556878955065,0.020549140625978797,0.04840288177093971,0.020707698731585088,0.012571645048927004
8,0.07524025246387248,0.03792251715851865,0.023192473630290394,0.05419888693189983,0.023015300200293607,0.013782998155191135
9,0.08324025246419972,0.037990927443035935,0.023002642117515522,0.04950783554240609,0.02140816104199499,0.01403885102303459
