Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.12747203613719313,0.020058883975955448,0.01104509149780327,0.32266198508722,0.019286523658393652,0.010964960961464435
1,0.12547203987400077,0.018544300572486967,0.009975310594088153,0.3373265148404832,0.01911151986434835,0.010506813676621062
2,0.12147206023911684,0.01904808260049724,0.010564344723614368,0.35364944036793333,0.018710162485886965,0.010546793702658479
3,0.1294720358764648,0.01769193758110825,0.009825473695229438,0.3556319747668726,0.018418409352676374,0.009987769402258519
4,0.12147207081738864,0.018129619633377014,0.010039552288223225,0.30322403056677144,0.017761005550233883,0.010039185262647942
5,0.129472035468373,0.018651142340131807,0.01054140296062442,0.3563918578290729,0.01935493709545621,0.010388360915077829
6,0.12347203721849427,0.01938211896249762,0.0104255820068071,0.3272882783888248,0.019362182223477784,0.010659596733477704
7,0.12947203642936053,0.01806624825252012,0.00982389600459824,0.3569513246128318,0.01927904649642992,0.010543050200471412
8,0.12547203987400077,0.019423963744432678,0.01032617559649805,0.3357332611457414,0.019258064862733317,0.010724048878249758
9,0.12547203513337507,0.01860645572528033,0.009726597906437442,0.26858705023323726,0.01821593850298927,0.009902568227373204
