Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.07324025246371411,0.04241596983959664,0.027520496066838557,0.051935634627175445,0.02134106740777804,0.013812651949647098
1,0.08124025246373213,0.04158767020208934,0.027220846326193565,0.06925813808199405,0.02898029384392399,0.01846301298213678
2,0.08124025246373213,0.043630395078443206,0.02749008318822596,0.07380811709277302,0.03161014219054034,0.02027837231521353
3,0.08324025246372035,0.04363567286834827,0.027494144766203515,0.09474418026990772,0.04002650900502977,0.02393981973320143
4,0.07324025246371414,0.042959614730058576,0.027541305760766834,0.029010256620138786,0.011590833927761293,0.00935747037594815
5,0.09324025246372002,0.04643691543261033,0.02907862028755053,0.1355584860656645,0.04585339756099335,0.027353908856817134
6,0.07924025246370955,0.04158430457504804,0.02637988186036925,0.06251421194454126,0.02605188098720776,0.016561705660047894
7,0.08924025246371553,0.04348834488553255,0.027723581678942323,0.09639930820824402,0.04050042198411226,0.024121872618259564
8,0.08324025246372035,0.03981888003559489,0.025926908855199878,0.06440213840838903,0.027007885225434323,0.017150345412949103
9,0.07324025246371414,0.03741526865753237,0.023759099975711476,0.02802145471366361,0.01183487050987344,0.009152574255682205
