Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.06673601766257138,0.04720983413988869,0.032506809265471746,0.08395365393836103,0.03875170651046307,0.026931153344824856
1,0.0707360175821229,0.0496484893418845,0.035696345007103815,0.09076148434045192,0.041580754712026165,0.028841359606979297
2,0.06473601764069621,0.045595167342564163,0.03268992250518948,0.03596736367403683,0.01626119640512872,0.013428201544562247
3,0.06273601755350712,0.045496165694280506,0.03099132643956376,0.030917611245077515,0.013983696179292796,0.011478045966539011
4,0.07473601757554972,0.04831173125572958,0.03279671274244672,0.09445507821644236,0.04403054190801389,0.03067986218793709
5,0.07273601757710735,0.045255342341996734,0.030963784607495905,0.08335292474264358,0.038375329391576854,0.026625228096867272
6,0.0687360175924874,0.05374292768589038,0.036750613844840706,0.09107231721534334,0.04121505579242877,0.02855701403640091
7,0.06473601764069621,0.047039939313247174,0.03393686537724949,0.035863993489395715,0.01606768074868521,0.013236804750368685
8,0.06473601759667467,0.04768260684013263,0.032221858597650935,0.08294648897468301,0.03787662815398006,0.02628749566838421
9,0.07073601769391195,0.04845212668108936,0.03315028866038236,0.17285656985872933,0.08539994430570791,0.059735979680642384
