Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.07724025246371026,0.05052041551874293,0.0350233096783943,0.07450315949498541,0.036564286739819526,0.0268652351510366
1,0.0812402524637229,0.05363056702225207,0.03832247793432914,0.07501355626850319,0.03684786195234896,0.027424885523477695
2,0.07524025246384704,0.04925216466177618,0.035361930210548266,0.03604411142619191,0.016150844276047453,0.013890980159420606
3,0.07324025246371414,0.04874929532285735,0.03333805661884195,0.030702035285186377,0.013660216133652774,0.011744600822944536
4,0.0852402524637137,0.05149050748452771,0.03517276835173286,0.08500773362845099,0.04183399107651843,0.03065297073979749
5,0.08324025246374316,0.0484912620691014,0.033410370784578786,0.07038645860903904,0.03447830597910324,0.025414981619178306
6,0.07924025246372335,0.057209869085381226,0.03919286444424893,0.07211128839505286,0.035115094489938284,0.02639012163051186
7,0.07524025246384704,0.05081281672083147,0.03686640118566258,0.03428846203245256,0.015147356265624426,0.013105074346567554
8,0.07524025246387248,0.05081999105206122,0.03457164401804985,0.06942210272818863,0.03392510467399283,0.02502257349961899
9,0.08124025246399613,0.05170497250080624,0.03560729367425818,0.14163118755441334,0.06265226577744075,0.040240219743738224
