Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.054266037907118835,0.03190634250630917,0.018740634043636423,0.0632977086635573,0.025114508618289247,0.014510304829250639
1,0.06176603789394623,0.0287751547617334,0.01737306816820328,0.05851348819103485,0.022887058534022973,0.012837920359878553
2,0.05676603793830008,0.02855248204605482,0.016900126549893906,0.05475139744267301,0.021521862516909494,0.012201011293233071
3,0.05676603795686221,0.030583372310655728,0.018502564945108952,0.08031998251328074,0.027094783688298107,0.014798543196116211
4,0.05801603796367816,0.030668691478602027,0.018333850132458022,0.05948823490784186,0.02358126562165727,0.013300740184136682
5,0.060516037900872344,0.029470712380301408,0.01745700048762299,0.09717403773685793,0.027563858683777514,0.015260084837552226
6,0.05426603800638174,0.026917187941782696,0.016365168565001,0.045902675967318854,0.0178070198663857,0.01063218229031583
7,0.06426603788940402,0.030873308089789032,0.018298637868123042,0.08655138248752603,0.02842141098460992,0.015555365320696618
8,0.06176603789164205,0.031838902474877175,0.019317434571692736,0.07307107787825906,0.02665401965657324,0.014522665501203624
9,0.05426603799173333,0.025591316933360034,0.0154890332301006,0.04953990976164352,0.019288493048951895,0.011114644924329977
10,0.05551603802042615,0.029591469447378838,0.017826552350948283,0.06561052287679503,0.024632236501941865,0.013414104994026635
11,0.05551603802042615,0.026854515920308686,0.016296873351143115,0.06135412748315461,0.022026668455268735,0.011996824680421335
12,0.058016037924889206,0.026363130053276673,0.016334278149512396,0.04661706870575098,0.017988169766635302,0.010805244908320962
13,0.05426603799173333,0.02669220471906596,0.01627992879914262,0.05014813144857749,0.019290297822207834,0.011018646763100978
14,0.05926603789852445,0.02985890370144575,0.01768385857841715,0.06656439567553436,0.02591095990260373,0.01432350514935395
15,0.051766037869262455,0.025597469044289712,0.015992144084585297,0.04635789301577463,0.01806724079544595,0.01066254176004064
16,0.055516037966530596,0.026684869352553153,0.015954691781577063,0.049476788287707234,0.01911499094361018,0.011077724157571163
17,0.0580160379724428,0.02960050942417776,0.01768334633512117,0.06260937890923524,0.023980278217104252,0.012959519065048263
18,0.0605160379085457,0.02853444247791805,0.016806988123884217,0.07954955322649201,0.02558832415246585,0.013823697554496105
19,0.060516037900872344,0.029626386254078856,0.01768671934580659,0.09717173664281062,0.027495056901876654,0.015080747415825345
20,0.05426603799173333,0.02733818342475701,0.016563166260132683,0.05564636615356517,0.02116909770733426,0.01129015152565753
21,0.05676603794662683,0.027971921585351684,0.017047758173256294,0.06075994468478063,0.023411956813472343,0.012718016549873378
22,0.05551603786926324,0.029653048188090076,0.0174090493194461,0.05470902661494377,0.02135032799281158,0.012147753649234748
23,0.05426603797686732,0.028786364153704152,0.017249560421312118,0.04217607535634553,0.015830575645797332,0.00956405062225398
