Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.13278954074280366,0.022862498937326246,0.012087356069282677,0.25373589219914194,0.01990914939497858,0.01148757776304286
1,0.13478954074280436,0.020576314192034293,0.010916401681084986,0.2656514189947675,0.01919249467266809,0.010831739288390707
2,0.13478954074280344,0.02270753240448716,0.011980149514660305,0.2712623564689936,0.01957588964056735,0.011227622313796645
3,0.14078954074280497,0.020448097736838533,0.010933639033878268,0.27141471739708367,0.01913352417657272,0.010654239269945612
4,0.13478954074280436,0.021091823294706536,0.011200921678415144,0.24003032679888422,0.019170605821009292,0.010953451715278152
5,0.14078954074280497,0.022883198291528063,0.012017333721678332,0.2690779815443983,0.020362454945280654,0.011099200370251819
6,0.13078954074280427,0.022074915680355685,0.011734800475378615,0.2595214954015885,0.020152005441103467,0.011350708163345678
7,0.13478954074280436,0.020812915819568463,0.011030489878459337,0.2714147228487404,0.01833740814358608,0.010229879901057046
8,0.1367895407428032,0.021961960515338434,0.011596408006942286,0.2645853697370685,0.019256178199908512,0.010979734104079724
9,0.11478954074280313,0.019244052052166262,0.01034187100390086,0.20257904744622338,0.02095920499654222,0.0111726332743833
10,0.1447895407428071,0.021322479426067655,0.011313586600359119,0.271414716178385,0.018845897496952885,0.01075465921143896
11,0.1327895407428031,0.02151783583169387,0.011500708713584386,0.2705649664388141,0.020197599061586143,0.011228796204896661
12,0.12678954074280205,0.02024556564324292,0.010680851199184153,0.24861690999165492,0.01840356024218552,0.010474339500870053
13,0.13878954074280497,0.021325435634876846,0.011260278533924877,0.27060598044158257,0.01859038549819183,0.010603765141192314
14,0.13678954074280542,0.02193480135856212,0.011642104837551456,0.2714147214307563,0.019329149881766643,0.011110004056659522
15,0.12678954074281237,0.0194306630098876,0.010278580272836948,0.21303699578950594,0.019511409562641108,0.010634464870493727
16,0.12878954074280255,0.019577106072068747,0.010406361956324566,0.26987952000035026,0.018389086899449156,0.010192503607093562
17,0.1327895407428031,0.020851575798959476,0.011116286364029726,0.2434703757163722,0.020203054579253338,0.011140191083640675
18,0.13078954074280286,0.022707355623973916,0.012053999721961403,0.27119314842736864,0.021023270326364675,0.01164417681493761
19,0.11678954074280266,0.020065428440581578,0.010683608888508687,0.21681399523686298,0.019019874242504675,0.010460279656602862
20,0.13678954074280367,0.022773802324256513,0.012068979169825415,0.2691896794944549,0.02059255644533809,0.011493936096453165
21,0.13278954074280366,0.021652747793144734,0.011426530284313343,0.2613635124358441,0.019224740778454166,0.01091080771231186
22,0.1447895407428039,0.022788182200786947,0.012027543408636137,0.27139692613315314,0.01868240220372896,0.010910465326657945
