Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.06267414004529234,0.022373309643995015,0.01251260715926237,0.12150629715625175,0.02472655397870563,0.012325177673290126
1,0.05981715940992641,0.020723554032322927,0.011332707634473319,0.11024249032825434,0.022387723532261646,0.011124613813785364
2,0.054103198069253636,0.019922346037009448,0.011283912132555442,0.1040186609277752,0.021428908429794384,0.010621470218027177
3,0.06410263037552079,0.02295803953350562,0.012756957035298675,0.1418444874397195,0.025054197829628713,0.012510616139038505
4,0.05696018524810797,0.021476188943455203,0.01190510453186173,0.1136982673302072,0.023399506303277504,0.011658980366733032
5,0.06410263037060078,0.02048546912347296,0.011464712291238417,0.14888845340188925,0.025297609931843927,0.012581446274359287
6,0.05267470988044855,0.019445610602364296,0.011040949123192196,0.09068468535957247,0.020756285958745853,0.010316223333406422
7,0.06838810135983249,0.021436030964894798,0.011923021381226447,0.14739070513135177,0.025705315552290345,0.012791863659971042
8,0.058388669071721806,0.022873778142706493,0.012606152851274163,0.13408264800962036,0.025297347808237204,0.012640123410388455
9,0.05696017894229236,0.018042068097603507,0.010282064858924814,0.09508307811579014,0.02057438403771256,0.010205907574928234
