Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.0966367182697969,0.015607373678160907,0.009731426088903726,0.39729494170254975,0.017155292314974015,0.009941588551091896
1,0.08992001895783147,0.015254243730854425,0.009639392518890963,0.4020485088425254,0.0178887962714366,0.009951039054527187
2,0.09439781849482524,0.015756748788749907,0.009884971802199617,0.4095076807281498,0.0176606799030805,0.00995687613613918
3,0.09215891871985929,0.014686372516593977,0.009384968775382313,0.4095721697521663,0.017698446267734202,0.009642408796314828
4,0.09439781849482538,0.01495865933309962,0.009007765500497386,0.3724544968445513,0.016477906481174337,0.009350097248774825
5,0.09663671826980928,0.01463750559077648,0.009376128397413449,0.40769345671712104,0.018202873556017643,0.009632852101481704
6,0.09439781849482651,0.01671341204249068,0.010187237867991032,0.3989462828750019,0.018785131231112324,0.010464348475853497
7,0.08992001894490222,0.014683231583340152,0.009452667686140991,0.4096894016374615,0.01769842238496374,0.009693043757724635
8,0.09439781849482651,0.015968651897806555,0.009502260646515624,0.4018083566093689,0.0171394685013375,0.009703219100018822
9,0.09887561804476219,0.015883023605980467,0.009061983400855941,0.3316640605617356,0.017370104274023024,0.009540470764580387
10,0.09439781849482515,0.013786016515383515,0.009574205642101156,0.4096894049586094,0.01799043271027556,0.010080308339692834
11,0.08992001895783147,0.016772465156846127,0.010589032775849551,0.40915738217246056,0.019925070919733296,0.010901121111002682
12,0.10111451781972366,0.013479607201862313,0.00885567774138744,0.3748169052243999,0.016878372765941785,0.009105304633375916
13,0.09439781849490221,0.015085629161182652,0.009133847722822802,0.40746991106101144,0.016921511435811568,0.009362225407805454
14,0.09439781849483087,0.015325748727587192,0.009572587499025583,0.4096495372836427,0.01752082339316563,0.00980264471141321
15,0.09663671826979435,0.0142029858243181,0.008993227797842722,0.3399949008430895,0.01735176978490673,0.009571441650810605
16,0.0899200189449179,0.015007837125228959,0.00904806323750624,0.4052139708696985,0.01756527916464235,0.009322150113106891
17,0.09439781849482821,0.01626571008319086,0.009374290672184522,0.3768643104135856,0.017919516959013664,0.009783705558642195
18,0.08768111916994296,0.015927003285310593,0.010024520559521218,0.4094436164043048,0.018718297941426546,0.010224590526386409
19,0.09215891871985987,0.014570571612133432,0.009267911094609707,0.34128360021050935,0.017821276375435943,0.009737043709943223
20,0.09215891871985915,0.016619460953126382,0.010175369027303593,0.4081904114006768,0.018975624477904983,0.010451660839410501
21,0.09215891871985915,0.01536505039989902,0.00921170167949488,0.39672043081536124,0.01740671648794264,0.009507682753254691
