Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.10478207936518946,0.015406242791488051,0.008024137562163166,0.23326165596711268,0.016616477975949014,0.008521417997614342
1,0.09978207573890227,0.014389362629163809,0.008243677123100016,0.2657517089611337,0.0163856325790774,0.008868149404447662
2,0.09728207573969772,0.016119976789116246,0.00879659836141542,0.2455892111487875,0.01683537824001074,0.00905123863392385
3,0.10228207952586926,0.014556851491708985,0.007612311846311985,0.22082269653690195,0.016404036615193164,0.008250736434637498
4,0.09978207574510323,0.014597914231901533,0.00778077997057389,0.2515957718230995,0.015947975524196443,0.008439555174200808
5,0.09728207579698399,0.01579097681872199,0.008150638443937954,0.23414541553256288,0.01646253418721139,0.008490060386317248
6,0.10228207573923788,0.015315273565997973,0.00858903245531511,0.2564394920503701,0.016928213245563234,0.00912015609565154
7,0.10353207574078006,0.015472342609624424,0.008399860704742147,0.245934176918753,0.016198237071090048,0.008617138320658684
8,0.09853207574170371,0.01579144194099665,0.008563924894819577,0.24473308163990215,0.01662656218611018,0.008805134414292735
9,0.09853207573914856,0.014789471818550283,0.00845140269194338,0.2657545364967388,0.016149519143107235,0.008809078934800077
