Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.04603445217280411,0.030713746994475242,0.018323573424250037,0.07662423642609403,0.026534896184663457,0.015022141881093349
1,0.05438085184782452,0.0270216615989694,0.01627974743223452,0.07089396180206653,0.024154053134361562,0.013583653890710973
2,0.04881658539771531,0.026667605159037905,0.016129269162734376,0.06597168798125883,0.022591788672238895,0.012833850753025334
3,0.0488165853977945,0.028936392944980564,0.017491615355849498,0.09024765095215012,0.03130325125268035,0.016806327095454678
4,0.05020765201025261,0.029405081791900586,0.01752952644947811,0.07192806892651323,0.024548358829066967,0.013978733130798619
5,0.0529897852353061,0.02836917197943643,0.016730172946963797,0.1088931085077261,0.03351553885725404,0.017444857232528022
6,0.046034452172633716,0.02484561791532704,0.01503743461418158,0.05850980457268064,0.01968891354341598,0.011170308205597501
7,0.05716298507289805,0.029832009868264273,0.01765396737140136,0.0956265182873765,0.03270218392476675,0.017169294136503414
8,0.054380851847831826,0.029975899698026612,0.01836210876246018,0.08401703624598181,0.02934195211599703,0.016368418655516005
9,0.0460344521726225,0.02354639815852009,0.01416259194540213,0.06190006015755963,0.020809305389744695,0.011744598510547894
