Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.13678954074285923,0.028376024023722142,0.015157964626954496,0.32613810287917916,0.02857017346246464,0.01569135493621357
1,0.1407895407428175,0.025393135294787234,0.013612197778564641,0.3254794444602847,0.0270028185801785,0.014483696423196543
2,0.1527895407428084,0.027846598129742533,0.015029001420683986,0.32399780762755237,0.02783487022592562,0.014894954698777673
3,0.15157908149141916,0.024834346338917297,0.013437575522431596,0.3224173698095919,0.027403592350356987,0.01424326690793861
4,0.14878954074281037,0.025749035170638406,0.013905196507577024,0.32540919469336205,0.02648101682271436,0.014841848946353525
5,0.15157908148806878,0.028458289138328912,0.01531442575307058,0.3223856682230214,0.02891755482531987,0.01431339351660813
6,0.14278954074281766,0.02670499170259527,0.014526744253638648,0.326103786610371,0.027332625796086606,0.014963099009769654
7,0.14278954074287287,0.02560519049612935,0.013740316498800406,0.3219741867261396,0.027994766736235,0.014016722549728175
8,0.14078954074286368,0.027356677850999496,0.014620870830588573,0.32582065601184096,0.027219966040453923,0.014781444854254595
9,0.1267895407428053,0.023296617964566814,0.0126808387952599,0.3098788162471807,0.027766626130352568,0.015105825714682275
