Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.07473601755350777,0.036008132024765105,0.021376953897113825,0.11304813538405914,0.03838113221975333,0.021850590781575682
1,0.082736018047529,0.03645925903735869,0.021711981817553808,0.13974847816828356,0.04848712864977211,0.02758858631348004
2,0.08873601788323382,0.03592983170187467,0.02184429526495875,0.1657220717416661,0.05799879870827833,0.032930426172961116
3,0.08473601755350686,0.035937243782152795,0.021884932850375873,0.25310807446082506,0.07761790091302335,0.03862116641351443
4,0.07673601755352628,0.035893626269586344,0.021774612502527973,0.09380588736283832,0.03344602035067894,0.01890029103477501
5,0.0947360175535458,0.03802122021324927,0.02298822783275663,0.36758392846142407,0.08020517614417064,0.03549880449964524
6,0.07873601755351549,0.03456809498190218,0.021226523263222597,0.12346300561664032,0.042653656730556454,0.024247219220456098
7,0.08473601805351579,0.03598813723688837,0.02163535097193789,0.26060717769107733,0.07833526345869257,0.040683147750445854
8,0.07873601755350859,0.03531876189238833,0.02170831590289958,0.1322279052974884,0.0455789560128567,0.025967296739845862
9,0.0767360175535078,0.030548518891886537,0.018302186093671763,0.08448616086015344,0.028870042043587944,0.016313799692066762
