Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.12747203511190455,0.022140112644187023,0.011876259242834631,0.2124636327553426,0.018890023013174176,0.006003795619551111
1,0.12547203510936156,0.024733682727155152,0.014375962106537481,0.20616229538624067,0.017329951843040512,0.005187139027083412
2,0.1294720726896767,0.02559054722419907,0.014444561667775517,0.200148826024477,0.013013307928207471,0.006032829765955293
3,0.12347203818593078,0.022196258748695342,0.012073920554364057,0.20877595053853407,0.01392171560305656,0.0066017448718332025
4,0.1274720351115114,0.022588473704872603,0.012153493203144027,0.20816105911938262,0.01769295674249498,0.005447995788391157
5,0.1207360175657081,0.02388813986946265,0.012862560789707132,0.20753122400976434,0.017176411446938697,0.007587169162178305
6,0.12347203515095818,0.024463211618569826,0.015117879392279496,0.20493006579419776,0.016001944235644515,0.00485825725632676
7,0.12747205381810736,0.025961934248693558,0.014878685115150947,0.19508836919424624,0.0125651749032712,0.005407985686939464
8,0.12547203511836444,0.024404737762086494,0.013093726138265966,0.21003060579565752,0.01884389748923041,0.0068238585041682336
9,0.12547203510936156,0.02476634638225544,0.014457249665803078,0.2106782906211441,0.021980090674089906,0.010728849539845405
