Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.0787895407432216,0.05746750604483821,0.04302172669789236,0.11670463464164194,0.030489043174188424,0.017033949006891758
1,0.08278954074314343,0.0593167832683007,0.04566811661412542,0.10154779128789401,0.03008643318830269,0.02310624496915264
2,0.07678954074294292,0.055620905940957165,0.04213151888479286,0.04025828156956731,0.018039186736307646,0.015699420783811927
3,0.07478954074791933,0.05671823646184591,0.041614847747928355,0.033350033201204624,0.014921524935080314,0.012982425551822066
4,0.08678954074330783,0.060838369446280065,0.04390511787469948,0.12321981570128646,0.04140686295309977,0.025077954994281677
5,0.08478954074346216,0.05697261649337643,0.041416521470955835,0.09332812744898876,0.028052951107149976,0.021129066042604443
6,0.08078954074326135,0.06271650375500848,0.04842143445189098,0.09462274200050264,0.029261542289753896,0.022348655727122056
7,0.07678954074294292,0.05698807310746992,0.043480171969080356,0.03701797049505401,0.016500257799814625,0.014317255109429192
8,0.07678954074281881,0.05895564270078149,0.04341171621942129,0.09614666754503702,0.024990606632819157,0.01899743162967585
9,0.08278954074315868,0.059655371601129256,0.044010919283228,0.2687944913247053,0.05858208408594891,0.04786503388636745
