Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.24795375640573172,0.07466806584290327,0.04289198608933615,0.04294120450647995,0.013996682096137166,0.007771897913002521
1,0.24795375640573172,0.09250620839677313,0.05317413406263983,0.10099191579502903,0.03586657633649115,0.021146562173539427
2,0.24795375640573172,0.08086298374347548,0.0462943206369511,0.05417075027455413,0.018859786746254437,0.010645059498513616
3,0.28128709959089027,0.0933578576667675,0.053139159818939796,0.2389189744698349,0.08177296354688168,0.0445024023326471
4,0.24795375640573172,0.059935273592190565,0.034688734398350234,0.007734636944638107,0.001939210627283671,0.0009075167795317389
5,0.24795375640573172,0.0938331424372893,0.05648488028031206,0.07115257318049097,0.024858132798207158,0.015254520207746005
6,0.24795375640573172,0.0894506773299911,0.05071143505621035,0.0681312253407705,0.0221304065313931,0.01268927996493374
7,0.24795375640573172,0.07171369483829519,0.043198406547967,0.01945006522143635,0.004640840002289934,0.0022452309389416293
8,0.28128709959089027,0.09234501375128365,0.05253094411463406,0.2373193344589716,0.08104318172197217,0.044059220658832846
9,0.24795375640573172,0.087378833666386,0.04990203723924852,0.13253403161397756,0.05279352967269983,0.03199834989880731
10,0.24795375640573172,0.08281655400458716,0.04883121746157887,0.11672320305681834,0.04648722732990384,0.029089143895807468
11,0.24795375640573172,0.06293905244035136,0.03722842618812665,0.009956750747162384,0.0025610177504052194,0.001235505082088376
12,0.24795375640573172,0.060628339814016094,0.03568900922875524,0.010988042985757836,0.003313242267382723,0.0017051120152916232
13,0.24795375640573172,0.07915246229598462,0.04520851554673135,0.04546850681091946,0.014628053112386939,0.008134919851471452
14,0.28128709959089027,0.08122950536109019,0.04712546363895791,0.2778384336424641,0.08384719658088186,0.04576102072305859
15,0.28128709959089027,0.08012455613058729,0.047119027218770364,0.2440655552155705,0.07280870549754337,0.039821670845489376
16,0.28128708669619845,0.08495321414579214,0.04836765751906472,0.16591165387355436,0.06364341624323328,0.034909560828694036
17,0.24795375640573172,0.08217469795039514,0.04943239617306157,0.04775919877040326,0.015440473983486726,0.008746633312854624
18,0.28128708669619845,0.08543135543360499,0.04921918632967546,0.18899799749909546,0.06759119292397502,0.037900764192118346
19,0.28128709959089027,0.08391935888269832,0.04888540502568193,0.28225048640464834,0.08791328449670563,0.048494598500830474
20,0.24795375640573172,0.08318546780661278,0.04917258022844247,0.11948274459823109,0.049352294449072534,0.029663510099895884
21,0.24795375640573172,0.0809687257235077,0.04859534218613929,0.12460305106723829,0.049932890863177225,0.030097852838667838
22,0.28128708669619845,0.10197741968284245,0.05719623308536627,0.19102120415804924,0.07780141086478393,0.042813135223249914
23,0.24795375640573172,0.09059059861506348,0.054229817573290595,0.11675800491962662,0.04592719375741177,0.028652445480816663
24,0.28128708669619845,0.0725271608766429,0.04211233181688121,0.16062084680589295,0.05621274313955546,0.030497349553486625
25,0.24795375640573172,0.08094109895812429,0.047664777304019565,0.050311337476403525,0.017109048497580367,0.009933041021473311
26,0.24795375640573172,0.07636593672377763,0.04397940330795131,0.1635576941028311,0.063403283951981,0.034583326759541705
27,0.24795375640573172,0.07133375929545484,0.040772407022653404,0.03434871043297464,0.011328995560169083,0.006242392229372232
28,0.24795375640573172,0.07581960933376754,0.046090369463201636,0.027200481409763284,0.007997256861099027,0.004229216036202495
29,0.24795375640573172,0.09702356885355365,0.05609804980942104,0.19376504029902872,0.07998882131926496,0.04565646277870568
30,0.28128708669619845,0.10083015171201896,0.05858563254095322,0.2190071839242665,0.08939929472572612,0.049179213912440234
31,0.28128709959089027,0.10046033040448593,0.058343277072362705,0.24227018912366108,0.0898497934322661,0.04906653352382076
32,0.24795375640573172,0.06955608973910002,0.040188603756756945,0.022485681460481462,0.007106103734395609,0.003820691728659396
33,0.24795375640573172,0.08409519319325075,0.05204802511400428,0.041823187907252875,0.01145490345267717,0.006109014280766108
34,0.24795375640573172,0.08947991724948552,0.052923157782610065,0.0585332351386421,0.020275981334161603,0.011872453110515295
