Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.2479537598402727,0.04010069233762558,0.021662018767752783,0.062079589191346,0.014123652305503732,0.006911291431917242
1,0.2812871324438697,0.05459157661941963,0.029412624392293807,0.4953020073800811,0.05226420970584637,0.029435136611082085
2,0.2812871324438697,0.04971211560513599,0.02709292785099074,0.2829310783205934,0.051581030095733615,0.02582782901971531
3,0.2812871324438697,0.04090607614144075,0.022197673839537364,0.3048821309957528,0.04586939111197931,0.022778501720387447
4,0.2479537598402727,0.03590522761945564,0.019849462486308523,0.028300013501387375,0.005990068822261069,0.0027794314637963665
5,0.2479537598402727,0.040248819512273167,0.022179535647115663,0.11932891129716318,0.028641844793717626,0.014406656666411582
6,0.3146204200252251,0.04600752212566717,0.02481580293554992,0.3396337910512459,0.05245914886799654,0.026820110844742513
7,0.2812871324438697,0.04017090971032191,0.02180268567689824,0.22912613395144021,0.037553389146757404,0.018530887313160542
8,0.3479537533584196,0.04682344466810787,0.025149528477224938,0.5350026630188291,0.04505705303248686,0.02482586256276926
9,0.2812871324438697,0.05430513543039109,0.02971507501281201,0.22969094266892215,0.04962420568842109,0.024867955638559425
10,0.2812871324438697,0.04132536449220907,0.023056585592746284,0.3874927833799629,0.051974434681869214,0.026809482306031168
11,0.3146204200252251,0.03916647830608609,0.021546494262072,0.537885150557894,0.051576549311309484,0.0273439780346483
12,0.3146204200252251,0.04045354244793934,0.022299549519645294,0.5378765500472253,0.04835990151451193,0.026257964939089315
13,0.2479537598402727,0.04295686745829685,0.023221020086813503,0.053834901439498505,0.012667246329257758,0.006306542800635332
14,0.3146204200252251,0.05453200170647534,0.029872583466421708,0.5372119832821723,0.05182286652583405,0.028851816921161164
15,0.3146204200252251,0.04411216299485272,0.023878714363518194,0.5378852399137632,0.05104796947690353,0.027639655223838246
16,0.2812871324438697,0.041870144435549365,0.022604040369118405,0.2913190898226818,0.044273108474824865,0.02182309709181169
17,0.2812871324438697,0.04320326212203996,0.02419310135552787,0.285169206084713,0.050967150390561704,0.025560333968094914
18,0.3146204200252251,0.05495883161034831,0.02962118823281659,0.537878257795979,0.0525956058685694,0.029194769023883856
19,0.3146204200252251,0.049121375367431615,0.026944504549054924,0.5269340274794037,0.052517949112292836,0.028719332913583667
20,0.3146204200252251,0.04838765102940438,0.02618306811440717,0.32396666398762863,0.05065010936738685,0.02565374196032421
21,0.2812871324438697,0.04484341719413567,0.024295971232794318,0.4458274114116241,0.05192410228617523,0.02718838757547625
22,0.3479537533584196,0.047228340863817546,0.0253775147859262,0.4017640726092093,0.04827975356922879,0.02653529507300048
23,0.3146204200252251,0.04222595486300841,0.022772908356467465,0.5223515760644638,0.0513368741262777,0.02716287601229616
24,0.3479537533586931,0.04704890500707949,0.025559104747200582,0.533822691134745,0.04989161428709162,0.02757759130606962
25,0.2812871324438697,0.0456323928246863,0.024586109997348563,0.27022494518487594,0.05063163410931991,0.025295986866633254
26,0.3146204200252251,0.035624763586075456,0.01949025288831059,0.5352336994352406,0.04740567574884598,0.024375378019719434
27,0.2812871324438697,0.04402514141072809,0.023829107198467783,0.2424873598166794,0.046731117039020914,0.023416298143001668
28,0.2479537598402727,0.038658489995011425,0.020916685672054337,0.08305239441909133,0.0211378734323052,0.010939165689718339
29,0.31462042002554585,0.04923670607854755,0.02638896885184805,0.53705053450669,0.04777247576868122,0.026187088349949143
30,0.3146204200252251,0.05267766910683274,0.028328728246376538,0.5261033049632303,0.04945794501015867,0.027138108201991234
31,0.4146204200768169,0.06466676936357424,0.035188747142356945,0.49546841032953387,0.0569499968041715,0.03159733079132839
32,0.2812871324438697,0.03987441716066961,0.021767744562878128,0.3884815845215729,0.05071609891413072,0.026157346885812872
33,0.2812871324438697,0.04449293199422721,0.023958292411818512,0.235559387990085,0.04264982171575073,0.021143539118766423
34,0.3146204200252251,0.052716458656108044,0.0283159377849083,0.4626108493261675,0.05243422939384694,0.029402059736824474
35,0.3479537533586931,0.06110256597475988,0.03313227658120288,0.4911654356085581,0.04915803753845391,0.027351311254912934
36,0.3146204200252251,0.04584734876420441,0.024725002289379017,0.5202450284321396,0.050159649850606516,0.027537711957670342
37,0.3146204200252251,0.04402005413303456,0.023826232447375004,0.5360379049087807,0.050868106564316715,0.028083758100529134
38,0.2479537598402727,0.05561465770011732,0.030232676781955042,0.15885945314567645,0.048143541737075565,0.021744400723717507
39,0.2812871324438697,0.04809427488364776,0.026566702574090117,0.3579171966552485,0.05337599194590193,0.027522403355592737
40,0.3479537533586931,0.04066604953037517,0.022060557898088418,0.5364719789155015,0.04634950918629304,0.025536030835011957
41,0.3146204200252251,0.05372491688706888,0.029423167450366907,0.5377371222997327,0.05504314462862053,0.030440814017318886
42,0.3146204200252251,0.05065609111385408,0.027639043864839816,0.5378650230863118,0.05351048200628927,0.02966050488536182
43,0.3146204200252251,0.05201514515768101,0.02796370946123285,0.5353654094688771,0.048770043738779474,0.027429591863244514
44,0.2479537598402727,0.03918882831645164,0.02137256916907232,0.0483738341475153,0.010488457303685597,0.0049483753134427775
45,0.2479537598402727,0.031935796866860953,0.017738423262686587,0.008281143506533053,0.001477084267249928,0.0006304202582588443
46,0.3479537533586931,0.0378769700597933,0.020618904859950264,0.5369593279549117,0.046379643390812714,0.024876599283912587
47,0.3146204200252251,0.05151822695905366,0.028581290148569603,0.374077599595256,0.05601931908994132,0.02920473829374978
48,0.2479537598402727,0.04068956570622378,0.022073886251691762,0.08066158284206944,0.021468018474268397,0.01116300624675734
49,0.3146204200252251,0.046876895545034276,0.025460168840623312,0.3026414189736065,0.04871627945657143,0.024362107221071728
50,0.2812871324438697,0.04223609824685332,0.022811875513115417,0.5347753337970859,0.04777382370132902,0.025848636414714514
51,0.2479537598402727,0.03384386848277927,0.01864261650164949,0.009280464759218511,0.0017199283748171917,0.0007594429951499535
52,0.38128708670462225,0.04678737018643902,0.025408800139192524,0.529610098941686,0.046084083623115016,0.026355266497868218
53,0.2479537598402727,0.0377013072696509,0.0206924947870066,0.04667887809940906,0.01186070454944436,0.006027788001814232
54,0.2479537598402727,0.038754032913047735,0.021305558733458903,0.03108071926042447,0.006876381178769547,0.003280922566640518
55,0.3479537533586931,0.04762039971672154,0.026069553700971956,0.512159452475666,0.047529100772275415,0.026573358853611225
56,0.3479537533586931,0.0450302343774102,0.02460757895270347,0.36193451247590636,0.05357661761433202,0.027676283860152903
57,0.3479537533586931,0.05525126063395098,0.030112929960203788,0.534193262194173,0.04729101909040894,0.027434241719229376
58,0.2812871324438697,0.04539405213567933,0.024977714700891638,0.4008040524439289,0.05874898025720131,0.030637350468950296
59,0.3146204200252251,0.05165428966257984,0.02803877775884107,0.5317571923024131,0.0518349175956383,0.028344422250229234
60,0.3479537533586931,0.0527464614887782,0.0283671578931451,0.5371604215393985,0.04531425708255761,0.026731055837545196
61,0.3146204200252251,0.05114893376384987,0.02746504983307102,0.4397127554352548,0.05274226697534617,0.028507770736878314
62,0.2812871324438697,0.05032534177874917,0.026265936766674224,0.31115766648939835,0.05156446398517365,0.025594394992424892
63,0.2812871324438697,0.04042603823491685,0.02208628480219325,0.23502382585412981,0.04206764504795475,0.02085152636372778
64,0.2479537598402727,0.03762281333208083,0.02064687426009486,0.03737063727592363,0.008780544166693924,0.004298520956733623
65,0.2812870866929083,0.040495909180287025,0.022324390782500307,0.15277557487601617,0.03592811790417047,0.01810335522930583
66,0.31462042002554585,0.060065888311089013,0.03265140142851287,0.3815895022732727,0.058944673624515914,0.03168931897967261
67,0.3146204200252251,0.05121831896964653,0.02763632396740867,0.5176380336946631,0.053288819222417,0.029316143255917006
68,0.3479537533586931,0.055931407824026516,0.030174151306934977,0.5270391977609826,0.05314179114304316,0.029681310629924264
69,0.3146204200252251,0.04420344365780541,0.023930767467496953,0.5015809284733808,0.05198648088168504,0.028169020741337706
70,0.2812871324438697,0.03448424836699022,0.01901675570137179,0.5330810709185384,0.0496412948659111,0.02640995874988892
71,0.3146204200252251,0.05011138253471834,0.027153939336988748,0.5023653653123783,0.05229613231757613,0.028569149946040536
72,0.31462042002554585,0.047940576520420886,0.026244874288472636,0.2476887932890112,0.04997705084696688,0.02488581729929509
73,0.2479537598402727,0.04408008407790084,0.024208971856565387,0.06663668627971507,0.0165086768422758,0.008526381060495792
74,0.2812871324438697,0.050779103457223945,0.02771031931273869,0.5342347468419826,0.05536088290222792,0.030318223851679083
75,0.2812871324438697,0.038887452826806494,0.02104680701375602,0.2490166136051444,0.041257621689505614,0.020440532692331023
76,0.2479537598402727,0.03781868371549702,0.020585120476238967,0.07186480879541202,0.017953187578877497,0.009113021205849567
77,0.3479537533586931,0.03926545097277482,0.021261868146610956,0.5159919051131087,0.04746908008594007,0.025869812661846667
78,0.2479537598402727,0.039796825531374376,0.021914819032948174,0.08593141032003987,0.023264500654047487,0.012160000089707163
79,0.3479537533584196,0.055685920782445324,0.030103796598047364,0.5311997208087264,0.05515482572641322,0.030723346762513176
80,0.2812871324438697,0.0446894177253451,0.02462174968150093,0.3039304301091154,0.05095502333871017,0.025586936154643615
81,0.3479537533586931,0.06412936171108546,0.034877730454722304,0.5128021339051929,0.05397048604652954,0.0304318657438451
82,0.2479537598402727,0.033117015559370605,0.01821914657408679,0.011489857750054046,0.001988907764231478,0.0008588458626881484
83,0.3479537533586931,0.044562549470056376,0.023505164745647223,0.5073715613046533,0.04378256440628741,0.022859888512503476
84,0.2812871324438697,0.03656275152488885,0.01986597807245763,0.19692597673978948,0.03422223237585594,0.017166947590329565
85,0.3479537533584196,0.04820819094700332,0.025304922697745275,0.43289700889885047,0.04804086876955435,0.025488233613905065
