Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,11.760531536083011,9.736033762321147,9.380319402939996
1,11.545641616198697,9.510315579958753,9.161046147795002
2,11.321262339744575,9.39744135235264,9.026907409688533
3,12.319625899394726,10.07280666306481,9.630152969587478
4,11.574839257421779,9.589322525188793,9.232027402461572
5,13.085148905830199,10.462454103891968,9.905393727960291
6,10.991717750666623,9.160668211177924,8.83652148985932
7,12.5308214485536,10.212899210893287,9.718160484350548
8,12.056960842089072,9.934530719692901,9.504481313503586
9,11.141162849898752,9.209005704998983,8.881748196568552
