Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,11.629069574448817,9.802423592785594,9.450531486339912
1,11.438270304705805,9.512412577426208,9.149447483174928
2,11.281776434275507,9.378955168762545,9.024350643192266
3,12.328358075126548,9.96224105416189,9.537709883303798
4,11.479147998797028,9.617573557936392,9.266803111756143
5,13.24381892018798,10.102911225637003,9.707899240457536
6,10.879604505883842,9.19159353553152,8.872878177492971
7,12.555067349022778,10.117124262534691,9.686579438904204
8,12.007653929472315,9.89643328700442,9.470728141064173
9,11.043759240692726,9.191852376832914,8.863111513425846
