Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,8.592577388335958,5.70390608111747,5.3769626108594135
1,9.737914878749914,6.165069812437183,5.763534472415799
2,10.690485023716752,6.498860577331575,6.086680940655569
3,12.556887081433757,7.079946971446693,6.605278828581148
4,7.736782608653376,5.599778740759657,5.273236352774228
5,16.503407374595234,9.131225455328877,8.497284440708942
6,9.060760106220854,5.938613049274291,5.579729478752332
7,12.622047953659408,7.174815488593733,6.673047346580969
8,9.387429021790975,6.071702804308149,5.687688522810559
9,7.341173556711468,5.0948026768549735,4.811635564177206
