Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,9.081062591520984,6.195664479071525,5.888594588205344
1,10.359906994164618,6.827687900724706,6.424379624309708
2,11.330238263904718,7.12786171641209,6.724069887795235
3,13.309230799877561,7.954614440534506,7.444367790566011
4,8.113259938047566,6.107495330466845,5.786304826609343
5,17.34375995585053,10.247326883237998,9.593890205463298
6,9.611555246372902,6.43804340744044,6.087425153371354
7,13.616037293463753,8.108708525028543,7.597509931905521
8,9.963384423101974,6.560144698492474,6.217647184113349
9,7.742943310434963,5.514560806526319,5.220085088499541
