Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,108.31531592638225,76.73090341487273,70.42127336090871
1,97.31917639331029,70.99673036124034,66.79758092037837
2,61.280742980770796,46.1582370516451,43.88491916687457
3,58.72133731707585,44.095780354707145,41.868167434096684
4,109.9188655973476,79.20410321978187,73.86082503102193
5,94.12016324579966,68.4805325684956,64.22317021478094
6,93.11580856062676,68.27953294975586,64.3963367630399
7,61.53250248629332,46.296443075251275,44.01201460499851
8,96.64228531302032,70.05989060579935,64.9279315408478
9,209.38937378448466,134.16430246191055,120.82542383563968
