Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,108.3425792326428,75.89203846537106,69.77811806207565
1,169.07956901706345,109.44068136505823,98.55887407439148
2,57.654518651985654,43.08191654380431,41.03001646587866
3,84.56468308065301,60.59500963022619,56.730986420643966
4,107.35328970903831,76.30174914456174,71.71138226684178
5,86.24276117913112,62.06057885507316,58.54660728735079
6,88.50539418979618,63.83259433196915,60.336696049356874
7,81.04666003616126,58.70507505609964,55.52101157278348
8,89.14893997221589,64.0548707885695,60.18120857800487
9,179.7605747937357,108.98082457955589,98.17362555061283
