Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.09478954074283583,0.02757442100990018,0.015235012032640036,0.11375731750327955,0.025646900077805748,0.012849259821212319
1,0.09278954074284149,0.02340861971528396,0.01285037030911729,0.11389390525452962,0.02256283487037246,0.011203447065985079
2,0.09278954074282746,0.0256358339085595,0.014192907493368833,0.12795023327081254,0.024653122071756815,0.012237811537944936
3,0.10078954074287988,0.026459088784853244,0.014458611747855966,0.16168340970149767,0.02817697812079087,0.014006296128445488
4,0.09478954074303432,0.025960061821888644,0.014145515274499091,0.11031810763425653,0.024437269769800894,0.01222724864584504
5,0.09478954074282481,0.02316418336876164,0.013157598881607923,0.16035654391063434,0.026524672060545408,0.01313669353515206
6,0.08478954074281218,0.02324890663611606,0.01286210130320631,0.09866068840936443,0.021578613019602188,0.010682152650354665
7,0.11078954083202396,0.026325714795534125,0.014515570227480483,0.17172847146042447,0.029725335576581788,0.014648628592361396
8,0.09278954074295721,0.026550026846962158,0.014541514955601955,0.1454387978841113,0.026942328314611484,0.013510248957146212
9,0.09678954074282611,0.022999430154425193,0.01267662967921303,0.11393722018070311,0.02181877012012995,0.010887843708565442
